Quarter,Time,Down,ToGo,Location,HOU,DEN,Detail,EPB,EPA,week,year,game_id
4.0,1:16,2.0,10.0,DEN 38,9.0,16.0,"Penalty on Cameron Fleming: False Start, 5 yards (accepted) (no play)",0.92,0.25,2.0,2022,29
4.0,1:16,2.0,15.0,DEN 33,9.0,16.0,Javonte Williams left guard for 3 yards (tackle by Kamu Grugier-Hill and Jonathan Owens),0.25,-0.03,2.0,2022,29
4.0,1:09,,,,,,Timeout #2 by Houston Texans,,,2.0,2022,29
4.0,1:09,3.0,12.0,DEN 36,9.0,16.0,Javonte Williams right tackle for -4 yards (tackle by Steven Nelson),-0.03,-1.24,2.0,2022,29
4.0,1:04,,,,,,Timeout #3 by Houston Texans,,,2.0,2022,29
4.0,1:04,4.0,16.0,DEN 32,9.0,16.0,"Corliss Waitman punts 50 yards, returned by Desmond King for 7 yards (tackle by Aaron Patrick)",-1.24,-0.61,2.0,2022,29
4.0,0:53,1.0,10.0,HOU 25,9.0,16.0,Davis Mills pass complete short right to Brevin Jordan for -1 yards (tackle by K'Waun Williams),0.61,-0.07,2.0,2022,29
4.0,0:29,2.0,11.0,HOU 24,9.0,16.0,Davis Mills pass incomplete deep right intended for Brandin Cooks (defended by Ronald Darby),-0.07,-0.76,2.0,2022,29
4.0,0:23,3.0,11.0,HOU 24,9.0,16.0,Davis Mills pass incomplete short right intended for Pharaoh Brown,-0.76,-1.77,2.0,2022,29
4.0,0:17,4.0,11.0,HOU 24,9.0,16.0,Davis Mills pass incomplete short right intended for Brandin Cooks,-1.77,-3.97,2.0,2022,29
4.0,0:13,1.0,10.0,HOU 24,9.0,16.0,Russell Wilson kneels for -1 yards,3.97,3.3,2.0,2022,29
