Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA,week,year,game_id
3.0,4:58,4.0,13.0,NYG 26,13.0,13.0,Jamie Gillan punts 39 yards out of bounds,-1.63,-1.27,2.0,2022,18
3.0,4:51,1.0,10.0,CAR 35,13.0,13.0,Christian McCaffrey left guard for 2 yards (tackle by Tae Crowder and Dexter Lawrence),1.27,0.99,2.0,2022,18
3.0,4:10,2.0,8.0,CAR 37,13.0,13.0,Christian McCaffrey left guard for 6 yards (tackle by Dexter Lawrence and Jihad Ward),0.99,1.09,2.0,2022,18
3.0,3:27,3.0,2.0,CAR 43,13.0,13.0,Baker Mayfield pass incomplete deep right intended for Shi Smith,1.09,-0.52,2.0,2022,18
3.0,3:21,4.0,2.0,CAR 43,13.0,13.0,"Johnny Hekker punts 47 yards, fair catch by Richie James at NYG-10",-0.52,0.38,2.0,2022,18
3.0,3:14,1.0,10.0,NYG 10,13.0,13.0,Saquon Barkley left tackle for 3 yards (tackle by Shaq Thompson),-0.38,-0.56,2.0,2022,18
3.0,2:48,2.0,7.0,NYG 13,13.0,13.0,Saquon Barkley right guard for 2 yards (tackle by Shaq Thompson and Matthew Ioannidis),-0.56,-0.84,2.0,2022,18
3.0,2:08,3.0,5.0,NYG 15,13.0,13.0,Daniel Jones sacked by Matthew Ioannidis for -5 yards,-0.84,-2.49,2.0,2022,18
3.0,1:34,4.0,10.0,NYG 10,13.0,13.0,"Jamie Gillan punts 57 yards, returned by Shi Smith for 8 yards (tackle by Chris Myarick)",-2.49,-1.66,2.0,2022,18
3.0,1:24,1.0,10.0,CAR 41,13.0,13.0,Baker Mayfield pass incomplete short right intended for D.J. Moore,1.66,1.12,2.0,2022,18
3.0,1:17,2.0,10.0,CAR 41,13.0,13.0,Baker Mayfield pass incomplete short right intended for Ian Thomas,1.12,0.43,2.0,2022,18
3.0,1:10,3.0,10.0,CAR 41,13.0,13.0,Baker Mayfield pass incomplete short right,0.43,-0.65,2.0,2022,18
3.0,1:02,4.0,10.0,CAR 41,13.0,13.0,"Johnny Hekker punts 50 yards, fair catch by Richie James at NYG-9",-0.65,0.38,2.0,2022,18
3.0,0:55,1.0,10.0,NYG 9,13.0,13.0,Saquon Barkley up the middle for 15 yards (tackle by Myles Hartsfield),-0.38,0.54,2.0,2022,18
3.0,0:15,1.0,10.0,NYG 24,13.0,13.0,Saquon Barkley right tackle for -2 yards (tackle by Frankie Luvu),0.54,-0.27,2.0,2022,18
4.0,15:00,2.0,12.0,NYG 22,13.0,13.0,"Daniel Jones pass incomplete deep middle intended for Sterling Shepard. Penalty on Jaycee Horn: Defensive Pass Interference, 13 yards (accepted) (no play)",-0.27,1.27,2.0,2022,18
4.0,14:55,1.0,10.0,NYG 35,13.0,13.0,Daniel Jones pass incomplete short left intended for Kadarius Toney,1.27,0.72,2.0,2022,18
4.0,14:50,2.0,10.0,NYG 35,13.0,13.0,Daniel Jones pass incomplete deep left intended for Sterling Shepard,0.72,0.04,2.0,2022,18
4.0,14:44,3.0,10.0,NYG 35,13.0,13.0,Daniel Jones pass complete deep left to David Sills for 24 yards (tackle by Shaq Thompson),0.04,2.85,2.0,2022,18
4.0,14:14,1.0,10.0,CAR 41,13.0,13.0,Daniel Jones pass complete short right to Saquon Barkley for 3 yards (tackle by Shaq Thompson),2.85,2.71,2.0,2022,18
4.0,13:43,2.0,7.0,CAR 38,13.0,13.0,Saquon Barkley right end for no gain (tackle by Yetur Gross-Matos and C.J. Henderson),2.71,2.02,2.0,2022,18
4.0,13:14,3.0,7.0,CAR 38,13.0,13.0,Daniel Jones scrambles up the middle for 5 yards (tackle by Jeremy Chinn),2.02,1.2,2.0,2022,18
4.0,12:35,4.0,2.0,CAR 33,13.0,16.0,Graham Gano 52 yard field goal good,1.2,3.0,2.0,2022,18
4.0,12:31,,,NYG 35,13.0,16.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
4.0,12:31,1.0,10.0,CAR 25,13.0,16.0,Christian McCaffrey left guard for 49 yards (tackle by Fabian Moreau),0.61,3.84,2.0,2022,18
4.0,11:48,1.0,10.0,NYG 26,13.0,16.0,"Baker Mayfield pass incomplete deep right intended for Shi Smith. Penalty on Adoree' Jackson: Illegal Contact, 5 yards (accepted) (no play)",3.84,4.17,2.0,2022,18
4.0,11:40,1.0,10.0,NYG 21,13.0,16.0,Christian McCaffrey left tackle for 6 yards (tackle by Fabian Moreau and Tae Crowder),4.17,4.55,2.0,2022,18
4.0,11:03,2.0,4.0,NYG 15,13.0,16.0,"Baker Mayfield pass incomplete short right intended for Ian Thomas. Penalty on Taylor Moton: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.55,3.76,2.0,2022,18
4.0,10:58,2.0,9.0,NYG 20,13.0,16.0,Baker Mayfield pass incomplete short left intended for Christian McCaffrey,3.76,3.07,2.0,2022,18
4.0,10:56,3.0,9.0,NYG 20,13.0,16.0,Baker Mayfield pass incomplete short right,3.07,2.12,2.0,2022,18
4.0,10:50,4.0,9.0,NYG 20,16.0,16.0,Eddy Pineiro 38 yard field goal good,2.12,3.0,2.0,2022,18
4.0,10:46,,,CAR 35,16.0,16.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
4.0,10:46,1.0,10.0,NYG 25,16.0,16.0,Saquon Barkley right tackle for 10 yards (tackle by Damien Wilson and Xavier Woods),0.61,1.27,2.0,2022,18
4.0,10:07,1.0,10.0,NYG 35,16.0,16.0,Saquon Barkley right guard for 8 yards (tackle by Cory Littleton),1.27,1.8,2.0,2022,18
4.0,9:25,2.0,2.0,NYG 43,16.0,16.0,Daniel Jones pass complete short left to Sterling Shepard for 1 yard (tackle by Damien Wilson and Cory Littleton),1.8,1.22,2.0,2022,18
4.0,8:39,3.0,1.0,NYG 44,16.0,16.0,Gary Brightwell right guard for 14 yards (tackle by Xavier Woods),1.22,2.79,2.0,2022,18
4.0,7:57,1.0,10.0,CAR 42,16.0,16.0,Daniel Jones pass complete short middle to Saquon Barkley for 9 yards (tackle by Shaq Thompson and Marquis Haynes),2.79,3.46,2.0,2022,18
4.0,7:15,2.0,1.0,CAR 33,16.0,16.0,Saquon Barkley up the middle for no gain (tackle by Xavier Woods and Shaq Thompson),3.46,2.74,2.0,2022,18
4.0,6:31,3.0,1.0,CAR 33,16.0,16.0,Daniel Jones up the middle for 3 yards (tackle by Marquan McCall),2.74,3.58,2.0,2022,18
4.0,5:47,1.0,10.0,CAR 30,16.0,16.0,Saquon Barkley up the middle for 1 yard (tackle by Jeremy Chinn and Marquan McCall),3.58,3.17,2.0,2022,18
4.0,5:07,2.0,9.0,CAR 29,16.0,16.0,Matt Breida right tackle for -4 yards (tackle by Marquan McCall),3.17,1.95,2.0,2022,18
4.0,4:25,3.0,13.0,CAR 33,16.0,16.0,"Daniel Jones scrambles right end for no gain (tackle by Frankie Luvu). Penalty on Jon Feliciano: Offensive Holding, 10 yards (accepted) (no play)",1.95,0.63,2.0,2022,18
4.0,4:18,3.0,23.0,CAR 43,16.0,16.0,Daniel Jones pass complete short right to Sterling Shepard for 5 yards (tackle by C.J. Henderson),0.63,0.72,2.0,2022,18
4.0,3:38,4.0,18.0,CAR 38,16.0,19.0,Graham Gano 56 yard field goal good,0.72,3.0,2.0,2022,18
4.0,3:34,,,NYG 35,16.0,19.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
4.0,3:34,1.0,10.0,CAR 25,16.0,19.0,Baker Mayfield pass complete short right to Christian McCaffrey for 10 yards (tackle by Micah McFadden),0.61,1.27,2.0,2022,18
4.0,2:57,1.0,10.0,CAR 35,16.0,19.0,"Baker Mayfield pass incomplete short middle intended for Shi Smith. Penalty on Darnay Holmes: Defensive Pass Interference, 7 yards (accepted) (no play)",1.27,1.73,2.0,2022,18
4.0,2:53,1.0,10.0,CAR 42,16.0,19.0,Baker Mayfield pass incomplete deep left intended for Robbie Anderson,1.73,1.19,2.0,2022,18
4.0,2:47,2.0,10.0,CAR 42,16.0,19.0,Baker Mayfield pass complete short right to Christian McCaffrey for 4 yards (tackle by Tony Jefferson),1.19,1.03,2.0,2022,18
4.0,2:42,3.0,6.0,CAR 46,16.0,19.0,Baker Mayfield sacked by Julian Love for -9 yards,1.03,-0.91,2.0,2022,18
4.0,2:12,4.0,15.0,CAR 37,16.0,19.0,Johnny Hekker punts 38 yards out of bounds,-0.91,-0.61,2.0,2022,18
4.0,2:06,1.0,10.0,NYG 25,16.0,19.0,Saquon Barkley up the middle for 6 yards (tackle by Xavier Woods and Derrick Brown),0.61,0.87,2.0,2022,18
4.0,2:00,2.0,4.0,NYG 31,16.0,19.0,"Penalty on Matthew Ioannidis: Encroachment, 5 yards (accepted) (no play)",0.87,1.33,2.0,2022,18
4.0,2:00,1.0,10.0,NYG 36,16.0,19.0,Saquon Barkley left guard for 4 yards (tackle by Derrick Brown and Henry Anderson),1.33,1.33,2.0,2022,18
4.0,1:54,,,,,,Timeout #1 by Carolina Panthers,,,2.0,2022,18
4.0,1:54,2.0,6.0,NYG 40,16.0,19.0,Saquon Barkley up the middle for no gain (tackle by Henry Anderson and Shaq Thompson),1.33,0.63,2.0,2022,18
4.0,1:50,,,,,,Timeout #2 by Carolina Panthers,,,2.0,2022,18
4.0,1:50,3.0,6.0,NYG 40,16.0,19.0,Daniel Jones scrambles up the middle for 11 yards (tackle by Frankie Luvu),0.63,2.32,2.0,2022,18
