Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA,week,year,game_id
4,0:08,3.0,3.0,LVR 3,15.0,23.0,Kyler Murray pass incomplete short left intended for Zach Ertz,4.72,3.04,2.0,2022,28
4,0:05,4.0,3.0,LVR 3,21.0,23.0,"Kyler Murray scrambles left tackle for 3 yards, touchdown",3.04,7.0,2.0,2022,28
4,0:00,,,,,,Timeout #3 by Las Vegas Raiders,,,2.0,2022,28
4,0:00,,,LVR 15,21.0,23.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",0.0,1.0,2.0,2022,28
4,0:00,1.0,7.0,LVR 2,23.0,23.0,"Two Point Attempt: Kyler Murray pass complete to to A.J. Green for no gain Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.0,1.0,2.0,2022,28
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the overtime kickoff.",,,2.0,2022,28
OT,10:00,,,LVR 35,23.0,23.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,28
OT,10:00,1.0,10.0,ARI 25,23.0,23.0,Kyler Murray pass complete short right to Zach Ertz for 8 yards (tackle by Duron Harmon),0.61,1.14,2.0,2022,28
OT,9:28,2.0,2.0,ARI 33,23.0,23.0,Eno Benjamin left guard for 3 yards (tackle by Divine Deablo),1.14,1.33,2.0,2022,28
OT,8:53,1.0,10.0,ARI 36,23.0,23.0,Kyler Murray pass complete short left to Stephen Anderson for 2 yards (tackle by Nate Hobbs),1.33,1.06,2.0,2022,28
OT,8:23,2.0,8.0,ARI 38,23.0,23.0,Kyler Murray pass complete short middle to Marquise Brown for 16 yards (tackle by Nate Hobbs),1.06,2.52,2.0,2022,28
OT,7:40,1.0,10.0,LVR 46,23.0,23.0,"Penalty on Zach Ertz: False Start, 5 yards (accepted) (no play)",2.52,2.19,2.0,2022,28
OT,7:40,1.0,15.0,ARI 49,23.0,23.0,Kyler Murray pass complete short middle to Marquise Brown for 8 yards (tackle by Divine Deablo),2.19,2.38,2.0,2022,28
OT,7:06,2.0,7.0,LVR 43,23.0,23.0,Kyler Murray pass complete short left to Darrel Williams for 2 yards (tackle by Nate Hobbs),2.38,1.95,2.0,2022,28
OT,6:25,3.0,5.0,LVR 41,23.0,23.0,Darrel Williams left end for 4 yards (tackle by Nate Hobbs and Duron Harmon),1.95,0.79,2.0,2022,28
OT,5:36,,,,,,Timeout #1 by Arizona Cardinals,,,2.0,2022,28
OT,5:36,4.0,1.0,LVR 37,23.0,23.0,Kyler Murray pass incomplete deep left intended for Marquise Brown (defended by Duron Harmon),0.79,-1.4,2.0,2022,28
OT,5:30,1.0,10.0,LVR 37,23.0,23.0,Derek Carr pass incomplete short right intended for Davante Adams,1.4,0.86,2.0,2022,28
OT,5:26,2.0,10.0,LVR 37,23.0,23.0,Derek Carr pass complete short left to Hunter Renfrow for 7 yards (tackle by Isaiah Simmons),0.86,1.09,2.0,2022,28
OT,4:45,,,,,,Timeout #1 by Las Vegas Raiders,,,2.0,2022,28
OT,4:45,,,,,,Timeout #2 by Arizona Cardinals,,,2.0,2022,28
OT,4:45,3.0,3.0,LVR 44,23.0,23.0,"Derek Carr pass complete to Hunter Renfrow for 11 yards. Hunter Renfrow fumbles (forced by Zaven Collins) (tackle by Jalen Thompson), recovered by Foster Moreau at ARI-39",1.09,2.98,2.0,2022,28
OT,4:12,1.0,10.0,ARI 39,23.0,23.0,Derek Carr pass incomplete deep middle intended for Davante Adams,2.98,2.44,2.0,2022,28
OT,4:05,2.0,10.0,ARI 39,29.0,23.0,"Derek Carr pass complete short left to Hunter Renfrow for no gain. Hunter Renfrow fumbles (forced by Isaiah Simmons), recovered by Byron Murphy at ARI-41 and returned for 59 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",2.44,-6.0,2.0,2022,28
