Quarter,Time,Down,ToGo,Location,NWE,TEN,Detail,EPB,EPA,week,year,game_id
OT,10:00,,,NWE 35,17.0,17.0,"Joey Slye kicks off 67 yards, returned by Jha'Quan Jackson for 24 yards. Jha'Quan Jackson fumbles (tackle by Brenden Schooler, recovered by James Williams at TEN-22",0.0,0.41,9.0,2024,131
OT,9:56,1.0,10.0,TEN 22,17.0,17.0,Mason Rudolph pass complete short right to Calvin Ridley for 16 yards (tackle by Christian Elliss),0.41,1.47,9.0,2024,131
OT,9:21,1.0,10.0,TEN 38,17.0,17.0,Tony Pollard right guard for 7 yards (tackle by Jaylinn Hawkins and Daniel Ekuale),1.47,1.87,9.0,2024,131
OT,8:44,2.0,3.0,TEN 45,17.0,17.0,Tony Pollard right end for 5 yards (tackle by Daniel Ekuale),1.87,2.26,9.0,2024,131
OT,8:07,1.0,10.0,NWE 50,17.0,17.0,Julius Chestnut left guard for 5 yards (tackle by Jahlani Tavai),2.26,2.39,9.0,2024,131
OT,7:32,2.0,5.0,NWE 45,17.0,17.0,Mason Rudolph pass incomplete short right intended for Josh Whyle,2.39,1.69,9.0,2024,131
OT,7:23,3.0,5.0,NWE 45,17.0,17.0,Mason Rudolph pass complete short middle to Calvin Ridley for 14 yards (tackle by Christian Gonzalez),1.69,3.51,9.0,2024,131
OT,6:41,1.0,10.0,NWE 31,17.0,17.0,Tony Pollard right tackle for 4 yards (tackle by Jahlani Tavai),3.51,3.51,9.0,2024,131
OT,6:03,2.0,6.0,NWE 27,17.0,17.0,Tony Pollard right tackle for 3 yards (tackle by Jahlani Tavai),3.51,3.2,9.0,2024,131
OT,5:24,3.0,3.0,NWE 24,17.0,17.0,Tony Pollard up the middle for 9 yards (tackle by Daniel Ekuale),3.2,4.58,9.0,2024,131
OT,4:40,,,,,,Timeout #1 by New England Patriots,,,9.0,2024,131
OT,4:40,1.0,10.0,NWE 15,17.0,17.0,Tony Pollard right tackle for 3 yards (tackle by Marte Mapu),4.58,4.45,9.0,2024,131
OT,4:01,2.0,7.0,NWE 12,17.0,17.0,Tony Pollard up the middle for 5 yards (tackle by Keion White and Marte Mapu),4.45,4.68,9.0,2024,131
OT,3:23,,,,,,Timeout #2 by New England Patriots,,,9.0,2024,131
OT,3:23,3.0,2.0,NWE 7,17.0,17.0,"Mason Rudolph aborted snap, recovered by Mason Rudolph at NE-7",4.68,3.02,9.0,2024,131
OT,2:34,4.0,1.0,NWE 6,17.0,20.0,Nick Folk 25 yard field goal good,3.02,3.0,9.0,2024,131
OT,2:32,,,TEN 35,17.0,20.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,131
OT,2:32,1.0,10.0,NWE 30,17.0,20.0,Drake Maye pass incomplete deep left intended for Hunter Henry (defended by Mike Brown),0.94,0.39,9.0,2024,131
OT,2:25,2.0,10.0,NWE 30,17.0,20.0,Drake Maye scrambles right end for 11 yards (tackle by Darrell Baker),0.39,1.66,9.0,2024,131
OT,2:17,1.0,10.0,NWE 41,17.0,20.0,Drake Maye pass deep middle intended for Kayshon Boutte is intercepted by Amani Hooker at TEN-11 and returned for 2 yards,1.66,0.0,9.0,2024,131
