Quarter,Time,Down,ToGo,Location,LVR,CIN,Detail,EPB,EPA,week,year,game_id
4.0,2:00,3.0,4.0,LVR 4,17.0,38.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase (defended by Jakorian Bennett),4.49,3.03,9.0,2024,128
4.0,1:57,4.0,4.0,LVR 4,17.0,38.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",3.03,2.83,9.0,2024,128
4.0,1:57,4.0,9.0,LVR 9,17.0,41.0,Evan McPherson 27 yard field goal good,2.83,3.0,9.0,2024,128
4.0,1:53,,,CIN 35,17.0,41.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,128
4.0,1:53,1.0,10.0,LVR 30,17.0,41.0,Desmond Ridder pass incomplete short right intended for Ramel Keyton,0.94,0.39,9.0,2024,128
4.0,1:49,2.0,10.0,LVR 30,17.0,41.0,Ameer Abdullah left guard for 6 yards (tackle by Maema Njongmeta),0.39,0.5,9.0,2024,128
4.0,1:30,3.0,4.0,LVR 36,17.0,41.0,Desmond Ridder pass complete short left to Jakobi Meyers for 12 yards (tackle by DJ Ivey),0.5,2.13,9.0,2024,128
4.0,1:25,1.0,10.0,LVR 48,17.0,41.0,Desmond Ridder pass complete short left to Ameer Abdullah for 1 yard (tackle by Maema Njongmeta),2.13,1.72,9.0,2024,128
4.0,0:58,2.0,9.0,LVR 49,17.0,41.0,"Desmond Ridder pass incomplete deep right intended for Tre Tucker. Penalty on Josh Newton: Defensive Pass Interference, 27 yards (accepted) (no play)",1.72,3.97,9.0,2024,128
4.0,0:55,1.0,10.0,CIN 24,17.0,41.0,Desmond Ridder scrambles left end for 2 yards (tackle by Joe Bachie),3.97,3.7,9.0,2024,128
4.0,0:48,2.0,8.0,CIN 22,23.0,41.0,"Desmond Ridder pass complete deep right to Brock Bowers for 22 yards, touchdown",3.7,7.0,9.0,2024,128
4.0,0:41,,,CIN 15,24.0,41.0,Daniel Carlson kicks extra point good,0.0,0.0,9.0,2024,128
4.0,0:41,,,LVR 35,24.0,41.0,"Daniel Carlson kicks off 62 yards, returned by Kendric Pryor for 19 yards (tackle by Amari Burney)",0.0,0.41,9.0,2024,128
4.0,0:36,1.0,10.0,CIN 22,24.0,41.0,Jake Browning kneels for -1 yards,0.41,-0.27,9.0,2024,128
