Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA,week,year,game_id
4.0,3:08,1.0,10.0,NOR 25,31.0,24.0,Derek Carr pass complete short middle to Taysom Hill for 18 yards (tackle by Andrew Wingard),0.61,1.8,7.0,2023,94
4.0,2:47,1.0,10.0,NOR 43,31.0,24.0,Derek Carr pass complete short middle to Alvin Kamara for 9 yards (tackle by Foyesade Oluokun),1.8,2.47,7.0,2023,94
4.0,2:24,2.0,1.0,JAX 48,31.0,24.0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Foyesade Oluokun),2.47,2.85,7.0,2023,94
4.0,2:00,1.0,10.0,JAX 41,31.0,24.0,Derek Carr pass complete short right to Rashid Shaheed for 8 yards (tackle by Tre Herndon),2.85,3.39,7.0,2023,94
4.0,1:55,2.0,2.0,JAX 33,31.0,24.0,Alvin Kamara left guard for 15 yards (tackle by Andrew Wingard),3.39,4.37,7.0,2023,94
4.0,1:34,1.0,10.0,JAX 18,31.0,24.0,Derek Carr pass incomplete short right,4.37,3.8,7.0,2023,94
4.0,1:28,2.0,10.0,JAX 18,31.0,24.0,Derek Carr pass complete short middle to Chris Olave for 8 yards (tackle by Devin Lloyd),3.8,4.51,7.0,2023,94
4.0,1:07,3.0,2.0,JAX 10,31.0,24.0,Alvin Kamara left guard for 4 yards (tackle by Adam Gotsis),4.51,5.83,7.0,2023,94
4.0,0:41,1.0,6.0,JAX 6,31.0,24.0,Derek Carr pass incomplete short left intended for Michael Thomas,5.83,4.95,7.0,2023,94
4.0,0:36,2.0,6.0,JAX 6,31.0,24.0,Derek Carr pass incomplete short right intended for Taysom Hill,4.95,4.04,7.0,2023,94
4.0,0:30,,,,,,Timeout #1 by New Orleans Saints,,,7.0,2023,94
4.0,0:30,3.0,6.0,JAX 6,31.0,24.0,Derek Carr pass incomplete short left intended for Foster Moreau,4.04,2.99,7.0,2023,94
4.0,0:25,4.0,6.0,JAX 6,31.0,24.0,Derek Carr pass incomplete short left intended for Chris Olave (defended by Montaric Brown),2.99,0.38,7.0,2023,94
4.0,0:21,1.0,10.0,JAX 7,31.0,24.0,Trevor Lawrence kneels for -2 yards,-0.38,-0.93,7.0,2023,94
4.0,0:18,,,,,,Timeout #2 by New Orleans Saints,,,7.0,2023,94
4.0,0:18,2.0,12.0,JAX 5,31.0,24.0,Trevor Lawrence kneels for -1 yards,-0.93,-1.77,7.0,2023,94
4.0,0:16,,,,,,Timeout #3 by New Orleans Saints,,,7.0,2023,94
4.0,0:16,3.0,13.0,JAX 4,31.0,24.0,Trevor Lawrence kneels for -1 yards,-1.77,-2.49,7.0,2023,94
