Quarter,Time,Down,ToGo,Location,CLE,IND,Detail,EPB,EPA,week,year,game_id
4.0,5:13,2.0,6.0,CLE 29,33.0,38.0,P.J. Walker pass complete short right to David Njoku for -1 yards (tackle by Kenny Moore),0.6,-0.23,7.0,2023,95
4.0,4:26,3.0,7.0,CLE 28,33.0,38.0,P.J. Walker sacked by and Dayo Odeyingbo for -8 yards and Kenny Moore for -8 yards,-0.23,-2.03,7.0,2023,95
4.0,3:48,4.0,15.0,CLE 20,33.0,38.0,"Corey Bojorquez punts 57 yards, returned by Isaiah McKenzie for 9 yards (tackle by Mike Ford)",-2.03,-1.07,7.0,2023,95
4.0,3:39,1.0,10.0,IND 32,33.0,38.0,Zack Moss left guard for no gain (tackle by Jeremiah Owusu-Koramoah),1.07,0.53,7.0,2023,95
4.0,3:34,,,,,,Timeout #1 by Cleveland Browns,,,7.0,2023,95
4.0,3:34,2.0,10.0,IND 32,33.0,38.0,Jonathan Taylor left guard for no gain (tackle by Myles Garrett),0.53,-0.16,7.0,2023,95
4.0,3:31,,,,,,Timeout #2 by Cleveland Browns,,,7.0,2023,95
4.0,3:31,3.0,10.0,IND 32,33.0,38.0,"Penalty on Blake Freeland: False Start, 5 yards (accepted) (no play)",-0.16,-0.82,7.0,2023,95
4.0,3:31,3.0,15.0,IND 27,33.0,38.0,Isaiah McKenzie right end for 7 yards (tackle by Grant Delpit),-0.82,-1.11,7.0,2023,95
4.0,2:46,4.0,8.0,IND 34,33.0,38.0,"Rigoberto Sanchez punts 53 yards, returned by Donovan Peoples-Jones for 7 yards (tackle by E.J. Speed)",-1.11,-0.28,7.0,2023,95
4.0,2:35,1.0,10.0,CLE 20,33.0,38.0,P.J. Walker pass incomplete short middle intended for David Njoku (defended by DeForest Buckner),0.28,-0.27,7.0,2023,95
4.0,2:31,2.0,10.0,CLE 20,33.0,38.0,P.J. Walker pass incomplete short left intended for Amari Cooper,-0.27,-0.96,7.0,2023,95
4.0,2:27,3.0,10.0,CLE 20,33.0,38.0,P.J. Walker pass complete deep right to Elijah Moore for 30 yards (tackle by Darrell Baker),-0.96,2.26,7.0,2023,95
4.0,2:19,1.0,10.0,CLE 50,33.0,38.0,Pierre Strong left guard for 13 yards (tackle by Kwity Paye and Julian Blackmon),2.26,3.12,7.0,2023,95
4.0,2:00,1.0,10.0,IND 37,33.0,38.0,Pierre Strong left guard for 1 yard (tackle by Kwity Paye),3.12,2.71,7.0,2023,95
4.0,1:34,2.0,9.0,IND 36,33.0,38.0,P.J. Walker pass complete short right to Donovan Peoples-Jones for 17 yards (tackle by Rodney Thomas),2.71,4.31,7.0,2023,95
4.0,1:11,1.0,10.0,IND 19,33.0,38.0,Pierre Strong left tackle for -3 yards (tackle by Samson Ebukam),4.31,3.42,7.0,2023,95
4.0,0:51,2.0,12.0,IND 22,33.0,38.0,P.J. Walker pass complete short right to Amari Cooper for 9 yards (tackle by Darrell Baker),3.42,4.1,7.0,2023,95
4.0,0:47,,,,,,Timeout #3 by Cleveland Browns,,,7.0,2023,95
4.0,0:47,3.0,3.0,IND 13,33.0,38.0,"P.J. Walker sacked by. P.J. Walker fumbles, recovered by DeForest Buckner at IND-13 (no play)",4.1,0.0,7.0,2023,95
4.0,0:38,1.0,10.0,IND 8,33.0,38.0,"P.J. Walker pass incomplete intended for Donovan Peoples-Jones. Penalty on Darrell Baker: Defensive Pass Interference, 7 yards (accepted) (no play)",0.0,6.97,7.0,2023,95
4.0,0:33,1.0,1.0,IND 1,33.0,38.0,P.J. Walker pass incomplete short left intended for David Njoku (defended by Rodney Thomas),6.97,5.91,7.0,2023,95
4.0,0:28,2.0,1.0,IND 1,33.0,38.0,P.J. Walker pass incomplete short middle intended for David Njoku,5.91,5.17,7.0,2023,95
4.0,0:25,,,,,,Timeout #1 by Indianapolis Colts,,,7.0,2023,95
4.0,0:25,3.0,1.0,IND 1,33.0,38.0,P.J. Walker pass incomplete short right intended for Elijah Moore,5.17,3.55,7.0,2023,95
4.0,0:19,4.0,1.0,IND 1,39.0,38.0,"Kareem Hunt up the middle for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",3.55,7.0,7.0,2023,95
4.0,0:15,,,,,,Timeout #2 by Indianapolis Colts,,,7.0,2023,95
4.0,0:15,,,IND 2,39.0,38.0,"Two Point Attempt: Pierre Strong rushes, conversion fails.",1.0,-1.0,7.0,2023,95
4.0,0:15,,,CLE 35,39.0,38.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,7.0,2023,95
4.0,0:15,1.0,10.0,IND 25,39.0,38.0,Gardner Minshew pass incomplete deep middle intended for Michael Pittman (defended by Anthony Walker),0.61,0.06,7.0,2023,95
4.0,0:09,2.0,10.0,IND 25,39.0,38.0,"Gardner Minshew sacked by Za'Darius Smith for no gain. Gardner Minshew fumbles (forced by Za'Darius Smith), recovered by Ogbonnia Okoronkwo at IND-26 (tackle by Za'Darius Smith)",0.06,-3.84,7.0,2023,95
4.0,0:02,1.0,10.0,IND 26,39.0,38.0,P.J. Walker kneels for -1 yards,3.84,3.16,7.0,2023,95
