Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA,week,year,game_id
2.0,0:34,1.0,10.0,ARI 40,10.0,20.0,"C.J. Stroud pass complete deep right to Tank Dell for 40 yards, touchdown",2.92,7.0,11.0,2023,158
2.0,0:26,,,ARI 15,10.0,21.0,Matt Ammendola kicks extra point good,0.0,0.0,11.0,2023,158
2.0,0:26,,,HOU 35,10.0,21.0,"Penalty on Antonio Hamilton: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,11.0,2023,158
2.0,0:26,,,HOU 50,10.0,21.0,"Matt Ammendola kicks off 46 yards, returned by Greg Dortch for 23 yards (tackle by Neville Hewitt)",0.0,0.74,11.0,2023,158
2.0,0:17,1.0,10.0,ARI 27,10.0,21.0,Kyler Murray pass complete short right to Greg Dortch for 12 yards (tackle by Blake Cashman),0.74,1.53,11.0,2023,158
2.0,0:11,,,,,,Timeout #2 by Arizona Cardinals,,,11.0,2023,158
2.0,0:11,1.0,10.0,ARI 39,10.0,21.0,Kyler Murray pass complete short middle to Trey McBride for 7 yards (tackle by Tavierre Thomas),1.53,1.93,11.0,2023,158
2.0,0:06,,,,,,Timeout #3 by Arizona Cardinals,,,11.0,2023,158
2.0,0:06,,,,,,Timeout #3 by Houston Texans,,,11.0,2023,158
2.0,0:06,2.0,3.0,ARI 46,10.0,21.0,Kyler Murray pass incomplete deep left (defended by Blake Cashman),1.93,1.22,11.0,2023,158
3.0,15:00,,,ARI 35,10.0,21.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,11.0,2023,158
3.0,15:00,1.0,10.0,HOU 25,10.0,21.0,Devin Singletary left tackle for 5 yards (tackle by Josh Woods and Krys Barnes),0.61,0.74,11.0,2023,158
3.0,14:19,2.0,5.0,HOU 30,10.0,21.0,C.J. Stroud pass complete short left to Devin Singletary for 4 yards (tackle by Victor Dimukeje),0.74,0.56,11.0,2023,158
3.0,13:48,3.0,1.0,HOU 34,10.0,21.0,Devin Singletary right end for 21 yards (tackle by Jalen Thompson),0.56,2.59,11.0,2023,158
3.0,13:06,1.0,10.0,ARI 45,10.0,21.0,C.J. Stroud sacked by Jalen Thompson for -9 yards,2.59,0.83,11.0,2023,158
3.0,12:37,2.0,19.0,HOU 46,10.0,21.0,Davis Mills pass complete short right to Devin Singletary for 2 yards (tackle by Budda Baker),0.83,0.43,11.0,2023,158
3.0,11:56,3.0,17.0,HOU 48,10.0,21.0,C.J. Stroud pass complete deep right to Tank Dell for 18 yards (tackle by Marco Wilson),0.43,3.31,11.0,2023,158
3.0,11:07,1.0,10.0,ARI 34,10.0,21.0,C.J. Stroud pass complete short left to Robert Woods for 2 yards (tackle by Dante Stills),3.31,3.04,11.0,2023,158
3.0,10:38,2.0,8.0,ARI 32,10.0,21.0,Devin Singletary left guard for -3 yards (tackle by Victor Dimukeje),3.04,1.95,11.0,2023,158
3.0,10:00,3.0,11.0,ARI 35,10.0,21.0,C.J. Stroud pass complete short left to Mike Boone for 5 yards (tackle by Marco Wilson),1.95,1.43,11.0,2023,158
3.0,9:19,4.0,6.0,ARI 30,10.0,21.0,Matt Ammendola 48 yard field goal no good,1.43,-1.47,11.0,2023,158
3.0,9:15,1.0,10.0,ARI 38,10.0,21.0,James Conner up the middle for 11 yards (tackle by Derek Stingley and Jalen Pitre),1.47,2.19,11.0,2023,158
