Quarter,Time,Down,ToGo,Location,NWE,CLE,Detail,EPB,EPA,week,year,game_id
4.0,4:06,2.0,3.0,CLE 24,31.0,15.0,"Jacoby Brissett sacked by. Jacoby Brissett fumbles, recovered by Carl Davis at CLE-25 and returned for 17 yards (tackle by Jack Conklin) Replay Assistant challenged the fumble ruling, and the play was upheld.",0.48,-5.37,6.0,2022,84
4.0,3:56,1.0,8.0,CLE 8,31.0,15.0,Kevin Harris right guard for 3 yards (tackle by Jacob Phillips and Jeremiah Owusu-Koramoah),5.37,5.15,6.0,2022,84
4.0,3:50,,,,,,Timeout #1 by Cleveland Browns,,,6.0,2022,84
4.0,3:50,2.0,5.0,CLE 5,31.0,15.0,Tyquan Thornton right end for -1 yards (tackle by Sione Takitaki),5.15,4.04,6.0,2022,84
4.0,3:45,3.0,6.0,CLE 6,37.0,15.0,"Rhamondre Stevenson right guard for 6 yards, touchdown",4.04,7.0,6.0,2022,84
4.0,3:40,,,CLE 15,38.0,15.0,Nick Folk kicks extra point good,0.0,0.0,6.0,2022,84
4.0,3:40,,,NWE 35,38.0,15.0,"Jake Bailey kicks off 61 yards, returned by Chester Rogers for 13 yards (tackle by Brenden Schooler and Mack Wilson)",0.0,-0.06,6.0,2022,84
4.0,3:35,1.0,10.0,CLE 17,38.0,15.0,Jacoby Brissett pass complete short right to Michael Woods for 15 yards (tackle by Jack Jones),-0.06,1.07,6.0,2022,84
4.0,3:15,1.0,10.0,CLE 32,38.0,15.0,Jacoby Brissett pass incomplete short middle intended for David Bell,1.07,0.53,6.0,2022,84
4.0,3:11,2.0,10.0,CLE 32,38.0,15.0,Jacoby Brissett pass complete short right to D'Ernest Johnson for 2 yards (tackle by Mack Wilson),0.53,0.1,6.0,2022,84
4.0,2:45,3.0,8.0,CLE 34,38.0,15.0,Jacoby Brissett pass incomplete intended for Harrison Bryant,0.1,-1.11,6.0,2022,84
4.0,2:41,4.0,8.0,CLE 34,38.0,15.0,Jacoby Brissett pass complete deep left to Donovan Peoples-Jones for 22 yards (tackle by Shaun Wade),-1.11,1.86,6.0,2022,84
4.0,2:25,1.0,10.0,CLE 44,38.0,15.0,Jacoby Brissett pass complete short left to D'Ernest Johnson for 7 yards (tackle by Raekwon McMillan),1.86,3.06,6.0,2022,84
4.0,2:03,2.0,3.0,NWE 37,38.0,15.0,Jacoby Brissett pass incomplete deep left intended for Michael Woods,3.06,2.35,6.0,2022,84
4.0,1:57,3.0,3.0,NWE 37,38.0,15.0,Jacoby Brissett pass incomplete short left intended for Anthony Schwartz,2.35,0.79,6.0,2022,84
4.0,1:53,4.0,3.0,NWE 37,38.0,15.0,Jacoby Brissett pass incomplete short left intended for Anthony Schwartz,0.79,-1.4,6.0,2022,84
4.0,1:50,1.0,10.0,NWE 37,38.0,15.0,Bailey Zappe kneels for -2 yards,1.4,0.59,6.0,2022,84
4.0,1:09,2.0,12.0,NWE 35,38.0,15.0,Bailey Zappe kneels for -1 yards,0.59,-0.23,6.0,2022,84
4.0,0:29,3.0,13.0,NWE 34,38.0,15.0,Bailey Zappe kneels for -1 yards,-0.23,-1.18,6.0,2022,84
