Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA,week,year,game_id
2.0,11:09,,,DAL 35,3.0,18.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
2.0,11:09,1.0,10.0,NWE 25,3.0,18.0,Mac Jones pass complete short left to Rhamondre Stevenson for 3 yards (tackle by Jourdan Lewis),0.61,0.47,4.0,2023,62
2.0,10:30,2.0,7.0,NWE 28,3.0,18.0,Ezekiel Elliott left guard for 1 yard (tackle by Markquese Bell and DeMarcus Lawrence),0.47,-0.1,4.0,2023,62
2.0,9:52,3.0,6.0,NWE 29,3.0,18.0,Mac Jones pass incomplete short right intended for DeVante Parker (defended by DaRon Bland),-0.1,-1.44,4.0,2023,62
2.0,9:43,4.0,6.0,NWE 29,3.0,18.0,"Bryce Baringer punts 50 yards, returned by KaVontae Turpin for 1 yard (tackle by Matthew Slater)",-1.44,-0.41,4.0,2023,62
2.0,9:36,1.0,10.0,DAL 22,3.0,18.0,Dak Prescott pass complete short left to CeeDee Lamb for 1 yard (tackle by Jalen Mills),0.41,0.0,4.0,2023,62
2.0,9:09,2.0,9.0,DAL 23,3.0,18.0,Dak Prescott pass complete deep left to Jake Ferguson for 21 yards (tackle by Kyle Dugger),0.0,1.86,4.0,2023,62
2.0,8:34,1.0,10.0,DAL 44,3.0,18.0,Dak Prescott pass complete short right to CeeDee Lamb for 12 yards (tackle by Myles Bryant),1.86,2.65,4.0,2023,62
2.0,7:58,1.0,10.0,NWE 44,3.0,18.0,Tony Pollard left guard for 16 yards (tackle by Kyle Dugger),2.65,3.71,4.0,2023,62
2.0,7:20,1.0,10.0,NWE 28,3.0,18.0,Rico Dowdle left guard for 9 yards (tackle by Kyle Dugger),3.71,4.42,4.0,2023,62
2.0,6:38,2.0,1.0,NWE 19,3.0,18.0,Rico Dowdle left end for -4 yards (tackle by Jahlani Tavai and Deatrich Wise),4.42,3.14,4.0,2023,62
2.0,6:00,3.0,5.0,NWE 23,3.0,18.0,Dak Prescott pass complete short middle to Jake Ferguson for 12 yards (tackle by Kyle Dugger),3.14,4.84,4.0,2023,62
2.0,5:27,1.0,10.0,NWE 11,3.0,18.0,Tony Pollard up the middle for 3 yards (tackle by Deatrich Wise and Davon Godchaux),4.84,4.7,4.0,2023,62
2.0,4:53,2.0,7.0,NWE 8,3.0,18.0,Dak Prescott pass incomplete short middle intended for Luke Schoonmaker (defended by Ja'Whaun Bentley),4.7,3.76,4.0,2023,62
2.0,4:45,3.0,7.0,NWE 8,3.0,18.0,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by Jalen Mills),3.76,3.01,4.0,2023,62
2.0,4:06,4.0,4.0,NWE 5,3.0,21.0,Brandon Aubrey 23 yard field goal good,3.01,3.0,4.0,2023,62
2.0,4:03,,,DAL 35,3.0,21.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
2.0,4:03,1.0,10.0,NWE 25,3.0,21.0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,0.61,0.06,4.0,2023,62
2.0,3:58,2.0,10.0,NWE 25,3.0,21.0,"Rhamondre Stevenson left guard for 4 yards (tackle by Juanyeh Thomas and Malik Hooker). Penalty on Michael Onwenu: Offensive Holding, 10 yards (accepted)",0.06,-0.81,4.0,2023,62
2.0,3:43,2.0,16.0,NWE 19,3.0,21.0,Mac Jones pass complete short left to Kendrick Bourne for 16 yards (tackle by DaRon Bland),-0.81,1.27,4.0,2023,62
2.0,3:04,1.0,10.0,NWE 35,3.0,21.0,Rhamondre Stevenson left guard for 2 yards (tackle by Leighton Vander Esch and Damone Clark),1.27,0.99,4.0,2023,62
2.0,2:26,2.0,8.0,NWE 37,3.0,21.0,Mac Jones scrambles up the middle for 3 yards (tackle by Leighton Vander Esch),0.99,0.7,4.0,2023,62
2.0,2:00,3.0,5.0,NWE 40,3.0,21.0,Mac Jones pass complete short middle to Hunter Henry for 12 yards (tackle by Donovan Wilson and Leighton Vander Esch),0.7,2.39,4.0,2023,62
2.0,1:28,1.0,10.0,DAL 48,3.0,21.0,Rhamondre Stevenson up the middle for no gain (tackle by Dorance Armstrong),2.39,1.85,4.0,2023,62
2.0,1:07,2.0,10.0,DAL 48,3.0,27.0,"Mac Jones pass short left intended for Kendrick Bourne is intercepted by DaRon Bland at DAL-46 and returned for 54 yards, touchdown",1.85,-7.0,4.0,2023,62
