Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA,week,year,game_id
4.0,2:50,2.0,2.0,KAN 33,41.0,31.0,Clyde Edwards-Helaire up the middle for 1 yard (tackle by Lavonte David and William Gholston),1.14,0.56,4.0,2022,63
4.0,2:41,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,4.0,2022,63
4.0,2:41,3.0,1.0,KAN 34,41.0,31.0,Clyde Edwards-Helaire up the middle for 2 yards (tackle by William Gholston),0.56,1.33,4.0,2022,63
4.0,2:00,1.0,10.0,KAN 36,41.0,31.0,Clyde Edwards-Helaire right end for 5 yards (tackle by Vita Vea and Sean Murphy-Bunting),1.33,1.47,4.0,2022,63
4.0,1:53,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,4.0,2022,63
4.0,1:53,2.0,5.0,KAN 41,41.0,31.0,Clyde Edwards-Helaire right end for -2 yards (tackle by Rakeem Nunez-Roches),1.47,0.5,4.0,2022,63
4.0,1:20,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,4.0,2022,63
4.0,1:20,3.0,7.0,KAN 39,41.0,31.0,"Clyde Edwards-Helaire left end for 9 yards (tackle by Antoine Winfield). Penalty on Jody Fortson: Offensive Holding, 10 yards (accepted) (no play)",0.5,-0.82,4.0,2022,63
4.0,1:41,3.0,17.0,KAN 29,41.0,31.0,Isiah Pacheco right end for 7 yards (tackle by Devin White and Mike Edwards),-0.82,-0.98,4.0,2022,63
4.0,0:52,,,,,,Timeout #2 by Kansas City Chiefs,,,4.0,2022,63
4.0,0:52,4.0,10.0,KAN 36,41.0,31.0,"Tommy Townsend punts 43 yards, fair catch by Jaelon Darden at TB-21",-0.98,-0.34,4.0,2022,63
4.0,0:45,1.0,10.0,TAM 21,41.0,31.0,Tom Brady pass complete short middle to Cade Otton for 11 yards (tackle by Justin Reid and Nick Bolton),0.34,1.07,4.0,2022,63
4.0,0:29,1.0,10.0,TAM 32,41.0,31.0,Tom Brady pass incomplete deep left intended for Mike Evans (defended by Rashad Fenton),1.07,0.53,4.0,2022,63
4.0,0:21,2.0,10.0,TAM 32,41.0,31.0,"Tom Brady pass complete short left to Mike Evans for 12 yards, lateral to Rachaad White for no gain (tackle by Rashad Fenton)",0.53,2.52,4.0,2022,63
4.0,0:12,1.0,10.0,KAN 46,41.0,31.0,Tom Brady pass complete short left to Rachaad White for 1 yard (tackle by Justin Reid),2.52,2.11,4.0,2022,63
4.0,0:07,2.0,9.0,KAN 45,41.0,31.0,"Tom Brady pass complete short right to Russell Gage for 14 yards, lateral to Chris Godwin for no gain (tackle by Jaylen Watson)",2.11,1.4,4.0,2022,63
