Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA,week,year,game_id
4.0,1:14,3.0,9.0,NOR 28,25.0,25.0,K.J. Osborn right end for -1 yards (tackle by Bradley Roby),2.54,1.5,4.0,2022,50
4.0,0:29,,,,,,Timeout #1 by Minnesota Vikings,,,4.0,2022,50
4.0,0:29,4.0,10.0,NOR 29,28.0,25.0,Greg Joseph 47 yard field goal good,1.5,3.0,4.0,2022,50
4.0,0:24,,,MIN 35,28.0,25.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,4.0,2022,50
4.0,0:24,1.0,10.0,NOR 25,28.0,25.0,Andy Dalton pass complete deep middle to Chris Olave for 32 yards (tackle by Camryn Bynum),0.61,2.72,4.0,2022,50
4.0,0:12,,,,,,Timeout #2 by Minnesota Vikings,,,4.0,2022,50
4.0,0:12,1.0,10.0,MIN 43,28.0,25.0,Andy Dalton pass incomplete short right intended for Tre'Quan Smith,2.72,2.18,4.0,2022,50
4.0,0:09,2.0,10.0,MIN 43,28.0,25.0,Andy Dalton pass incomplete short right intended for Chris Olave,2.18,1.49,4.0,2022,50
4.0,0:02,,,,,,Timeout #3 by Minnesota Vikings,,,4.0,2022,50
4.0,0:02,3.0,10.0,MIN 43,28.0,25.0,Wil Lutz 61 yard field goal no good,1.49,2.26,4.0,2022,50
