Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA,week,year,game_id
4.0,3:16,4.0,2.0,NOR 38,14.0,11.0,"Matthew Hayball punts 51 yards, returned by Ihmir Smith-Marsette for 3 yards (tackle by J.T. Gray)",-0.85,0.28,14.0,2024,202
4.0,3:07,1.0,10.0,NYG 14,14.0,11.0,Drew Lock scrambles left end for 3 yards (tackle by Pete Werner),-0.28,-0.37,14.0,2024,202
4.0,2:33,2.0,7.0,NYG 17,14.0,11.0,Drew Lock pass incomplete deep middle intended for Malik Nabers,-0.37,-1.04,14.0,2024,202
4.0,2:29,3.0,7.0,NYG 17,14.0,11.0,Drew Lock pass complete deep left to Darius Slayton for 20 yards (tackle by Kool-Aid McKinstry),-1.04,1.4,14.0,2024,202
4.0,2:23,1.0,10.0,NYG 37,14.0,11.0,"Penalty on Drew Lock: Delay of Game, 5 yards (accepted) (no play)",1.4,1.07,14.0,2024,202
4.0,2:23,1.0,15.0,NYG 32,14.0,11.0,Drew Lock pass incomplete short right intended for Daniel Bellinger (defended by Payton Turner),1.07,0.18,14.0,2024,202
4.0,2:19,2.0,15.0,NYG 32,14.0,11.0,Drew Lock pass complete short left to Tyrone Tracy for 6 yards (tackle by Pete Werner),0.18,0.3,14.0,2024,202
4.0,2:00,3.0,9.0,NYG 38,14.0,11.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,0.3,-0.85,14.0,2024,202
4.0,1:52,4.0,9.0,NYG 38,14.0,11.0,Drew Lock pass short right intended for Darius Slayton is intercepted by Demario Davis at NO-47 and returned for no gain,-0.85,-2.06,14.0,2024,202
4.0,1:44,1.0,10.0,NOR 47,14.0,11.0,Jamaal Williams up the middle for 1 yard (tackle by Elijah Garcia and Elijah Chatman),2.06,1.65,14.0,2024,202
4.0,1:39,,,,,,Timeout #1 by New York Giants,,,14.0,2024,202
4.0,1:39,2.0,9.0,NOR 48,14.0,11.0,Jake Haener sacked by Kayvon Thibodeaux for -10 yards,1.65,-0.36,14.0,2024,202
4.0,1:34,,,,,,Timeout #2 by New York Giants,,,14.0,2024,202
4.0,1:34,3.0,19.0,NOR 38,14.0,11.0,Alvin Kamara up the middle for 1 yard (tackle by Darius Muasau),-0.36,-0.78,14.0,2024,202
4.0,1:31,,,,,,Timeout #3 by New York Giants,,,14.0,2024,202
4.0,1:31,4.0,18.0,NOR 39,14.0,11.0,"Matthew Hayball punts 43 yards, returned by Ihmir Smith-Marsette for 9 yards (tackle by J.T. Gray)",-0.78,-0.74,14.0,2024,202
4.0,1:21,1.0,10.0,NYG 27,14.0,11.0,Drew Lock pass complete short middle to Tyrone Tracy for 13 yards (tackle by Will Harris),0.74,1.6,14.0,2024,202
4.0,1:02,1.0,10.0,NYG 40,14.0,11.0,Drew Lock pass incomplete deep right intended for Malik Nabers (defended by Alontae Taylor),1.6,1.05,14.0,2024,202
4.0,0:57,2.0,10.0,NYG 40,14.0,11.0,Drew Lock pass incomplete short right intended for Malik Nabers (defended by Carl Granderson),1.05,0.37,14.0,2024,202
4.0,0:54,3.0,10.0,NYG 40,14.0,11.0,Drew Lock pass incomplete short middle intended for Wan'Dale Robinson (defended by Ugo Amadi),0.37,-0.72,14.0,2024,202
4.0,0:49,4.0,10.0,NYG 40,14.0,11.0,Drew Lock scrambles right end for 25 yards (tackle by Jordan Howden),-0.72,3.25,14.0,2024,202
4.0,0:41,1.0,10.0,NOR 35,14.0,11.0,Drew Lock pass complete short right to Malik Nabers for 23 yards (tackle by Carl Granderson),3.25,4.78,14.0,2024,202
4.0,0:20,1.0,10.0,NOR 12,14.0,11.0,Drew Lock spiked the ball,4.78,4.1,14.0,2024,202
4.0,0:20,2.0,10.0,NOR 12,14.0,11.0,"Penalty on Joshua Ezeudu: False Start, 5 yards (accepted) (no play)",4.1,3.42,14.0,2024,202
4.0,0:20,2.0,15.0,NOR 17,14.0,11.0,Drew Lock pass incomplete deep middle intended for Wan'Dale Robinson (defended by Will Harris),3.42,2.84,14.0,2024,202
4.0,0:16,3.0,15.0,NOR 17,14.0,11.0,Drew Lock pass incomplete deep right intended for Darius Slayton,2.84,2.31,14.0,2024,202
4.0,0:11,4.0,15.0,NOR 17,14.0,11.0,Graham Gano 35 yard field goal no good blocked by Bryan Bresee,2.31,-0.61,14.0,2024,202
4.0,0:08,1.0,10.0,NOR 25,14.0,11.0,Jake Haener kneels for -1 yards,0.61,-0.07,14.0,2024,202
