Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
2.0,2:01,,,MIN 35,7.0,14.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
2.0,2:01,1.0,10.0,ATL 30,7.0,14.0,"Bijan Robinson left tackle for no gain (tackle by Blake Cashman). Penalty on Matthew Bergeron: Offensive Holding, 10 yards (accepted) (no play)",0.94,0.28,14.0,2024,197
2.0,1:56,1.0,20.0,ATL 20,7.0,14.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 4 yards (tackle by Shaquill Griffin),0.28,-0.42,14.0,2024,197
2.0,1:52,,,,,,Timeout #1 by Minnesota Vikings,,,14.0,2024,197
2.0,1:52,2.0,16.0,ATL 24,7.0,14.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 16 yards (tackle by Josh Metellus),-0.42,1.6,14.0,2024,197
2.0,1:46,1.0,10.0,ATL 40,7.0,14.0,"Kirk Cousins scrambles right end for no gain (tackle by Camryn Bynum). Penalty on Chris Lindstrom: Offensive Holding, 10 yards (accepted) (no play)",1.6,0.94,14.0,2024,197
2.0,1:39,1.0,20.0,ATL 30,7.0,14.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 12 yards (tackle by Fabian Moreau),0.94,1.32,14.0,2024,197
2.0,1:02,2.0,8.0,ATL 42,7.0,14.0,Kirk Cousins pass incomplete short left intended for Kyle Pitts,1.32,0.63,14.0,2024,197
2.0,0:59,3.0,8.0,ATL 42,7.0,14.0,Kirk Cousins pass complete deep left to Darnell Mooney for 49 yards (tackle by Camryn Bynum),0.63,5.14,14.0,2024,197
2.0,0:45,,,,,,Timeout #1 by Atlanta Falcons,,,14.0,2024,197
2.0,0:45,1.0,9.0,MIN 9,7.0,14.0,Bijan Robinson right end for 8 yards (tackle by Fabian Moreau),5.14,5.91,14.0,2024,197
2.0,0:20,,,,,,Timeout #2 by Minnesota Vikings,,,14.0,2024,197
2.0,0:20,2.0,1.0,MIN 1,7.0,14.0,Bijan Robinson left end for -1 yards (tackle by Harrison Smith and Josh Metellus),5.91,4.95,14.0,2024,197
2.0,0:15,,,,,,Timeout #2 by Atlanta Falcons,,,14.0,2024,197
2.0,0:15,3.0,2.0,MIN 2,7.0,14.0,Kirk Cousins pass incomplete short left intended for Drake London (defended by Jalen Redmond),4.95,3.25,14.0,2024,197
2.0,0:13,4.0,2.0,MIN 2,10.0,14.0,Younghoe Koo 20 yard field goal good,3.25,3.0,14.0,2024,197
2.0,0:10,,,ATL 35,10.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
2.0,0:10,1.0,10.0,MIN 30,10.0,14.0,Sam Darnold kneels for -1 yards,0.94,0.26,14.0,2024,197
3.0,15:00,,,ATL 35,10.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
3.0,15:00,1.0,10.0,MIN 30,10.0,14.0,Aaron Jones left tackle for 5 yards (tackle by Zach Harrison and Eddie Goldman),0.94,1.07,14.0,2024,197
3.0,14:25,2.0,5.0,MIN 35,10.0,14.0,Sam Darnold pass complete short left to T.J. Hockenson for 10 yards (tackle by Zach Harrison and Kaden Elliss),1.07,1.93,14.0,2024,197
3.0,13:55,1.0,10.0,MIN 45,10.0,14.0,Sam Darnold pass complete short left to Aaron Jones for 6 yards (tackle by Justin Simmons),1.93,2.19,14.0,2024,197
3.0,13:12,2.0,4.0,ATL 49,10.0,14.0,Aaron Jones up the middle for -1 yards (tackle by Grady Jarrett and Nathan Landman),2.19,1.36,14.0,2024,197
3.0,12:33,3.0,5.0,ATL 50,10.0,14.0,Sam Darnold pass complete short right to T.J. Hockenson for 18 yards (tackle by Justin Simmons and Jessie Bates),1.36,3.45,14.0,2024,197
3.0,11:54,1.0,10.0,ATL 32,10.0,14.0,Aaron Jones left tackle for 6 yards (tackle by Kentavius Street),3.45,3.71,14.0,2024,197
3.0,11:13,2.0,4.0,ATL 26,10.0,14.0,"Sam Darnold pass incomplete short left intended for Josh Oliver. Penalty on Jordan Addison: Offensive Pass Interference, 10 yards (accepted) (no play)",3.71,2.36,14.0,2024,197
3.0,11:07,2.0,14.0,ATL 36,10.0,14.0,Sam Darnold sacked by Kaden Elliss for -8 yards,2.36,0.63,14.0,2024,197
3.0,10:40,3.0,22.0,ATL 44,10.0,14.0,Sam Darnold pass complete short left to Justin Jefferson for 15 yards (tackle by Jessie Bates),0.63,1.5,14.0,2024,197
3.0,10:01,4.0,7.0,ATL 29,10.0,14.0,Will Reichard 47 yard field goal no good,1.5,-1.4,14.0,2024,197
3.0,9:56,1.0,10.0,ATL 37,10.0,14.0,Bijan Robinson right end for -4 yards (tackle by Jalen Redmond),1.4,0.32,14.0,2024,197
3.0,9:18,2.0,14.0,ATL 33,10.0,14.0,Kirk Cousins pass incomplete deep middle intended for Kyle Pitts,0.32,-0.36,14.0,2024,197
3.0,9:12,3.0,14.0,ATL 33,10.0,14.0,"Kirk Cousins pass complete deep middle to Drake London for 20 yards (tackle by Shaquill Griffin) MIN challenged the pass interception ruling, and the play was upheld.",-0.36,2.46,14.0,2024,197
