Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA,week,year,game_id
3.0,1:01,1.0,10.0,KAN 37,7.0,16.0,Derek Carr pass complete short right to Alvin Kamara for 9 yards (tackle by Trent McDuffie and Drue Tranquill),3.12,3.79,5.0,2024,78
3.0,0:25,2.0,1.0,KAN 28,7.0,16.0,Derek Carr pass incomplete short left,3.79,3.07,5.0,2024,78
3.0,0:22,,,,,,Timeout #1 by New Orleans Saints,,,5.0,2024,78
3.0,0:22,3.0,1.0,KAN 28,7.0,16.0,"Alvin Kamara right end for no gain (tackle by Justin Reid). Penalty on Chris Jones: Defensive Offside, 5 yards (accepted) (no play)",3.07,4.04,5.0,2024,78
3.0,0:06,1.0,10.0,KAN 23,7.0,16.0,Derek Carr pass incomplete short middle,4.04,3.5,5.0,2024,78
3.0,0:02,2.0,10.0,KAN 23,7.0,16.0,Derek Carr pass complete short left to Alvin Kamara for 14 yards (tackle by Trent McDuffie and Nick Bolton),3.5,5.14,5.0,2024,78
4.0,15:00,1.0,9.0,KAN 9,7.0,16.0,Alvin Kamara right end for 3 yards (tackle by Justin Reid and Nick Bolton),5.14,4.95,5.0,2024,78
4.0,14:22,2.0,6.0,KAN 6,13.0,16.0,"Derek Carr pass complete short right to Foster Moreau for 6 yards, touchdown",4.95,7.0,5.0,2024,78
4.0,14:16,,,KAN 15,13.0,16.0,Blake Grupe kicks extra point no good,0.0,-1.0,5.0,2024,78
4.0,14:16,,,NOR 35,13.0,16.0,"Blake Grupe kicks off 58 yards, returned by Carson Steele for 25 yards (tackle by Jordan Howden)",0.0,1.07,5.0,2024,78
4.0,14:11,1.0,10.0,KAN 32,13.0,16.0,Kareem Hunt right guard for 4 yards (tackle by Khalen Saunders and Isaiah Foskey),1.07,1.07,5.0,2024,78
4.0,13:36,2.0,6.0,KAN 36,13.0,16.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 50 yards (tackle by Johnathan Abram),1.07,4.65,5.0,2024,78
4.0,12:58,1.0,10.0,NOR 14,13.0,16.0,Kareem Hunt up the middle for 2 yards (tackle by Anfernee Orji),4.65,4.33,5.0,2024,78
4.0,12:26,2.0,8.0,NOR 12,13.0,16.0,"Kareem Hunt left end for 5 yards (tackle by Nathan Shepherd). Penalty on Carl Granderson: Defensive Holding, 4 yards (accepted)",4.33,6.51,5.0,2024,78
4.0,12:00,1.0,3.0,NOR 3,13.0,22.0,"Xavier Worthy right end for 3 yards, touchdown",6.51,7.0,5.0,2024,78
4.0,11:56,,,NOR 15,13.0,23.0,Harrison Butker kicks extra point good,0.0,0.0,5.0,2024,78
4.0,11:56,,,KAN 35,13.0,23.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,78
4.0,11:56,1.0,10.0,NOR 30,13.0,23.0,Derek Carr pass complete short left to Chris Olave for 6 yards (tackle by Jaylen Watson),0.94,1.2,5.0,2024,78
4.0,11:18,2.0,4.0,NOR 36,13.0,23.0,Derek Carr pass complete short middle to Juwan Johnson for 6 yards (tackle by Drue Tranquill and Nick Bolton),1.2,1.73,5.0,2024,78
4.0,10:48,1.0,10.0,NOR 42,13.0,23.0,"Penalty on Tershawn Wharton: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.73,2.72,5.0,2024,78
4.0,10:48,1.0,10.0,KAN 43,13.0,23.0,Alvin Kamara left end for -2 yards (tackle by Nick Bolton and Chamarri Conner),2.72,1.91,5.0,2024,78
4.0,10:13,2.0,12.0,KAN 45,13.0,23.0,Derek Carr pass complete short left to Alvin Kamara for 4 yards (tackle by Justin Reid),1.91,1.75,5.0,2024,78
4.0,9:43,3.0,8.0,KAN 41,13.0,23.0,Derek Carr pass incomplete deep right intended for Rashid Shaheed,1.75,0.53,5.0,2024,78
4.0,9:38,,,,,,Timeout #2 by New Orleans Saints,,,5.0,2024,78
4.0,9:38,4.0,8.0,KAN 41,13.0,23.0,Derek Carr pass incomplete deep left intended for Mason Tipton,0.53,-1.73,5.0,2024,78
4.0,9:32,1.0,10.0,KAN 42,13.0,23.0,Kareem Hunt right end for 1 yard (tackle by Anfernee Orji),1.73,1.32,5.0,2024,78
4.0,8:54,2.0,9.0,KAN 43,13.0,23.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Johnathan Abram),1.32,2.65,5.0,2024,78
4.0,8:13,1.0,10.0,NOR 44,13.0,23.0,Kareem Hunt right end for 5 yards (tackle by Demario Davis),2.65,2.78,5.0,2024,78
4.0,7:34,2.0,5.0,NOR 39,13.0,23.0,Kareem Hunt left end for -4 yards (tackle by Alontae Taylor),2.78,1.55,5.0,2024,78
4.0,6:53,3.0,9.0,NOR 43,13.0,23.0,"Patrick Mahomes scrambles left end for 9 yards (tackle by Bryan Bresee) KAN challenged the short of the line to gain ruling, and the original play was overturned. Patrick Mahomes scrambles left end for 9 yards (tackle by Bryan Bresee)",1.55,3.31,5.0,2024,78
4.0,6:10,1.0,10.0,NOR 34,13.0,23.0,Kareem Hunt right guard for 4 yards (tackle by Demario Davis and Carl Granderson),3.31,3.31,5.0,2024,78
4.0,5:29,2.0,6.0,NOR 30,13.0,23.0,Patrick Mahomes pass complete short left to Mecole Hardman for 15 yards (tackle by Anfernee Orji),3.31,4.58,5.0,2024,78
4.0,4:45,1.0,10.0,NOR 15,13.0,23.0,Kareem Hunt right guard for 4 yards (tackle by John Ridgeway and D'Marco Jackson),4.58,4.64,5.0,2024,78
4.0,4:03,2.0,6.0,NOR 11,13.0,23.0,"Kareem Hunt left end for no gain (tackle by Demario Davis). Penalty on Jared Wiley: Offensive Holding, 10 yards (declined) . Penalty on Creed Humphrey: Offensive Holding, 10 yards (accepted) (no play)",4.64,3.21,5.0,2024,78
4.0,3:58,2.0,16.0,NOR 21,13.0,23.0,Patrick Mahomes sacked by Bryan Bresee for -4 yards,3.21,2.01,5.0,2024,78
4.0,3:14,3.0,20.0,NOR 25,13.0,23.0,Kareem Hunt right guard for 5 yards (tackle by Carl Granderson),2.01,2.12,5.0,2024,78
4.0,3:07,,,,,,Timeout #3 by New Orleans Saints,,,5.0,2024,78
4.0,3:07,4.0,15.0,NOR 20,13.0,26.0,Harrison Butker 38 yard field goal good,2.12,3.0,5.0,2024,78
4.0,3:03,,,KAN 35,13.0,26.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.28,5.0,2024,78
4.0,3:03,1.0,10.0,NOR 20,13.0,26.0,Jake Haener pass incomplete short middle intended for Alvin Kamara,0.28,-0.27,5.0,2024,78
4.0,2:59,2.0,10.0,NOR 20,13.0,26.0,Jake Haener pass complete short right to Juwan Johnson for 11 yards (tackle by Jaylen Watson),-0.27,1.0,5.0,2024,78
