Quarter,Time,Down,ToGo,Location,DAL,PIT,Detail,EPB,EPA,week,year,game_id
4.0,0:30,3.0,4.0,PIT 4,13.0,17.0,Dak Prescott pass incomplete short middle intended for Jalen Tolbert,4.49,3.03,5.0,2024,77
4.0,0:26,,,,,,Timeout #3 by Dallas Cowboys,,,5.0,2024,77
4.0,0:26,,,,,,Timeout #3 by Pittsburgh Steelers,,,5.0,2024,77
4.0,0:26,4.0,4.0,PIT 4,19.0,17.0,"Dak Prescott pass complete short left to Jalen Tolbert for 4 yards, touchdown",3.03,7.0,5.0,2024,77
4.0,0:20,,,PIT 15,19.0,17.0,"Penalty on Donte Jackson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.0,0.0,5.0,2024,77
4.0,0:20,,,PIT 10,19.0,17.0,"Penalty on Minkah Fitzpatrick: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,5.0,2024,77
4.0,0:20,,,PIT 5,20.0,17.0,Brandon Aubrey kicks extra point good,0.0,0.0,5.0,2024,77
4.0,0:20,,,DAL 35,20.0,17.0,"Brandon Aubrey kicks off 63 yards, returned by Aaron Shampklin for 19 yards (tackle by Juanyeh Thomas)",0.0,0.34,5.0,2024,77
4.0,0:15,1.0,10.0,PIT 21,20.0,17.0,Justin Fields pass incomplete deep middle intended for Calvin Austin (defended by DeMarvion Overshown),0.34,-0.2,5.0,2024,77
4.0,0:07,2.0,10.0,PIT 21,20.0,17.0,"Justin Fields pass complete short right to George Pickens for -3 yards, lateral to Isaac Seumalo for no gain, lateral to Zach Frazier for -5 yards, lateral to Justin Fields for 3 yards, lateral to Pat Freiermuth for -1 yards. Pat Freiermuth fumbles (forced by Eric Kendricks), recovered by Jourdan Lewis at PIT-11 (tackle by Eric Kendricks)",-0.2,0.0,5.0,2024,77
