Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA,week,year,game_id
4.0,3:08,,,CLE 35,17.0,17.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
4.0,3:08,1.0,10.0,CHI 25,17.0,17.0,Khalil Herbert left tackle for -5 yards (tackle by Myles Garrett),0.61,-0.61,15.0,2023,214
4.0,2:34,2.0,15.0,CHI 20,17.0,17.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,-0.61,-1.29,15.0,2023,214
4.0,2:28,3.0,15.0,CHI 20,17.0,17.0,Justin Fields pass complete short left to Roschon Johnson for 3 yards (tackle by Martin Emerson),-1.29,-1.83,15.0,2023,214
4.0,2:00,4.0,12.0,CHI 23,17.0,17.0,Trenton Gill punts 56 yards out of bounds,-1.83,-0.34,15.0,2023,214
4.0,1:50,1.0,10.0,CLE 21,17.0,17.0,Joe Flacco pass complete short right to David Njoku for 31 yards (tackle by Tyrique Stevenson),0.34,2.39,15.0,2023,214
4.0,1:42,1.0,10.0,CHI 48,17.0,17.0,"Joe Flacco pass incomplete short right intended for Amari Cooper. Penalty on David Njoku: Offensive Offside, 5 yards (accepted) (no play)",2.39,2.06,15.0,2023,214
4.0,1:39,1.0,15.0,CLE 47,17.0,17.0,Joe Flacco pass incomplete deep right intended for Amari Cooper,2.06,1.17,15.0,2023,214
4.0,1:35,2.0,15.0,CLE 47,17.0,17.0,Joe Flacco pass complete short middle to Jerome Ford for no gain (tackle by Justin Jones),1.17,0.5,15.0,2023,214
4.0,0:58,3.0,15.0,CLE 47,17.0,17.0,Joe Flacco pass complete short left to David Njoku for 34 yards (tackle by Eddie Jackson),0.5,4.31,15.0,2023,214
4.0,0:46,,,,,,Timeout #1 by Cleveland Browns,,,15.0,2023,214
4.0,0:46,1.0,10.0,CHI 19,17.0,17.0,Kareem Hunt right guard for 2 yards (tackle by Rasheem Green),4.31,4.03,15.0,2023,214
4.0,0:42,,,,,,Timeout #1 by Chicago Bears,,,15.0,2023,214
4.0,0:42,2.0,8.0,CHI 17,17.0,17.0,Kareem Hunt right guard for 2 yards (tackle by DeMarcus Walker and T.J. Edwards),4.03,3.58,15.0,2023,214
4.0,0:37,,,,,,Timeout #2 by Chicago Bears,,,15.0,2023,214
4.0,0:37,3.0,6.0,CHI 15,17.0,17.0,Joe Flacco kneels for -1 yards,3.58,2.38,15.0,2023,214
4.0,0:36,,,,,,Timeout #3 by Chicago Bears,,,15.0,2023,214
4.0,0:36,4.0,7.0,CHI 16,17.0,20.0,Dustin Hopkins 34 yard field goal good,2.38,3.0,15.0,2023,214
4.0,0:32,,,CLE 35,17.0,20.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,15.0,2023,214
4.0,0:32,1.0,10.0,CHI 25,17.0,20.0,Justin Fields pass incomplete deep right intended for Tyler Scott,0.61,0.06,15.0,2023,214
4.0,0:25,,,,,,Timeout #2 by Cleveland Browns,,,15.0,2023,214
4.0,0:25,2.0,10.0,CHI 25,17.0,20.0,Justin Fields pass complete short right to Tyler Scott for 30 yards (tackle by D'Anthony Bell),0.06,2.59,15.0,2023,214
4.0,0:15,1.0,10.0,CLE 45,17.0,20.0,Justin Fields pass incomplete short right intended for Roschon Johnson,2.59,2.04,15.0,2023,214
4.0,0:10,,,,,,Timeout #3 by Cleveland Browns,,,15.0,2023,214
4.0,0:10,2.0,10.0,CLE 45,17.0,20.0,Justin Fields pass incomplete short left intended for Cole Kmet,2.04,1.36,15.0,2023,214
4.0,0:05,3.0,10.0,CLE 45,17.0,20.0,Justin Fields pass deep middle (defended by Duron Harmon) is intercepted by D'Anthony Bell in end zone and returned for 6 yards,1.36,0.0,15.0,2023,214
