Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA,week,year,game_id
4.0,3:08,2.0,9.0,PIT 8,29.0,10.0,Najee Harris right tackle for 5 yards (tackle by Charles Omenihu),-0.71,-0.72,17.0,2024,241
4.0,2:48,3.0,4.0,PIT 13,29.0,10.0,Russell Wilson scrambles left end for 8 yards (tackle by Christian Roland-Wallace),-0.72,0.34,17.0,2024,241
4.0,2:25,1.0,10.0,PIT 21,29.0,10.0,Russell Wilson pass complete short left to Calvin Austin for 8 yards (tackle by Deon Bush),0.34,0.88,17.0,2024,241
4.0,2:08,2.0,2.0,PIT 29,29.0,10.0,Russell Wilson pass complete short middle to Connor Heyward for 8 yards (tackle by Christian Roland-Wallace),0.88,1.4,17.0,2024,241
4.0,2:00,1.0,10.0,PIT 37,29.0,10.0,Najee Harris up the middle for 13 yards (tackle by Swayze Bozeman),1.4,2.26,17.0,2024,241
4.0,1:42,1.0,10.0,PIT 50,29.0,10.0,Najee Harris left guard for 20 yards (tackle by Swayze Bozeman and Bryan Cook),2.26,3.58,17.0,2024,241
4.0,1:19,1.0,10.0,KAN 30,29.0,10.0,Najee Harris left guard for 6 yards (tackle by Tershawn Wharton and Deon Bush),3.58,3.84,17.0,2024,241
4.0,1:00,2.0,4.0,KAN 24,29.0,10.0,Russell Wilson scrambles left end for 5 yards (tackle by Deon Bush),3.84,4.31,17.0,2024,241
4.0,0:39,1.0,10.0,KAN 19,29.0,10.0,Russell Wilson pass complete short left to Calvin Austin for 8 yards,4.31,5.14,17.0,2024,241
4.0,0:30,2.0,2.0,KAN 11,29.0,10.0,Russell Wilson pass incomplete short left,5.14,4.43,17.0,2024,241
4.0,0:22,3.0,2.0,KAN 11,29.0,10.0,Russell Wilson pass complete short middle to Jaylen Warren for 3 yards (tackle by Swayze Bozeman),4.43,5.37,17.0,2024,241
4.0,0:02,1.0,8.0,KAN 8,29.0,10.0,"Penalty on Scott Miller: Illegal Shift, 5 yards (accepted) (no play)",5.37,4.57,17.0,2024,241
