Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA,week,year,game_id
OT,5:20,3.0,6.0,DEN 14,24.0,24.0,Bo Nix pass incomplete deep left intended for Troy Franklin,-0.95,-2.47,17.0,2024,245
OT,5:16,4.0,6.0,DEN 14,24.0,24.0,"Riley Dixon punts 40 yards, fair catch by Isaiah Williams at CIN-46",-2.47,-1.99,17.0,2024,245
OT,5:08,1.0,10.0,CIN 46,24.0,24.0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Riley Moss),1.99,2.26,17.0,2024,245
OT,4:30,2.0,4.0,DEN 48,24.0,24.0,Joe Burrow pass complete short right to Mike Gesicki for 12 yards (tackle by Brandon Jones),2.26,3.18,17.0,2024,245
OT,4:15,,,,,,Timeout #1 by Denver Broncos,,,17.0,2024,245
OT,4:15,1.0,10.0,DEN 36,24.0,24.0,"Penalty on Tee Higgins: False Start, 5 yards (accepted) (no play)",3.18,2.85,17.0,2024,245
OT,4:15,1.0,15.0,DEN 41,24.0,24.0,Joe Burrow pass complete short middle to Tee Higgins for 19 yards (tackle by Riley Moss),2.85,4.11,17.0,2024,245
OT,3:38,1.0,10.0,DEN 22,24.0,24.0,Khalil Herbert left tackle for 8 yards (tackle by P.J. Locke),4.11,4.85,17.0,2024,245
OT,3:32,,,,,,Timeout #2 by Denver Broncos,,,17.0,2024,245
OT,3:32,2.0,2.0,DEN 14,24.0,24.0,Khalil Herbert right guard for -1 yards (tackle by Malcolm Roach),4.85,3.93,17.0,2024,245
OT,2:49,3.0,3.0,DEN 15,24.0,24.0,Cade York 33 yard field goal no good,3.93,-0.48,17.0,2024,245
OT,2:43,1.0,10.0,DEN 23,24.0,24.0,Audric Estime right guard for 3 yards (tackle by B.J. Hill and Joseph Ossai),0.48,0.34,17.0,2024,245
OT,2:38,,,,,,Timeout #1 by Cincinnati Bengals,,,17.0,2024,245
OT,2:38,2.0,7.0,DEN 26,24.0,24.0,Bo Nix pass complete short right to Marvin Mims for -1 yards (tackle by Josh Newton),0.34,-0.49,17.0,2024,245
OT,2:33,,,,,,Timeout #2 by Cincinnati Bengals,,,17.0,2024,245
OT,2:33,3.0,8.0,DEN 25,24.0,24.0,Bo Nix pass incomplete short left intended for Adam Trautman,-0.49,-1.7,17.0,2024,245
OT,2:29,4.0,8.0,DEN 25,24.0,24.0,Riley Dixon punts 38 yards downed by Lucas Krull,-1.7,-1.4,17.0,2024,245
OT,2:20,1.0,10.0,CIN 37,24.0,24.0,Joe Burrow pass complete deep middle to Andrei Iosivas for 16 yards (tackle by Ja'Quan McMillian),1.4,2.46,17.0,2024,245
OT,2:00,1.0,10.0,DEN 47,24.0,24.0,Khalil Herbert left end for 13 yards (tackle by P.J. Locke),2.46,3.31,17.0,2024,245
OT,1:21,1.0,10.0,DEN 34,24.0,24.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.31,2.77,17.0,2024,245
OT,1:14,2.0,10.0,DEN 34,24.0,24.0,"Joe Burrow pass complete deep left to Tee Higgins for 31 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.77,6.51,17.0,2024,245
OT,1:10,1.0,3.0,DEN 3,24.0,30.0,"Joe Burrow pass complete short left to Tee Higgins for 3 yards, touchdown",6.51,6.0,17.0,2024,245
