Quarter,Time,Down,ToGo,Location,ATL,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,2:54,1.0,10.0,ATL 48,13.0,8.0,"Trevor Siemian pass incomplete short right ATL challenged the fumble ruling, and the original play was overturned. Trevor Siemian sacked by Richie Grant for no gain. Trevor Siemian fumbles (forced by Richie Grant), recovered by Andre Smith at ATL-47",2.39,-2.06,13.0,2023,182
4.0,2:47,1.0,10.0,ATL 47,13.0,8.0,Tyler Allgeier left tackle for 3 yards (tackle by Quincy Williams),2.06,1.92,13.0,2023,182
4.0,2:41,,,,,,Timeout #2 by New York Jets,,,13.0,2023,182
4.0,2:41,2.0,7.0,ATL 50,13.0,8.0,Tyler Allgeier left tackle for no gain (tackle by Quinnen Williams and Quinton Jefferson),1.92,1.22,13.0,2023,182
4.0,2:34,,,,,,Timeout #3 by New York Jets,,,13.0,2023,182
4.0,2:34,3.0,7.0,ATL 50,13.0,8.0,Desmond Ridder sacked by Quinton Jefferson for -2 yards,1.22,-0.19,13.0,2023,182
4.0,2:00,4.0,9.0,ATL 48,13.0,8.0,"Bradley Pinion punts 45 yards, fair catch by Xavier Gipson at NYJ-7",-0.19,0.38,13.0,2023,182
4.0,1:53,1.0,10.0,NYJ 7,13.0,8.0,Trevor Siemian pass incomplete deep right intended for Tyler Conklin,-0.38,-0.78,13.0,2023,182
4.0,1:49,2.0,10.0,NYJ 7,13.0,8.0,Trevor Siemian pass incomplete deep left intended for Tyler Conklin,-0.78,-1.42,13.0,2023,182
4.0,1:43,3.0,10.0,NYJ 7,13.0,8.0,"Trevor Siemian pass incomplete short left intended for Garrett Wilson. Penalty on Clark Phillips: Defensive Holding, 5 yards (accepted) (no play)",-1.42,-0.35,13.0,2023,182
4.0,1:39,1.0,10.0,NYJ 12,13.0,8.0,Trevor Siemian pass complete deep right to Xavier Gipson for 25 yards (tackle by Jessie Bates),-0.35,1.4,13.0,2023,182
4.0,1:34,1.0,10.0,NYJ 37,13.0,8.0,Trevor Siemian pass incomplete deep middle intended for Xavier Gipson,1.4,0.86,13.0,2023,182
4.0,1:28,2.0,10.0,NYJ 37,13.0,8.0,Trevor Siemian pass incomplete short left intended for Breece Hall,0.86,0.17,13.0,2023,182
4.0,1:24,3.0,10.0,NYJ 37,13.0,8.0,"Trevor Siemian sacked by Arnold Ebiketie for -7 yards. Trevor Siemian fumbles (forced by Arnold Ebiketie), recovered by Carter Warren at NYJ-30",0.17,-1.37,13.0,2023,182
4.0,0:47,4.0,17.0,NYJ 30,13.0,8.0,"Trevor Siemian pass incomplete short left. Penalty on Joe Tippmann: Offensive Holding, 10 yards (declined)",-1.37,-3.58,13.0,2023,182
4.0,0:42,1.0,10.0,NYJ 30,13.0,8.0,Desmond Ridder kneels for -1 yards,3.58,2.9,13.0,2023,182
