Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA,week,year,game_id
4.0,7:04,1.0,10.0,DAL 46,35.0,30.0,Dak Prescott pass complete short left to CeeDee Lamb for 10 yards (tackle by Devon Witherspoon),1.99,2.65,13.0,2023,181
4.0,6:37,1.0,10.0,SEA 44,35.0,30.0,Tony Pollard up the middle for 16 yards (tackle by Devon Witherspoon and Quandre Diggs),2.65,3.71,13.0,2023,181
4.0,6:03,1.0,10.0,SEA 28,35.0,30.0,Dak Prescott pass incomplete short left intended for Michael Gallup,3.71,3.17,13.0,2023,181
4.0,5:57,2.0,10.0,SEA 28,35.0,30.0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Riq Woolen),3.17,3.4,13.0,2023,181
4.0,5:21,3.0,3.0,SEA 21,35.0,30.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Riq Woolen),3.4,4.58,13.0,2023,181
4.0,4:49,1.0,10.0,SEA 15,35.0,30.0,Dak Prescott left end for 8 yards (tackle by Riq Woolen),4.58,5.41,13.0,2023,181
4.0,4:41,2.0,2.0,SEA 7,35.0,30.0,"Penalty on DAL: Delay of Game, 5 yards (accepted) (no play)",5.41,4.45,13.0,2023,181
4.0,4:41,2.0,7.0,SEA 12,35.0,36.0,"Dak Prescott pass complete short left to Jake Ferguson for 12 yards, touchdown",4.45,7.0,13.0,2023,181
4.0,4:37,,,SEA 2,35.0,38.0,Two Point Attempt: Dak Prescott pass complete to to Brandin Cooks for no gain,1.0,1.0,13.0,2023,181
4.0,4:37,,,DAL 35,35.0,38.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
4.0,4:37,1.0,10.0,SEA 25,35.0,38.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 18 yards (tackle by DaRon Bland),0.61,1.8,13.0,2023,181
4.0,4:05,1.0,10.0,SEA 43,35.0,38.0,DeeJay Dallas right tackle for 6 yards (tackle by Johnathan Hankins),1.8,2.06,13.0,2023,181
4.0,3:25,2.0,4.0,SEA 49,35.0,38.0,Geno Smith pass incomplete short left intended for DeeJay Dallas (defended by Dorance Armstrong),2.06,1.35,13.0,2023,181
4.0,3:20,3.0,4.0,SEA 49,35.0,38.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Jourdan Lewis),1.35,-0.13,13.0,2023,181
4.0,3:16,4.0,4.0,SEA 49,35.0,38.0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,-0.13,-2.32,13.0,2023,181
4.0,3:11,1.0,10.0,SEA 49,35.0,38.0,Tony Pollard right guard for 4 yards (tackle by Bobby Wagner),2.32,2.32,13.0,2023,181
4.0,2:26,2.0,6.0,SEA 45,35.0,38.0,CeeDee Lamb left end for 24 yards (tackle by Devon Witherspoon),2.32,4.17,13.0,2023,181
4.0,2:00,1.0,10.0,SEA 21,35.0,38.0,Tony Pollard left end for 4 yards (tackle by Jarran Reed),4.17,4.2,13.0,2023,181
4.0,1:55,,,,,,Timeout #2 by Seattle Seahawks,,,13.0,2023,181
4.0,1:55,2.0,6.0,SEA 17,35.0,38.0,Tony Pollard left guard for 3 yards (tackle by Jarran Reed and Bobby Wagner),4.2,4.02,13.0,2023,181
4.0,1:52,,,,,,Timeout #3 by Seattle Seahawks,,,13.0,2023,181
4.0,1:52,3.0,3.0,SEA 14,35.0,38.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb,4.02,2.61,13.0,2023,181
4.0,1:46,,,,,,Timeout #1 by Dallas Cowboys,,,13.0,2023,181
4.0,1:46,4.0,3.0,SEA 14,35.0,41.0,Brandon Aubrey 32 yard field goal good,2.61,3.0,13.0,2023,181
4.0,1:43,,,DAL 35,35.0,41.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,181
4.0,1:43,1.0,10.0,SEA 25,35.0,41.0,Geno Smith pass complete deep right to Tyler Lockett for 17 yards,0.61,1.73,13.0,2023,181
4.0,1:38,1.0,10.0,SEA 42,35.0,41.0,Geno Smith pass complete short left to Noah Fant for 8 yards (tackle by Markquese Bell),1.73,2.27,13.0,2023,181
4.0,1:19,2.0,2.0,DAL 50,35.0,41.0,Geno Smith pass incomplete short right intended for Noah Fant,2.27,1.55,13.0,2023,181
4.0,1:15,3.0,2.0,DAL 50,35.0,41.0,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba (defended by Jourdan Lewis),1.55,-0.06,13.0,2023,181
4.0,1:11,4.0,2.0,DAL 50,35.0,41.0,Geno Smith pass incomplete short right intended for DeeJay Dallas,-0.06,-2.26,13.0,2023,181
4.0,1:07,1.0,10.0,DAL 50,35.0,41.0,Dak Prescott kneels for no gain,2.26,1.65,13.0,2023,181
4.0,0:40,2.0,11.0,DAL 50,35.0,41.0,Dak Prescott kneels for -1 yards,1.65,0.83,13.0,2023,181
