Quarter,Time,Down,ToGo,Location,CLE,LAR,Detail,EPB,EPA,week,year,game_id
4.0,2:17,2.0,3.0,CLE 8,19.0,27.0,Kyren Williams left guard for 5 yards (tackle by Anthony Walker),5.22,6.51,13.0,2023,190
4.0,2:10,,,,,,Timeout #3 by Cleveland Browns,,,13.0,2023,190
4.0,2:10,1.0,3.0,CLE 3,19.0,27.0,"Kyren Williams right tackle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyren Williams right tackle for 2 yards (tackle by Greg Newsome)",6.51,5.91,13.0,2023,190
4.0,2:00,2.0,1.0,CLE 1,19.0,33.0,"Kyren Williams up the middle for 1 yard, touchdown",5.91,7.0,13.0,2023,190
4.0,1:56,,,CLE 15,19.0,34.0,Lucas Havrisik kicks extra point good,0.0,0.0,13.0,2023,190
4.0,1:56,,,LAR 35,19.0,34.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,13.0,2023,190
4.0,1:56,1.0,10.0,CLE 25,19.0,34.0,"Joe Flacco pass incomplete short left. Penalty on Joe Flacco: Intentional Grounding, 11 yards (accepted)",0.61,-1.54,13.0,2023,190
4.0,1:37,2.0,21.0,CLE 14,19.0,34.0,Joe Flacco pass incomplete short right intended for Elijah Moore,-1.54,-2.55,13.0,2023,190
4.0,1:28,3.0,21.0,CLE 14,19.0,34.0,Joe Flacco sacked by Kobie Turner for -13 yards,-2.55,-2.49,13.0,2023,190
4.0,0:43,4.0,34.0,CLE 1,19.0,36.0,Joe Flacco sacked by and Aaron Donald for -1 yards and Kobie Turner for -1 yards,-2.49,-2.0,13.0,2023,190
4.0,0:36,,,CLE 20,19.0,36.0,"Corey Bojorquez kicks off 64 yards,",0.0,0.61,13.0,2023,190
4.0,0:36,1.0,10.0,LAR 25,19.0,36.0,Matthew Stafford kneels for -2 yards,0.61,-0.21,13.0,2023,190
