Quarter,Time,Down,ToGo,Location,CIN,JAX,Detail,EPB,EPA,week,year,game_id
OT,8:10,1.0,10.0,JAX 39,31.0,31.0,Travis Etienne right end for 13 yards (tackle by Germaine Pratt),1.53,2.39,13.0,2023,193
OT,7:35,1.0,10.0,CIN 48,31.0,31.0,D'Ernest Johnson up the middle for -4 yards (tackle by Mike Hilton),2.39,1.31,13.0,2023,193
OT,6:59,2.0,14.0,JAX 48,31.0,31.0,C.J. Beathard pass complete short left to Zay Jones for 7 yards (tackle by DJ Turner),1.31,1.55,13.0,2023,193
OT,6:19,3.0,7.0,CIN 45,31.0,31.0,"C.J. Beathard pass complete deep right to Calvin Ridley for no gain (tackle by Chidobe Awuzie). Penalty on Anton Harrison: Offensive Holding, 10 yards (accepted) (no play)",1.55,0.23,13.0,2023,193
OT,5:52,3.0,17.0,JAX 45,31.0,31.0,C.J. Beathard pass complete short middle to Calvin Ridley for -4 yards (tackle by Germaine Pratt),0.23,-0.65,13.0,2023,193
OT,5:08,4.0,21.0,JAX 41,31.0,31.0,"Logan Cooke punts 42 yards, returned by Charlie Jones for 11 yards (tackle by Ross Matiscik)",-0.65,-0.81,13.0,2023,193
OT,5:02,1.0,10.0,CIN 28,31.0,31.0,Joe Mixon left end for 2 yards (tackle by Devin Lloyd and Tyson Campbell),0.81,0.53,13.0,2023,193
OT,4:55,2.0,8.0,CIN 30,31.0,31.0,Jake Browning pass complete deep middle to Ja'Marr Chase for 17 yards (tackle by Darious Williams),0.53,2.06,13.0,2023,193
OT,4:14,1.0,10.0,CIN 47,31.0,31.0,Jake Browning pass incomplete short right,2.06,1.52,13.0,2023,193
OT,4:08,2.0,10.0,CIN 47,31.0,31.0,Jake Browning pass complete short left to Joe Mixon for no gain (tackle by Jeremiah Ledbetter and Josh Allen),1.52,0.83,13.0,2023,193
OT,3:22,3.0,10.0,CIN 47,31.0,31.0,Jake Browning pass complete short left to Tee Higgins for 11 yards (tackle by Tyson Campbell),0.83,2.79,13.0,2023,193
OT,3:16,1.0,10.0,JAX 42,31.0,31.0,Chase Brown left end for 1 yard (tackle by Foyesade Oluokun),2.79,2.38,13.0,2023,193
OT,3:12,2.0,9.0,JAX 41,31.0,31.0,"Jake Browning pass complete short right to Ja'Marr Chase for 7 yards (tackle by Antonio Johnson) Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Jake Browning pass complete short right to Ja'Marr Chase for 8 yards and Antonio Johnson and Darious Williams)",2.38,2.74,13.0,2023,193
OT,3:05,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2023,193
OT,3:05,3.0,1.0,JAX 33,31.0,31.0,Joe Mixon left guard for 2 yards (tackle by Devin Lloyd and Josh Allen),2.74,3.51,13.0,2023,193
OT,2:20,1.0,10.0,JAX 31,31.0,31.0,Joe Mixon left guard for no gain (tackle by Josh Allen),3.51,2.97,13.0,2023,193
OT,2:00,2.0,10.0,JAX 31,31.0,31.0,Joe Mixon left end for 2 yards (tackle by Adam Gotsis and Devin Lloyd),2.97,2.54,13.0,2023,193
OT,1:55,,,,,,Timeout #1 by Jacksonville Jaguars,,,13.0,2023,193
OT,1:55,3.0,8.0,JAX 29,31.0,31.0,Joe Mixon right guard for -1 yards (tackle by Rayshawn Jenkins),2.54,1.41,13.0,2023,193
OT,1:50,,,,,,Timeout #2 by Jacksonville Jaguars,,,13.0,2023,193
OT,1:50,4.0,9.0,JAX 30,34.0,31.0,"Evan McPherson 48 yard field goal good. Penalty on Rayshawn Jenkins: Leaping, 15 yards (declined)",1.41,3.0,13.0,2023,193
