Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA,week,year,game_id
4.0,2:07,1.0,10.0,NWE 9,20.0,17.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 15 yards (tackle by David Mayo),-0.38,0.54,9.0,2023,130
4.0,2:00,1.0,10.0,NWE 24,20.0,17.0,Mac Jones pass complete short right to Hunter Henry for 8 yards (tackle by Kendall Fuller),0.54,1.08,9.0,2023,130
4.0,1:55,2.0,2.0,NWE 32,20.0,17.0,Mac Jones pass complete short middle to JuJu Smith-Schuster for 13 yards (tackle by Kendall Fuller),1.08,1.93,9.0,2023,130
4.0,1:34,1.0,10.0,NWE 45,20.0,17.0,Mac Jones pass incomplete short left intended for Hunter Henry (defended by Percy Butler),1.93,1.38,9.0,2023,130
4.0,1:32,2.0,10.0,NWE 45,20.0,17.0,Mac Jones pass incomplete deep left intended for Mike Gesicki,1.38,0.7,9.0,2023,130
4.0,1:26,3.0,10.0,NWE 45,20.0,17.0,Mac Jones pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Emmanuel Forbes),0.7,0.0,9.0,2023,130
4.0,1:04,4.0,4.0,WAS 49,20.0,17.0,Mac Jones pass complete short middle to JuJu Smith-Schuster for 6 yards (tackle by Emmanuel Forbes),0.0,2.72,9.0,2023,130
4.0,0:45,1.0,10.0,WAS 43,20.0,17.0,Mac Jones scrambles right end for 2 yards (tackle by Kamren Curl),2.72,2.52,9.0,2023,130
4.0,0:38,2.0,7.0,WAS 41,20.0,17.0,Mac Jones pass short middle intended for JuJu Smith-Schuster is intercepted by Jartavius Martin at WAS-33 and returned for no gain (tackle by JuJu Smith-Schuster),2.52,-1.14,9.0,2023,130
4.0,0:30,1.0,10.0,WAS 33,20.0,17.0,Sam Howell kneels for -1 yards,1.14,0.46,9.0,2023,130
