Quarter,Time,Down,ToGo,Location,TAM,HOU,Detail,EPB,EPA,week,year,game_id
4.0,2:00,2.0,18.0,TAM 43,30.0,33.0,Baker Mayfield pass incomplete deep middle intended for Chris Godwin (defended by Khalil Davis),0.7,0.04,9.0,2023,127
4.0,1:55,3.0,18.0,TAM 43,30.0,33.0,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)",0.04,-0.63,9.0,2023,127
4.0,1:55,3.0,23.0,TAM 38,30.0,33.0,Baker Mayfield pass complete deep middle to Trey Palmer for 21 yards (tackle by DeAndre Houston-Carson),-0.63,0.53,9.0,2023,127
4.0,1:13,4.0,2.0,HOU 41,30.0,33.0,Baker Mayfield scrambles left end for 5 yards (tackle by Tavierre Thomas and Khalil Davis),0.53,3.18,9.0,2023,127
4.0,1:02,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,9.0,2023,127
4.0,1:02,1.0,10.0,HOU 36,30.0,33.0,Rachaad White left guard for 7 yards (tackle by Steven Nelson),3.18,3.58,9.0,2023,127
4.0,0:53,,,,,,Timeout #1 by Houston Texans,,,9.0,2023,127
4.0,0:53,2.0,3.0,HOU 29,30.0,33.0,"Baker Mayfield pass complete short middle to Trey Palmer for 15 yards. Trey Palmer fumbles (forced by Tavierre Thomas), recovered by Mike Evans at HOU-14 (tackle by Tavierre Thomas) Replay Assistant challenged the fumble ruling, and the play was upheld.",3.58,4.65,9.0,2023,127
4.0,0:49,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,9.0,2023,127
4.0,0:49,1.0,10.0,HOU 14,36.0,33.0,"Baker Mayfield pass complete short middle to Cade Otton for 14 yards, touchdown",4.65,7.0,9.0,2023,127
4.0,0:46,,,HOU 15,37.0,33.0,Chase McLaughlin kicks extra point good,0.0,0.0,9.0,2023,127
4.0,0:46,,,TAM 35,37.0,33.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,9.0,2023,127
4.0,0:46,1.0,10.0,HOU 25,37.0,33.0,C.J. Stroud pass complete short middle to Dalton Schultz for 14 yards (tackle by Lavonte David),0.61,1.53,9.0,2023,127
4.0,0:39,,,,,,Timeout #2 by Houston Texans,,,9.0,2023,127
4.0,0:39,1.0,10.0,HOU 39,37.0,33.0,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Zyon McCollum),1.53,1.8,9.0,2023,127
4.0,0:31,,,,,,Timeout #3 by Houston Texans,,,9.0,2023,127
4.0,0:31,2.0,4.0,HOU 45,37.0,33.0,C.J. Stroud pass complete short middle to Noah Brown for 14 yards (tackle by Lavonte David),1.8,2.85,9.0,2023,127
4.0,0:16,1.0,10.0,TAM 41,37.0,33.0,C.J. Stroud spiked the ball,2.85,2.31,9.0,2023,127
4.0,0:16,2.0,10.0,TAM 41,37.0,33.0,C.J. Stroud pass complete deep left to Tank Dell for 26 yards,2.31,4.58,9.0,2023,127
4.0,0:10,1.0,10.0,TAM 15,37.0,39.0,"C.J. Stroud pass complete short middle to Tank Dell for 15 yards, touchdown",4.58,7.0,9.0,2023,127
4.0,0:06,,,TAM 2,37.0,39.0,"Two Point Attempt: C.J. Stroud rushes, conversion fails.",1.0,-1.0,9.0,2023,127
4.0,0:06,,,HOU 35,37.0,39.0,"Penalty on Lavonte David: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.0,0.0,9.0,2023,127
4.0,0:06,,,HOU 50,37.0,39.0,"Dare Ogunbowale kicks off 50 yards, touchback.",0.0,0.61,9.0,2023,127
4.0,0:06,1.0,10.0,TAM 25,37.0,39.0,"Baker Mayfield pass complete short right to Trey Palmer for 15 yards, lateral to Robert Hainsey for no gain, lateral to Cade Otton for no gain. Cade Otton fumbles (forced by Henry To'oTo'o), recovered by DeAndre Houston-Carson at TB-41 (tackle by Tristan Wirfs)",0.61,0.0,9.0,2023,127
