Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,2:39,1.0,10.0,NYJ 38,27.0,6.0,Zach Wilson pass complete short middle to Michael Carter for 7 yards (tackle by Essang Bassey),1.47,1.87,9.0,2023,136
4.0,2:18,2.0,3.0,NYJ 45,27.0,6.0,Zach Wilson pass complete short left to Michael Carter for 3 yards,1.87,2.13,9.0,2023,136
4.0,2:09,1.0,10.0,NYJ 48,27.0,6.0,"Zach Wilson pass complete short left to Michael Carter for no gain (tackle by Nick Niemann). Penalty on Deane Leonard: Illegal Contact, 5 yards (accepted) (no play)",2.13,2.46,9.0,2023,136
4.0,2:03,1.0,10.0,LAC 47,27.0,6.0,Zach Wilson pass incomplete deep right intended for Malik Taylor,2.46,1.91,9.0,2023,136
4.0,1:57,2.0,10.0,LAC 47,27.0,6.0,Zach Wilson pass complete short left to Michael Carter for 5 yards (tackle by Deane Leonard),1.91,1.88,9.0,2023,136
4.0,1:50,3.0,5.0,LAC 42,27.0,6.0,Zach Wilson pass complete short left to Michael Carter for no gain (tackle by Daiyan Henley),1.88,0.46,9.0,2023,136
4.0,1:22,4.0,5.0,LAC 42,27.0,6.0,Zach Wilson pass complete deep right to Tyler Conklin for 33 yards (tackle by Dean Marlowe),0.46,5.14,9.0,2023,136
4.0,0:54,1.0,9.0,LAC 9,27.0,6.0,Zach Wilson pass complete short right to Tyler Conklin for 3 yards (tackle by Daiyan Henley),5.14,4.95,9.0,2023,136
4.0,0:46,,,,,,Timeout #2 by New York Jets,,,9.0,2023,136
4.0,0:46,2.0,6.0,LAC 6,27.0,6.0,Zach Wilson pass incomplete short right intended for C.J. Uzomah,4.95,4.04,9.0,2023,136
4.0,0:41,3.0,6.0,LAC 6,27.0,6.0,Zach Wilson sacked by Dean Marlowe for no gain,4.04,2.99,9.0,2023,136
4.0,0:34,4.0,6.0,LAC 6,27.0,6.0,Zach Wilson pass complete short middle to Tyler Conklin for 4 yards (tackle by Nick Niemann and Dean Marlowe),2.99,0.38,9.0,2023,136
4.0,0:28,1.0,10.0,LAC 2,27.0,6.0,Justin Herbert kneels for no gain,-0.38,-0.78,9.0,2023,136
