Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA,week,year,game_id
4.0,1:47,1.0,2.0,JAX 2,20.0,17.0,"Latavius Murray up the middle for 2 yards, touchdown",6.74,7.0,8.0,2022,110
4.0,1:43,,,JAX 15,21.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,8.0,2022,110
4.0,1:43,,,DEN 35,21.0,17.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,8.0,2022,110
4.0,1:43,1.0,10.0,JAX 25,21.0,17.0,Trevor Lawrence pass short right intended for Christian Kirk is intercepted by K'Waun Williams at JAC-35 and returned for no gain (tackle by Christian Kirk),0.61,-3.25,8.0,2022,110
4.0,1:36,1.0,10.0,JAX 35,21.0,17.0,Latavius Murray left guard for no gain (tackle by Roy Robertson-Harris and Folorunso Fatukasi),3.25,2.7,8.0,2022,110
4.0,1:30,,,,,,Timeout #2 by Jacksonville Jaguars,,,8.0,2022,110
4.0,1:30,2.0,10.0,JAX 35,21.0,17.0,Latavius Murray right guard for 6 yards (tackle by Foyesade Oluokun),2.7,2.81,8.0,2022,110
4.0,1:24,,,,,,Timeout #3 by Jacksonville Jaguars,,,8.0,2022,110
4.0,1:24,3.0,4.0,JAX 29,21.0,17.0,Latavius Murray left guard for 3 yards (tackle by Tyson Campbell and Devin Lloyd),2.81,1.89,8.0,2022,110
4.0,0:36,,,,,,Timeout #1 by Denver Broncos,,,8.0,2022,110
4.0,0:36,4.0,1.0,JAX 26,21.0,17.0,"Russell Wilson for 1 yard (tackle by Folorunso Fatukasi) Replay Assistant challenged the first down ruling, and the play was upheld.",1.89,3.78,8.0,2022,110
