Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA,week,year,game_id
4.0,2:09,3.0,3.0,HOU 32,13.0,21.0,Saquon Barkley left tackle for 1 yard (tackle by Rasheem Green),2.68,1.4,10.0,2022,142
4.0,2:00,4.0,2.0,HOU 31,13.0,24.0,Graham Gano 49 yard field goal good,1.4,3.0,10.0,2022,142
4.0,1:55,,,NYG 35,13.0,24.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,142
4.0,1:55,1.0,10.0,HOU 25,13.0,24.0,Davis Mills pass complete deep middle to Chris Moore for 25 yards (tackle by Darnay Holmes),0.61,2.26,10.0,2022,142
4.0,1:29,1.0,10.0,HOU 50,13.0,24.0,Davis Mills pass complete short middle to Rex Burkhead for 15 yards (tackle by Jason Pinnock),2.26,3.25,10.0,2022,142
4.0,1:10,1.0,10.0,NYG 35,13.0,24.0,Davis Mills pass complete deep right to Phillip Dorsett for 18 yards (tackle by Adoree' Jackson),3.25,4.44,10.0,2022,142
4.0,0:46,1.0,10.0,NYG 17,13.0,24.0,Davis Mills sacked by Jason Pinnock for -10 yards,4.44,2.54,10.0,2022,142
4.0,0:11,2.0,20.0,NYG 27,16.0,24.0,Ka'imi Fairbairn 46 yard field goal good,2.54,3.0,10.0,2022,142
4.0,0:07,,,HOU 35,16.0,24.0,"Ka'imi Fairbairn kicks onside 13 yards, returned by Adoree' Jackson for no gain",0.0,2.39,10.0,2022,142
4.0,0:06,1.0,10.0,HOU 48,16.0,24.0,Daniel Jones kneels for -1 yards,2.39,1.71,10.0,2022,142
