Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA,week,year,game_id
4,0:57,4.0,1.0,BUF 1,23.0,27.0,Kirk Cousins pass incomplete short right intended for Dalvin Cook. Penalty on Jordan Phillips: Defensive Offside (accepted) (no play),3.55,3.55,10.0,2022,139
4,0:50,4.0,1.0,BUF 1,23.0,27.0,"Kirk Cousins up the middle for no gain (tackle by Shaq Lawson) Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",3.55,0.38,10.0,2022,139
4,0:49,1.0,10.0,BUF 1,29.0,27.0,"Josh Allen aborted snap, recovered by Eric Kendricks in end zone, touchdown Replay Assistant challenged the fumble ruling, and the play was upheld.",-0.38,-7.0,10.0,2022,139
4,0:41,,,BUF 15,30.0,27.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2022,139
4,0:41,,,MIN 35,30.0,27.0,"Greg Joseph kicks off 60 yards, returned by Duke Johnson for 15 yards (tackle by C.J. Ham)",0.0,0.28,10.0,2022,139
4,0:36,1.0,10.0,BUF 20,30.0,27.0,Josh Allen pass complete short right to Dawson Knox for 12 yards (tackle by Chandon Sullivan and Patrick Peterson),0.28,1.07,10.0,2022,139
4,0:29,1.0,10.0,BUF 32,30.0,27.0,Josh Allen pass complete short right to Dawson Knox for 8 yards (tackle by Patrick Peterson),1.07,1.61,10.0,2022,139
4,0:24,2.0,2.0,BUF 40,30.0,27.0,Josh Allen pass complete deep left to Gabriel Davis for 20 yards,1.61,2.92,10.0,2022,139
4,0:18,1.0,10.0,MIN 40,30.0,27.0,Josh Allen pass complete short right to Isaiah McKenzie for 15 yards (tackle by Chandon Sullivan),2.92,3.91,10.0,2022,139
4,0:11,1.0,10.0,MIN 25,30.0,27.0,"Josh Allen pass incomplete deep left intended for Gabriel Davis. Penalty on Andrew Booth: Defensive Pass Interference, 14 yards (accepted) (no play)",3.91,4.84,10.0,2022,139
4,0:05,1.0,10.0,MIN 11,30.0,30.0,Tyler Bass 29 yard field goal good,4.84,3.0,10.0,2022,139
4,0:02,,,BUF 35,30.0,30.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,139
4,0:02,1.0,10.0,MIN 25,30.0,30.0,Kirk Cousins kneels for -1 yards,0.61,0.0,10.0,2022,139
,,,,,,,"Vikings won the coin toss, Vikings to receive the overtime kickoff.",,,10.0,2022,139
OT,10:00,,,BUF 35,30.0,30.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,139
OT,10:00,1.0,10.0,MIN 25,30.0,30.0,Dalvin Cook left end for 10 yards (tackle by Damar Hamlin),0.61,1.27,10.0,2022,139
OT,9:16,1.0,10.0,MIN 35,30.0,30.0,Dalvin Cook left end for 9 yards (tackle by Damar Hamlin and Matt Milano),1.27,1.94,10.0,2022,139
OT,8:49,2.0,1.0,MIN 44,30.0,30.0,Kirk Cousins pass complete short left to Justin Jefferson for 13 yards,1.94,2.72,10.0,2022,139
OT,8:18,1.0,10.0,BUF 43,30.0,30.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",2.72,2.39,10.0,2022,139
OT,8:10,1.0,15.0,BUF 48,30.0,30.0,"Kirk Cousins sacked by A.J. Epenesa for -5 yards. Kirk Cousins fumbles (forced by A.J. Epenesa), recovered by Dalvin Cook at MIN-45 and returned for 7 yards",2.39,0.56,10.0,2022,139
OT,8:01,2.0,22.0,MIN 45,30.0,30.0,"Kirk Cousins pass incomplete intended for Justin Jefferson. Penalty on Christian Benford: Defensive Pass Interference, 19 yards (accepted) (no play)",0.56,3.18,10.0,2022,139
OT,7:28,1.0,10.0,BUF 36,30.0,30.0,Dalvin Cook left tackle for 10 yards (tackle by Cameron Lewis and DaQuan Jones),3.18,3.84,10.0,2022,139
OT,6:43,1.0,10.0,BUF 26,30.0,30.0,Kirk Cousins pass incomplete deep left intended for K.J. Osborn,3.84,3.3,10.0,2022,139
OT,6:38,2.0,10.0,BUF 26,30.0,30.0,Dalvin Cook right guard for no gain (tackle by Boogie Basham and Jordan Phillips),3.3,2.61,10.0,2022,139
OT,5:58,,,,,,Timeout #1 by Minnesota Vikings,,,10.0,2022,139
OT,5:58,3.0,10.0,BUF 26,30.0,30.0,Kirk Cousins pass complete deep right to Justin Jefferson for 24 yards (tackle by Damar Hamlin),2.61,6.74,10.0,2022,139
OT,5:13,1.0,2.0,BUF 2,30.0,30.0,Dalvin Cook right end for -3 yards (tackle by Matt Milano),6.74,5.15,10.0,2022,139
OT,4:34,2.0,5.0,BUF 5,30.0,30.0,Kirk Cousins sacked by and Ed Oliver for -10 yards and Shaq Lawson for -10 yards,5.15,2.93,10.0,2022,139
OT,3:51,3.0,15.0,BUF 15,30.0,30.0,Kirk Cousins pass incomplete short left intended for Adam Thielen,2.93,2.44,10.0,2022,139
OT,3:45,4.0,15.0,BUF 15,33.0,30.0,Greg Joseph 33 yard field goal good,2.44,3.0,10.0,2022,139
OT,3:42,,,MIN 35,33.0,30.0,"Greg Joseph kicks off 64 yards, returned by Duke Johnson for 27 yards (tackle by Duke Shelley)",0.0,0.81,10.0,2022,139
OT,3:35,1.0,10.0,BUF 28,33.0,30.0,Josh Allen scrambles right guard for 18 yards (tackle by Chandon Sullivan),0.81,1.99,10.0,2022,139
OT,2:57,1.0,10.0,BUF 46,33.0,30.0,Josh Allen scrambles left end for 20 yards (tackle by Eric Kendricks),1.99,3.31,10.0,2022,139
OT,2:14,1.0,10.0,MIN 34,33.0,30.0,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Andrew Booth),3.31,3.72,10.0,2022,139
OT,2:00,2.0,3.0,MIN 27,33.0,30.0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Eric Kendricks),3.72,4.24,10.0,2022,139
OT,1:26,1.0,10.0,MIN 20,33.0,30.0,Josh Allen pass incomplete deep left intended for Dawson Knox (defended by Duke Shelley),4.24,3.69,10.0,2022,139
OT,1:19,2.0,10.0,MIN 20,33.0,30.0,Josh Allen pass deep middle intended for Gabriel Davis is intercepted by Patrick Peterson in end zone and returned for 7 yards,3.69,0.0,10.0,2022,139
