Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
2.0,2:02,1.0,10.0,KAN 28,0.0,14.0,Patrick Mahomes pass complete short right to Kadarius Toney for 23 yards (tackle by Andre Cisco),0.81,2.32,10.0,2022,144
2.0,1:52,1.0,10.0,JAX 49,0.0,14.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 8 yards (tackle by Foyesade Oluokun),2.32,2.86,10.0,2022,144
2.0,1:45,2.0,2.0,JAX 41,0.0,14.0,"Patrick Mahomes scrambles left end for 12 yards (tackle by Foyesade Oluokun). Penalty on Foyesade Oluokun: Defensive Holding, 5 yards (accepted)",2.86,3.97,10.0,2022,144
2.0,1:38,1.0,10.0,JAX 24,0.0,14.0,Patrick Mahomes pass complete short middle to Jerick McKinnon for 8 yards (tackle by Chad Muma),3.97,4.65,10.0,2022,144
2.0,1:00,2.0,2.0,JAX 16,0.0,14.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 3 yards (tackle by Foyesade Oluokun),4.65,4.71,10.0,2022,144
2.0,0:51,,,,,,Timeout #1 by Jacksonville Jaguars,,,10.0,2022,144
2.0,0:51,1.0,10.0,JAX 13,0.0,20.0,"Patrick Mahomes pass complete short left to Noah Gray for 13 yards, touchdown",4.71,7.0,10.0,2022,144
2.0,0:46,,,JAX 15,0.0,20.0,Harrison Butker kicks extra point no good,0.0,-1.0,10.0,2022,144
2.0,0:46,,,KAN 35,0.0,20.0,"Harrison Butker kicks off 65 yards, returned by Jamal Agnew for 39 yards (tackle by Bryan Cook and Ugo Amadi)",0.0,1.53,10.0,2022,144
2.0,0:39,1.0,10.0,JAX 39,0.0,20.0,Trevor Lawrence pass incomplete short left intended for Zay Jones (defended by George Karlaftis),1.53,0.99,10.0,2022,144
2.0,0:35,2.0,10.0,JAX 39,0.0,20.0,Trevor Lawrence pass complete deep left to Marvin Jones for 33 yards (tackle by Trent McDuffie),0.99,3.71,10.0,2022,144
2.0,0:28,,,,,,Timeout #2 by Jacksonville Jaguars,,,10.0,2022,144
2.0,0:28,1.0,10.0,KAN 28,0.0,20.0,Trevor Lawrence scrambles left end for 18 yards (tackle by Bryan Cook),3.71,4.91,10.0,2022,144
2.0,0:21,,,,,,Timeout #3 by Jacksonville Jaguars,,,10.0,2022,144
2.0,0:21,1.0,10.0,KAN 10,0.0,20.0,Trevor Lawrence pass complete short left to Zay Jones for 7 yards (tackle by Willie Gay),4.91,5.53,10.0,2022,144
2.0,0:15,2.0,3.0,KAN 3,6.0,20.0,"Trevor Lawrence pass complete short left to Christian Kirk for 3 yards, touchdown",5.53,7.0,10.0,2022,144
2.0,0:11,,,KAN 15,7.0,20.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2022,144
2.0,0:11,,,JAX 35,7.0,20.0,"Riley Patterson kicks off 45 yards, returned by Jody Fortson for 12 yards. Jody Fortson fumbles (forced by Caleb Johnson), recovered by Adam Gotsis at KC-32 (tackle by Caleb Johnson)",0.0,-3.45,10.0,2022,144
