Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA,week,year,game_id
4.0,4:07,3.0,4.0,TEN 39,10.0,14.0,Ryan Tannehill pass complete deep middle to Chigoziem Okonkwo for 41 yards (tackle by Patrick Surtain),0.7,4.24,10.0,2022,141
4.0,3:16,1.0,10.0,DEN 20,10.0,14.0,Derrick Henry left tackle for no gain (tackle by Josey Jewell),4.24,3.69,10.0,2022,141
4.0,3:13,,,,,,Timeout #1 by Denver Broncos,,,10.0,2022,141
4.0,3:13,2.0,10.0,DEN 20,10.0,14.0,Derrick Henry left tackle for 3 yards (tackle by Mike Purcell and Jonathon Cooper),3.69,3.36,10.0,2022,141
4.0,3:08,,,,,,Timeout #2 by Denver Broncos,,,10.0,2022,141
4.0,3:08,3.0,7.0,DEN 17,10.0,14.0,Ryan Tannehill pass incomplete deep left intended for Chigoziem Okonkwo (defended by Damarri Mathis),3.36,2.31,10.0,2022,141
4.0,3:02,4.0,7.0,DEN 17,10.0,17.0,Randy Bullock 35 yard field goal good,2.31,3.0,10.0,2022,141
4.0,2:59,,,TEN 35,10.0,17.0,"Ryan Stonehouse kicks off 50 yards, returned by Tyrie Cleveland for 10 yards (tackle by Tre Avery)",0.0,0.61,10.0,2022,141
4.0,2:54,1.0,10.0,DEN 25,10.0,17.0,Russell Wilson sacked by and Rashad Weaver for -2 yards and DeMarcus Walker for -2 yards,0.61,-0.21,10.0,2022,141
4.0,2:22,2.0,12.0,DEN 23,10.0,17.0,Russell Wilson pass complete short left to Courtland Sutton for 7 yards (tackle by Terrance Mitchell and Kevin Byard),-0.21,0.04,10.0,2022,141
4.0,2:03,3.0,5.0,DEN 30,10.0,17.0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.04,-1.37,10.0,2022,141
4.0,1:54,4.0,5.0,DEN 30,10.0,17.0,Russell Wilson scrambles left end for 9 yards (tackle by Andrew Adams),-1.37,1.53,10.0,2022,141
4.0,1:48,1.0,10.0,DEN 39,10.0,17.0,Russell Wilson pass complete short middle to Melvin Gordon for 17 yards (tackle by Kevin Byard and Roger McCreary),1.53,2.65,10.0,2022,141
4.0,1:16,1.0,10.0,TEN 44,10.0,17.0,Russell Wilson pass complete short left to Courtland Sutton for 17 yards (tackle by Dylan Cole),2.65,3.78,10.0,2022,141
4.0,0:49,1.0,10.0,TEN 27,10.0,17.0,Russell Wilson pass complete short left to Courtland Sutton for 6 yards (tackle by Terrance Mitchell),3.78,4.04,10.0,2022,141
4.0,0:42,2.0,4.0,TEN 21,10.0,17.0,Russell Wilson pass incomplete short left intended for Tyrie Cleveland,4.04,3.34,10.0,2022,141
4.0,0:38,3.0,4.0,TEN 21,10.0,17.0,"Russell Wilson sacked by Rashad Weaver for -8 yards. Russell Wilson fumbles (forced by Rashad Weaver), recovered by Quinn Bailey at TEN-30",3.34,1.41,10.0,2022,141
4.0,0:30,,,,,,Timeout #3 by Denver Broncos,,,10.0,2022,141
4.0,0:30,,,,,,Timeout #2 by Tennessee Titans,,,10.0,2022,141
4.0,0:30,4.0,13.0,TEN 30,10.0,17.0,"Russell Wilson pass complete to Greg Dulcich for no gain. Penalty on Rashad Weaver: Defensive Offside, 5 yards (accepted) (no play)",1.41,1.8,10.0,2022,141
4.0,0:20,4.0,8.0,TEN 25,10.0,17.0,Russell Wilson pass deep middle (defended by Joshua Kalu) intended for Courtland Sutton is intercepted by Terrance Mitchell in end zone and returned for 1 yard,1.8,0.38,10.0,2022,141
4.0,0:11,1.0,10.0,TEN 1,10.0,17.0,Ryan Tannehill up the middle for 1 yard (tackle by Mike Purcell and Dre'Mont Jones),-0.38,-0.71,10.0,2022,141
