Quarter,Time,Down,ToGo,Location,SEA,TEN,Detail,EPB,EPA,week,year,game_id
3.0,13:32,2.0,12.0,TEN 46,3.0,10.0,Geno Smith pass complete short right to Will Dissly for 6 yards (tackle by Azeez Al-Shaair and Roger McCreary),1.84,1.95,16.0,2023,233
3.0,12:44,3.0,6.0,TEN 40,3.0,10.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 10 yards (tackle by Eric Garror),1.95,3.58,16.0,2023,233
3.0,12:01,1.0,10.0,TEN 30,3.0,10.0,Kenneth Walker right tackle for no gain (tackle by Mike Brown),3.58,3.03,16.0,2023,233
3.0,11:22,2.0,10.0,TEN 30,3.0,10.0,Geno Smith pass complete deep right to Tyler Lockett for 19 yards,3.03,4.84,16.0,2023,233
3.0,10:49,1.0,10.0,TEN 11,3.0,10.0,Geno Smith up the middle for 2 yards (tackle by Arden Key and Keondre Coburn),4.84,4.51,16.0,2023,233
3.0,10:07,2.0,8.0,TEN 9,3.0,10.0,Geno Smith pass incomplete short left intended for Colby Parkinson,4.51,3.53,16.0,2023,233
3.0,10:01,3.0,8.0,TEN 9,3.0,10.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Terrell Edmunds),3.53,2.83,16.0,2023,233
3.0,9:57,4.0,8.0,TEN 9,6.0,10.0,Jason Myers 27 yard field goal good,2.83,3.0,16.0,2023,233
3.0,9:53,,,SEA 35,6.0,10.0,"Jason Myers kicks off 65 yards, returned by Chris Moore for 26 yards (tackle by Kelvin Joseph)",0.0,0.67,16.0,2023,233
3.0,9:48,1.0,10.0,TEN 26,6.0,10.0,Derrick Henry up the middle for 7 yards (tackle by Jarran Reed),0.67,1.07,16.0,2023,233
3.0,9:07,2.0,3.0,TEN 33,6.0,10.0,Derrick Henry up the middle for 2 yards (tackle by Boye Mafe and Artie Burns),1.07,0.63,16.0,2023,233
3.0,8:27,3.0,1.0,TEN 35,6.0,10.0,Tyjae Spears up the middle for 9 yards (tackle by Devin Bush),0.63,1.86,16.0,2023,233
3.0,7:44,1.0,10.0,TEN 44,6.0,10.0,"Penalty on Andrew Rupcich: False Start, 5 yards (accepted) (no play)",1.86,1.53,16.0,2023,233
3.0,7:22,1.0,15.0,TEN 39,6.0,10.0,Tyjae Spears left guard for 7 yards (tackle by Leonard Williams),1.53,1.59,16.0,2023,233
3.0,6:39,2.0,8.0,TEN 46,6.0,10.0,Derrick Henry right end for 1 yard (tackle by Bobby Wagner and Michael Jackson),1.59,1.03,16.0,2023,233
3.0,5:56,3.0,7.0,TEN 47,6.0,10.0,Ryan Tannehill pass complete short right to Chris Moore for 9 yards,1.03,2.65,16.0,2023,233
3.0,5:20,1.0,10.0,SEA 44,6.0,10.0,Derrick Henry left tackle for -1 yards (tackle by Devin Bush and Leonard Williams),2.65,1.98,16.0,2023,233
3.0,4:38,2.0,11.0,SEA 45,6.0,10.0,Derrick Henry left guard for 3 yards (tackle by Mario Edwards and Cameron Young),1.98,1.69,16.0,2023,233
