Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,7:55,1.0,10.0,WAS 17,21.0,27.0,"Jacoby Brissett pass incomplete intended for Curtis Samuel. Penalty on Sauce Gardner: Defensive Pass Interference, 20 yards (accepted) (no play)",-0.06,1.4,16.0,2023,232
4.0,7:49,1.0,10.0,WAS 37,21.0,27.0,"Penalty on Cornelius Lucas: False Start, 5 yards (accepted) (no play)",1.4,1.07,16.0,2023,232
4.0,7:49,1.0,15.0,WAS 32,21.0,27.0,Chris Rodriguez left guard for 11 yards (tackle by Michael Carter),1.07,1.67,16.0,2023,232
4.0,7:11,2.0,4.0,WAS 43,21.0,27.0,Chris Rodriguez left guard for 16 yards (tackle by Tony Adams and Jordan Whitehead),1.67,2.85,16.0,2023,232
4.0,6:40,1.0,10.0,NYJ 41,21.0,27.0,"Jacoby Brissett pass complete deep right to Jahan Dotson for 21 yards (tackle by D.J. Reed). Penalty on C.J. Mosley: Face Mask (15 Yards), 9 yards (accepted)",2.85,4.84,16.0,2023,232
4.0,6:19,1.0,10.0,NYJ 11,21.0,27.0,Antonio Gibson up the middle for 9 yards (tackle by Bryce Huff),4.84,5.85,16.0,2023,232
4.0,5:36,2.0,1.0,NYJ 2,21.0,27.0,Jacoby Brissett pass complete short right to John Bates for no gain (tackle by Tony Adams),5.85,5.12,16.0,2023,232
4.0,4:55,3.0,1.0,NYJ 2,27.0,27.0,"Antonio Gibson up the middle for 2 yards, touchdown",5.12,7.0,16.0,2023,232
4.0,4:52,,,NYJ 15,28.0,27.0,Joey Slye kicks extra point good,0.0,0.0,16.0,2023,232
4.0,4:52,,,WAS 35,28.0,27.0,"Penalty on Brandin Echols: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,16.0,2023,232
4.0,4:52,,,WAS 40,28.0,27.0,"Joey Slye kicks off 60 yards, touchback.",0.0,0.61,16.0,2023,232
4.0,4:52,1.0,10.0,NYJ 25,28.0,27.0,Trevor Siemian pass complete short middle to Breece Hall for 6 yards (tackle by Khaleke Hudson),0.61,0.87,16.0,2023,232
4.0,4:26,2.0,4.0,NYJ 31,28.0,27.0,Trevor Siemian pass incomplete short left intended for Garrett Wilson (defended by Khaleke Hudson),0.87,0.17,16.0,2023,232
4.0,4:20,3.0,4.0,NYJ 31,28.0,27.0,Trevor Siemian pass complete short left to Breece Hall for 3 yards (tackle by Cody Barton),0.17,-1.11,16.0,2023,232
4.0,3:55,4.0,1.0,NYJ 34,28.0,27.0,Trevor Siemian up the middle for 2 yards (tackle by James Smith-Williams),-1.11,1.33,16.0,2023,232
4.0,3:24,1.0,10.0,NYJ 36,28.0,27.0,Trevor Siemian pass complete short right to Garrett Wilson for 11 yards (tackle by Kendall Fuller),1.33,2.06,16.0,2023,232
4.0,2:42,1.0,10.0,NYJ 47,28.0,27.0,"Trevor Siemian pass incomplete intended for Breece Hall. Penalty on Mekhi Becton: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,16.0,2023,232
4.0,2:34,1.0,20.0,NYJ 37,28.0,27.0,Trevor Siemian pass incomplete short right,1.4,0.17,16.0,2023,232
4.0,2:28,2.0,20.0,NYJ 37,28.0,27.0,Trevor Siemian pass incomplete deep left intended for Breece Hall (defended by Khaleke Hudson),0.17,-0.49,16.0,2023,232
4.0,2:22,3.0,20.0,NYJ 37,28.0,27.0,Trevor Siemian pass incomplete short middle intended for Breece Hall,-0.49,-0.91,16.0,2023,232
4.0,2:16,4.0,20.0,NYJ 37,28.0,27.0,"Thomas Morstead punts 43 yards, returned by Jamison Crowder for 5 yards (tackle by Jamien Sherwood)",-0.91,-0.61,16.0,2023,232
4.0,2:07,1.0,10.0,WAS 25,28.0,27.0,Chris Rodriguez up the middle for -1 yards (tackle by John Franklin-Myers and C.J. Mosley),0.61,-0.07,16.0,2023,232
4.0,2:00,2.0,11.0,WAS 24,28.0,27.0,Chris Rodriguez left guard for 1 yard (tackle by Quinnen Williams),-0.07,-0.62,16.0,2023,232
4.0,1:55,,,,,,Timeout #1 by New York Jets,,,16.0,2023,232
4.0,1:55,3.0,10.0,WAS 25,28.0,27.0,Antonio Gibson up the middle for 2 yards (tackle by Jermaine Johnson and Quincy Williams),-0.62,-1.57,16.0,2023,232
4.0,1:49,,,,,,Timeout #2 by New York Jets,,,16.0,2023,232
4.0,1:49,4.0,8.0,WAS 27,28.0,27.0,"Tress Way punts 49 yards, returned by Xavier Gipson for 9 yards (tackle by Terrell Burgess)",-1.57,-1.14,16.0,2023,232
4.0,1:41,1.0,10.0,NYJ 33,28.0,27.0,Trevor Siemian pass complete short middle to Tyler Conklin for 8 yards (tackle by Cody Barton),1.14,1.67,16.0,2023,232
4.0,1:21,2.0,2.0,NYJ 41,28.0,27.0,Trevor Siemian pass complete short middle to Breece Hall for 1 yard (tackle by Quan Martin),1.67,1.09,16.0,2023,232
4.0,1:07,,,,,,Timeout #1 by Washington Commanders,,,16.0,2023,232
4.0,1:07,3.0,1.0,NYJ 42,28.0,27.0,Breece Hall left end for 5 yards (tackle by Khaleke Hudson),1.09,2.06,16.0,2023,232
4.0,0:46,1.0,10.0,NYJ 47,28.0,27.0,Trevor Siemian pass complete short right to Breece Hall for 14 yards (tackle by Khaleke Hudson),2.06,2.98,16.0,2023,232
4.0,0:21,1.0,10.0,WAS 39,28.0,27.0,Trevor Siemian pass incomplete short right intended for Jason Brownlee (defended by Kendall Fuller),2.98,2.44,16.0,2023,232
4.0,0:19,2.0,10.0,WAS 39,28.0,27.0,Trevor Siemian scrambles for 3 yards (tackle by Jonathan Allen),2.44,2.15,16.0,2023,232
4.0,0:13,,,,,,Timeout #3 by New York Jets,,,16.0,2023,232
4.0,0:13,3.0,7.0,WAS 36,28.0,27.0,Trevor Siemian pass incomplete short left intended for Garrett Wilson,2.15,0.88,16.0,2023,232
4.0,0:10,4.0,7.0,WAS 36,28.0,30.0,Greg Zuerlein 54 yard field goal good,0.88,3.0,16.0,2023,232
4.0,0:05,,,NYJ 35,28.0,30.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
4.0,0:05,1.0,10.0,WAS 25,28.0,30.0,Jacoby Brissett pass complete short right to Logan Thomas for 5 yards (tackle by C.J. Mosley),0.61,0.74,16.0,2023,232
