Quarter,Time,Down,ToGo,Location,BAL,SFO,Detail,EPB,EPA,week,year,game_id
4.0,3:10,3.0,1.0,BAL 45,33.0,19.0,Sam Darnold pass complete short left to Brandon Aiyuk for 24 yards (tackle by Ronald Darby),1.95,4.17,16.0,2023,240
4.0,2:44,1.0,10.0,BAL 21,33.0,19.0,Sam Darnold pass complete short right to Brandon Aiyuk for 7 yards (tackle by Brandon Stephens),4.17,4.74,16.0,2023,240
4.0,2:24,2.0,3.0,BAL 14,33.0,19.0,Sam Darnold pass incomplete short left intended for Brandon Aiyuk,4.74,4.02,16.0,2023,240
4.0,2:20,3.0,3.0,BAL 14,33.0,19.0,"Sam Darnold pass incomplete short left intended for Brandon Aiyuk. Penalty on Brandon Stephens: Defensive Pass Interference, 12 yards (accepted) (no play)",4.02,6.74,16.0,2023,240
4.0,2:16,1.0,2.0,BAL 2,33.0,19.0,Sam Darnold pass incomplete short right,6.74,5.72,16.0,2023,240
4.0,2:09,2.0,2.0,BAL 2,33.0,19.0,Christian McCaffrey left guard for 1 yard (tackle by Travis Jones),5.72,5.17,16.0,2023,240
4.0,2:00,3.0,1.0,BAL 1,33.0,19.0,Sam Darnold sacked by Brent Urban for -11 yards,5.17,2.63,16.0,2023,240
4.0,1:23,4.0,12.0,BAL 12,33.0,19.0,"Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",2.63,2.31,16.0,2023,240
4.0,1:10,4.0,17.0,BAL 17,33.0,19.0,Sam Darnold pass deep middle intended for George Kittle is intercepted by Marcus Williams in end zone and returned for 22 yards (tackle by Ben Bartch),2.31,-0.41,16.0,2023,240
4.0,1:00,1.0,10.0,BAL 22,33.0,19.0,Gus Edwards up the middle for 3 yards (tackle by Demetrius Flannigan-Fowles),0.41,0.27,16.0,2023,240
4.0,0:54,,,,,,Timeout #1 by San Francisco 49ers,,,16.0,2023,240
4.0,0:54,2.0,7.0,BAL 25,33.0,19.0,Gus Edwards left end for 13 yards (tackle by Ji'Ayir Brown),0.27,1.47,16.0,2023,240
4.0,0:12,1.0,10.0,BAL 38,33.0,19.0,Lamar Jackson kneels for -1 yards,1.47,0.79,16.0,2023,240
