Quarter,Time,Down,ToGo,Location,CAR,MIA,Detail,EPB,EPA,week,year,game_id
2.0,0:29,3.0,3.0,MIA 26,14.0,21.0,Bryce Young pass complete short left to DJ Chark for 1 yard (tackle by Bradley Chubb),3.07,1.93,6.0,2023,83
2.0,0:02,,,,,,Timeout #1 by Carolina Panthers,,,6.0,2023,83
2.0,0:02,4.0,2.0,MIA 25,14.0,21.0,Eddy Pineiro 43 yard field goal no good,1.93,1.07,6.0,2023,83
3.0,15:00,,,CAR 35,14.0,21.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
3.0,15:00,1.0,10.0,MIA 25,14.0,21.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Shy Tuttle),0.61,0.06,6.0,2023,83
3.0,14:57,2.0,10.0,MIA 25,14.0,21.0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill,0.06,-0.62,6.0,2023,83
3.0,14:52,3.0,10.0,MIA 25,14.0,21.0,Tua Tagovailoa pass incomplete short left,-0.62,-1.7,6.0,2023,83
3.0,14:47,4.0,10.0,MIA 25,14.0,21.0,"Jake Bailey punts 45 yards, fair catch by Ihmir Smith-Marsette at CAR-30",-1.7,-0.94,6.0,2023,83
3.0,14:40,1.0,10.0,CAR 30,14.0,21.0,Bryce Young pass complete short middle to Adam Thielen for 5 yards (tackle by Xavien Howard),0.94,1.07,6.0,2023,83
3.0,14:12,2.0,5.0,CAR 35,14.0,21.0,Chuba Hubbard up the middle for 4 yards (tackle by David Long and Eli Apple),1.07,0.89,6.0,2023,83
3.0,13:50,3.0,1.0,CAR 39,14.0,21.0,Chuba Hubbard up the middle for 2 yards (tackle by Bradley Chubb),0.89,1.66,6.0,2023,83
3.0,13:07,1.0,10.0,CAR 41,14.0,21.0,Bryce Young pass incomplete short left intended for Terrace Marshall (defended by Kader Kohou),1.66,1.12,6.0,2023,83
3.0,13:00,2.0,10.0,CAR 41,14.0,21.0,Bryce Young pass complete short left to Adam Thielen for 4 yards (tackle by Jerome Baker),1.12,0.96,6.0,2023,83
3.0,12:18,3.0,6.0,CAR 45,14.0,21.0,Bryce Young sacked by Christian Wilkins for -9 yards,0.96,-0.98,6.0,2023,83
3.0,11:40,4.0,16.0,CAR 36,14.0,21.0,"Johnny Hekker punts 55 yards, fair catch by Braxton Berrios at MIA-9",-0.98,0.38,6.0,2023,83
3.0,11:32,1.0,10.0,MIA 9,14.0,21.0,Raheem Mostert right end for 9 yards (tackle by Shy Tuttle),-0.38,0.14,6.0,2023,83
3.0,10:53,2.0,1.0,MIA 18,14.0,21.0,Raheem Mostert up the middle for 4 yards (tackle by Derrick Brown and Yetur Gross-Matos),0.14,0.41,6.0,2023,83
3.0,10:13,1.0,10.0,MIA 22,14.0,21.0,"Raheem Mostert right tackle for no gain (tackle by Derrick Brown). Penalty on Derrick Brown: Defensive Offside, 5 yards (accepted) (no play)",0.41,1.14,6.0,2023,83
3.0,9:54,1.0,5.0,MIA 27,14.0,21.0,Raheem Mostert right tackle for no gain (tackle by DJ Johnson and Frankie Luvu),1.14,0.54,6.0,2023,83
3.0,9:14,2.0,5.0,MIA 27,14.0,21.0,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 47 yards (tackle by C.J. Henderson),0.54,3.84,6.0,2023,83
3.0,8:27,1.0,10.0,CAR 26,14.0,21.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 9 yards (tackle by Matthias Farley),3.84,4.64,6.0,2023,83
3.0,7:45,2.0,1.0,CAR 17,14.0,21.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for 9 yards (tackle by Matthias Farley),4.64,5.37,6.0,2023,83
3.0,7:08,1.0,8.0,CAR 8,14.0,21.0,Raheem Mostert right end for 4 yards (tackle by C.J. Henderson and Kamu Grugier-Hill),5.37,5.34,6.0,2023,83
3.0,6:25,2.0,4.0,CAR 4,14.0,27.0,"Raheem Mostert left guard for 4 yards, touchdown",5.34,7.0,6.0,2023,83
3.0,6:21,,,CAR 15,14.0,28.0,Jason Sanders kicks extra point good,0.0,0.0,6.0,2023,83
3.0,6:21,,,MIA 35,14.0,28.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,6.0,2023,83
3.0,6:21,1.0,10.0,CAR 25,14.0,28.0,Chuba Hubbard left end for 6 yards (tackle by David Long and DeShon Elliott),0.61,0.87,6.0,2023,83
3.0,5:56,2.0,4.0,CAR 31,14.0,28.0,Chuba Hubbard right guard for 2 yards (tackle by Raekwon Davis),0.87,0.43,6.0,2023,83
3.0,5:33,3.0,2.0,CAR 33,14.0,28.0,Bryce Young pass complete deep right to DJ Chark for 24 yards (tackle by Eli Apple),0.43,2.72,6.0,2023,83
3.0,4:55,1.0,10.0,MIA 43,14.0,28.0,Bryce Young pass complete short right to Tommy Tremble for 4 yards (tackle by DeShon Elliott and Duke Riley),2.72,2.72,6.0,2023,83
3.0,4:28,2.0,6.0,MIA 39,14.0,28.0,Chuba Hubbard right end for 5 yards (tackle by Xavien Howard),2.72,2.68,6.0,2023,83
3.0,4:02,3.0,1.0,MIA 34,14.0,28.0,Chuba Hubbard up the middle for 2 yards (tackle by David Long and Jaelan Phillips),2.68,3.45,6.0,2023,83
3.0,3:33,1.0,10.0,MIA 32,14.0,28.0,Chuba Hubbard right guard for 4 yards (tackle by DeShon Elliott),3.45,3.44,6.0,2023,83
3.0,3:01,2.0,6.0,MIA 28,14.0,28.0,Raheem Blackshear up the middle for 4 yards (tackle by Christian Wilkins and Duke Riley),3.44,3.27,6.0,2023,83
3.0,2:34,3.0,2.0,MIA 24,14.0,28.0,Bryce Young pass incomplete short left intended for DJ Chark,3.27,1.99,6.0,2023,83
3.0,2:31,4.0,2.0,MIA 24,14.0,28.0,Bryce Young pass incomplete deep right intended for Hayden Hurst,1.99,-0.54,6.0,2023,83
3.0,2:28,1.0,10.0,MIA 24,14.0,28.0,Salvon Ahmed left end for 7 yards (tackle by Donte Jackson),0.54,0.94,6.0,2023,83
3.0,2:03,2.0,3.0,MIA 31,14.0,28.0,Tua Tagovailoa pass complete deep right to Tyreek Hill for 24 yards (tackle by C.J. Henderson),0.94,2.59,6.0,2023,83
3.0,1:27,1.0,10.0,CAR 45,14.0,28.0,Salvon Ahmed up the middle for 2 yards (tackle by Deion Jones and Sam Franklin),2.59,2.31,6.0,2023,83
3.0,0:48,2.0,8.0,CAR 43,14.0,28.0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,2.31,1.62,6.0,2023,83
3.0,0:43,3.0,8.0,CAR 43,14.0,28.0,Tua Tagovailoa pass complete short right to Braxton Berrios for 10 yards (tackle by Matthias Farley),1.62,3.38,6.0,2023,83
3.0,0:08,1.0,10.0,CAR 33,14.0,28.0,Raheem Mostert right end for 11 yards (tackle by C.J. Henderson),3.38,4.11,6.0,2023,83
4.0,15:00,1.0,10.0,CAR 22,14.0,28.0,Raheem Mostert right end for -1 yards (tackle by Frankie Luvu and Yetur Gross-Matos),4.11,3.43,6.0,2023,83
4.0,14:24,2.0,11.0,CAR 23,14.0,28.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 13 yards (tackle by Sam Franklin),3.43,4.91,6.0,2023,83
4.0,13:38,1.0,10.0,CAR 10,14.0,28.0,Raheem Mostert right end for 8 yards (tackle by Frankie Luvu),4.91,5.72,6.0,2023,83
4.0,12:57,2.0,2.0,CAR 2,14.0,28.0,"Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle. Penalty on Jeremy Chinn: Defensive Pass Interference, 1 yard (accepted) (no play)",5.72,6.97,6.0,2023,83
4.0,12:52,1.0,1.0,CAR 1,14.0,28.0,Raheem Mostert right guard for no gain (tackle by Sam Franklin),6.97,5.91,6.0,2023,83
4.0,12:30,2.0,1.0,CAR 1,14.0,28.0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe (defended by Shy Tuttle),5.91,5.17,6.0,2023,83
