Quarter,Time,Down,ToGo,Location,BUF,PHI,Detail,EPB,EPA,week,year,game_id
4,0:38,1.0,10.0,BUF 34,31.0,28.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",3.31,2.98,12.0,2023,178
4,0:38,,,,,,Timeout #2 by Philadelphia Eagles,,,12.0,2023,178
4,0:38,1.0,15.0,BUF 39,31.0,28.0,Jalen Hurts pass incomplete short middle intended for Julio Jones (defended by A.J. Epenesa),2.98,2.09,12.0,2023,178
4,0:35,2.0,15.0,BUF 39,31.0,28.0,Jalen Hurts up the middle for 3 yards (tackle by Ed Oliver),2.09,1.82,12.0,2023,178
4,0:30,,,,,,Timeout #3 by Philadelphia Eagles,,,12.0,2023,178
4,0:30,3.0,12.0,BUF 36,31.0,28.0,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",1.82,1.16,12.0,2023,178
4,0:30,,,,,,Timeout #1 by Buffalo Bills,,,12.0,2023,178
4,0:30,3.0,17.0,BUF 41,31.0,28.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Jordan Poyer),1.16,0.53,12.0,2023,178
4,0:25,,,,,,Timeout #2 by Buffalo Bills,,,12.0,2023,178
4,0:25,4.0,17.0,BUF 41,31.0,31.0,Jake Elliott 59 yard field goal good,0.53,3.0,12.0,2023,178
4,0:20,,,PHI 35,31.0,31.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
4,0:20,1.0,10.0,BUF 25,31.0,31.0,Josh Allen kneels for -1 yards,0.61,0.0,12.0,2023,178
,,,,,,,"Bills won the coin toss, Bills to receive the overtime kickoff.",,,12.0,2023,178
OT,10:00,,,PHI 35,31.0,31.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,178
OT,10:00,1.0,10.0,BUF 25,31.0,31.0,James Cook left guard for 1 yard (tackle by Jordan Davis and Christian Elliss),0.61,0.2,12.0,2023,178
OT,9:26,2.0,9.0,BUF 26,31.0,31.0,Josh Allen pass incomplete short left intended for Stefon Diggs (defended by Darius Slay),0.2,-0.49,12.0,2023,178
OT,9:21,3.0,9.0,BUF 26,31.0,31.0,Josh Allen pass complete short middle to Gabriel Davis for 13 yards (tackle by Reed Blankenship),-0.49,1.53,12.0,2023,178
OT,8:48,1.0,10.0,BUF 39,31.0,31.0,James Cook right guard for 1 yard (tackle by Jordan Davis),1.53,1.12,12.0,2023,178
OT,8:14,2.0,9.0,BUF 40,31.0,31.0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by James Bradberry),1.12,0.43,12.0,2023,178
OT,8:06,3.0,9.0,BUF 40,31.0,31.0,Josh Allen scrambles left end for 15 yards (tackle by Darius Slay),0.43,2.59,12.0,2023,178
OT,7:28,1.0,10.0,PHI 45,31.0,31.0,Josh Allen pass incomplete short left intended for Trent Sherfield,2.59,2.04,12.0,2023,178
OT,7:24,2.0,10.0,PHI 45,31.0,31.0,"Josh Allen pass complete short right to James Cook for 4 yards (tackle by Haason Reddick). Penalty on Nicholas Morrow: Roughing the Passer, 15 yards (accepted)",2.04,3.84,12.0,2023,178
OT,7:10,1.0,10.0,PHI 26,31.0,31.0,Latavius Murray up the middle for no gain (tackle by Kevin Byard and Jordan Davis),3.84,3.3,12.0,2023,178
OT,6:33,2.0,10.0,PHI 26,31.0,31.0,Josh Allen scrambles left end for 4 yards (tackle by Nicholas Morrow and Jordan Davis),3.3,3.14,12.0,2023,178
OT,6:01,3.0,6.0,PHI 22,31.0,31.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,3.14,2.02,12.0,2023,178
OT,5:56,4.0,6.0,PHI 22,34.0,31.0,Tyler Bass 40 yard field goal good,2.02,3.0,12.0,2023,178
OT,5:52,,,BUF 35,34.0,31.0,"Tyler Bass kicks off 58 yards,",0.0,0.61,12.0,2023,178
OT,5:52,1.0,10.0,PHI 25,34.0,31.0,Jalen Hurts right guard for 8 yards (tackle by Terrel Bernard),0.61,1.14,12.0,2023,178
OT,5:19,2.0,2.0,PHI 33,34.0,31.0,Jalen Hurts pass complete short left to D'Andre Swift for 4 yards (tackle by Taron Johnson),1.14,1.4,12.0,2023,178
OT,4:32,1.0,10.0,PHI 37,34.0,31.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,1.4,0.86,12.0,2023,178
OT,4:27,2.0,10.0,PHI 37,34.0,31.0,Jalen Hurts pass complete deep left to DeVonta Smith for 17 yards (tackle by Micah Hyde),0.86,2.52,12.0,2023,178
OT,3:43,1.0,10.0,BUF 46,34.0,31.0,Jalen Hurts scrambles right end for 7 yards (tackle by Taron Johnson),2.52,2.92,12.0,2023,178
OT,3:33,2.0,3.0,BUF 39,34.0,31.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Tyrel Dodson),2.92,2.21,12.0,2023,178
OT,3:29,,,,,,Timeout #1 by Buffalo Bills,,,12.0,2023,178
OT,3:29,3.0,3.0,BUF 39,34.0,31.0,Jalen Hurts pass complete short right to DeVonta Smith for 11 yards (tackle by Tyrel Dodson),2.21,3.71,12.0,2023,178
OT,2:49,1.0,10.0,BUF 28,34.0,31.0,D'Andre Swift left end for 16 yards (tackle by Christian Benford),3.71,4.78,12.0,2023,178
OT,2:41,1.0,10.0,BUF 12,34.0,37.0,"Jalen Hurts left guard for 12 yards, touchdown",4.78,6.0,12.0,2023,178
