Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA,week,year,game_id
4.0,1:55,1.0,10.0,KAN 29,27.0,19.0,"Bryce Young pass incomplete deep right intended for Adam Thielen. Penalty on Chamarri Conner: Defensive Pass Interference, 28 yards (accepted) (no play)",3.64,6.97,12.0,2024,168
4.0,1:49,1.0,1.0,KAN 1,27.0,25.0,"Chuba Hubbard right tackle for 1 yard, touchdown",6.97,7.0,12.0,2024,168
4.0,1:46,,,KAN 2,27.0,25.0,"Two Point Attempt: Bryce Young pass incomplete intended for intended for David Moore. Penalty on Trent McDuffie: Defensive Pass Interference, 1 yard (accepted) (no play)",1.0,1.0,12.0,2024,168
4.0,1:46,1.0,1.0,KAN 1,27.0,27.0,"Two Point Attempt: Chuba Hubbard rushes, conversion succeeds.",1.0,1.0,12.0,2024,168
4.0,1:46,,,CAR 35,27.0,27.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,168
4.0,1:46,1.0,10.0,KAN 30,27.0,27.0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Dane Jackson),0.94,1.47,12.0,2024,168
4.0,1:19,2.0,2.0,KAN 38,27.0,27.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Michael Jackson),1.47,0.76,12.0,2024,168
4.0,1:13,3.0,2.0,KAN 38,27.0,27.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 7 yards (tackle by Josey Jewell),0.76,1.93,12.0,2024,168
4.0,0:48,1.0,10.0,KAN 45,27.0,27.0,"Patrick Mahomes scrambles left end for 33 yards. Patrick Mahomes fumbles, ball out of bounds at CAR-22 (forced by Jordan Fuller). Patrick Mahomes fumbles out of bounds",1.93,4.11,12.0,2024,168
4.0,0:39,1.0,10.0,CAR 22,27.0,27.0,Kareem Hunt up the middle for -1 yards (tackle by A'Shawn Robinson),4.11,3.43,12.0,2024,168
4.0,0:29,,,,,,Timeout #1 by Kansas City Chiefs,,,12.0,2024,168
4.0,0:29,2.0,11.0,CAR 23,27.0,27.0,Patrick Mahomes pass complete short right to Kareem Hunt for 10 yards (tackle by Xavier Woods),3.43,4.39,12.0,2024,168
4.0,0:02,,,,,,Timeout #2 by Kansas City Chiefs,,,12.0,2024,168
4.0,0:02,3.0,1.0,CAR 13,30.0,27.0,Spencer Shrader 31 yard field goal good,4.39,3.0,12.0,2024,168
