Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
2.0,2:07,1.0,10.0,LAR 30,6.0,7.0,Jalen Hurts left end for no gain (tackle by Byron Young),3.58,3.03,12.0,2024,178
2.0,2:00,2.0,10.0,LAR 30,6.0,7.0,Jalen Hurts pass complete short left to Dallas Goedert for 5 yards (tackle by Christian Rozeboom),3.03,3.01,12.0,2024,178
2.0,1:53,,,,,,Timeout #1 by Los Angeles Rams,,,12.0,2024,178
2.0,1:53,3.0,5.0,LAR 25,6.0,7.0,Jalen Hurts scrambles left end for 5 yards (tackle by Christian Rozeboom),3.01,4.24,12.0,2024,178
2.0,1:46,1.0,10.0,LAR 20,6.0,7.0,Jalen Hurts pass complete short right to Saquon Barkley for 13 yards,4.24,5.6,12.0,2024,178
2.0,1:36,1.0,7.0,LAR 7,6.0,7.0,Saquon Barkley right guard for 1 yard (tackle by Christian Rozeboom and Kamren Kinchens),5.6,4.95,12.0,2024,178
2.0,1:32,,,,,,Timeout #2 by Los Angeles Rams,,,12.0,2024,178
2.0,1:32,2.0,6.0,LAR 6,12.0,7.0,"Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Quentin Lake) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass complete short left to A.J. Brown for 6 yards, touchdown, touchdown",4.95,7.0,12.0,2024,178
2.0,1:27,,,LAR 15,13.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2024,178
2.0,1:27,,,PHI 35,13.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
2.0,1:27,1.0,10.0,LAR 30,13.0,7.0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Quinyon Mitchell),0.94,1.07,12.0,2024,178
2.0,1:23,2.0,5.0,LAR 35,13.0,7.0,Matthew Stafford sacked by Nakobe Dean for -8 yards,1.07,-0.69,12.0,2024,178
2.0,0:39,3.0,13.0,LAR 27,13.0,7.0,Kyren Williams right tackle for 8 yards (tackle by Nakobe Dean and Darius Slay),-0.69,-1.04,12.0,2024,178
2.0,0:33,,,,,,Timeout #1 by Philadelphia Eagles,,,12.0,2024,178
2.0,0:33,4.0,5.0,LAR 35,13.0,7.0,Ethan Evans punts 28 yards out of bounds,-1.04,-1.4,12.0,2024,178
2.0,0:26,1.0,10.0,PHI 37,13.0,7.0,"Jalen Hurts pass incomplete short middle intended for Johnny Wilson. Penalty on Quentin Lake: Defensive Pass Interference, 12 yards (accepted) (no play)",1.4,2.19,12.0,2024,178
2.0,0:21,1.0,10.0,PHI 49,13.0,7.0,Jalen Hurts pass incomplete short left intended for Grant Calcaterra,2.19,1.65,12.0,2024,178
2.0,0:17,2.0,10.0,PHI 49,13.0,7.0,Jalen Hurts up the middle for 3 yards (tackle by Michael Hoecht),1.65,1.36,12.0,2024,178
2.0,0:11,,,,,,Timeout #2 by Philadelphia Eagles,,,12.0,2024,178
2.0,0:11,3.0,7.0,LAR 48,13.0,7.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Darious Williams),1.36,0.07,12.0,2024,178
2.0,0:07,,,,,,Timeout #3 by Los Angeles Rams,,,12.0,2024,178
2.0,0:07,4.0,7.0,LAR 48,13.0,7.0,Jalen Hurts left tackle for -4 yards (tackle by Michael Hoecht),0.07,-2.39,12.0,2024,178
2.0,0:02,1.0,10.0,PHI 48,13.0,7.0,Matthew Stafford sacked by Josh Sweat for -9 yards,2.39,0.63,12.0,2024,178
3.0,15:00,,,LAR 35,13.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
3.0,15:00,1.0,10.0,PHI 30,19.0,7.0,"Saquon Barkley right tackle for 70 yards, touchdown",0.94,7.0,12.0,2024,178
3.0,14:49,,,LAR 15,20.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2024,178
3.0,14:49,,,PHI 35,20.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,12.0,2024,178
3.0,14:49,1.0,10.0,LAR 30,20.0,7.0,"Kyren Williams left guard for 7 yards. Kyren Williams fumbles (forced by Jalen Carter), recovered by Steve Avila at LA-39",0.94,1.61,12.0,2024,178
3.0,14:06,2.0,1.0,LAR 39,20.0,7.0,Kyren Williams up the middle for 7 yards (tackle by Nakobe Dean and Zack Baun),1.61,1.99,12.0,2024,178
3.0,13:26,1.0,10.0,LAR 46,20.0,7.0,"Matthew Stafford pass complete deep right to Puka Nacua for 16 yards. Penalty on Darius Slay: Defensive Pass Interference, 15 yards (declined)",1.99,3.05,12.0,2024,178
3.0,13:04,1.0,10.0,PHI 38,20.0,7.0,Matthew Stafford pass complete short right to Colby Parkinson for 10 yards (tackle by Darius Slay),3.05,3.71,12.0,2024,178
3.0,12:45,1.0,10.0,PHI 28,20.0,7.0,Kyren Williams left tackle for -6 yards (tackle by Brandon Graham),3.71,2.36,12.0,2024,178
3.0,11:54,2.0,16.0,PHI 34,20.0,7.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Brandon Graham),2.36,1.68,12.0,2024,178
3.0,11:43,3.0,16.0,PHI 34,20.0,7.0,"Matthew Stafford pass incomplete deep middle intended for Puka Nacua. Penalty on Isaiah Rodgers: Defensive Pass Interference, 31 yards (accepted) (no play)",1.68,6.51,12.0,2024,178
