Quarter,Time,Down,ToGo,Location,BUF,KAN,Detail,EPB,EPA,week,year,game_id
4.0,1:54,,,BUF 35,20.0,17.0,"Tyler Bass kicks off 58 yards,",0.0,0.61,14.0,2023,204
4.0,1:54,1.0,10.0,KAN 25,20.0,17.0,"Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 7 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",0.61,1.01,14.0,2023,204
4.0,1:50,2.0,3.0,KAN 32,20.0,17.0,Patrick Mahomes pass complete deep right to Rashee Rice for 19 yards (tackle by Taron Johnson),1.01,2.32,14.0,2023,204
4.0,1:28,1.0,10.0,BUF 49,20.0,17.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice,2.32,1.78,14.0,2023,204
4.0,1:25,2.0,10.0,BUF 49,20.0,17.0,"Patrick Mahomes pass complete to Travis Kelce for no gain, lateral to Kadarius Toney for 24 yards, touchdown. Penalty on Kadarius Toney: Offensive Offside, 5 yards (accepted) (no play)",1.78,1.11,14.0,2023,204
4.0,1:12,2.0,15.0,KAN 46,20.0,17.0,Patrick Mahomes pass incomplete short right,1.11,0.43,14.0,2023,204
4.0,1:05,3.0,15.0,KAN 46,20.0,17.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Ed Oliver),0.43,-0.32,14.0,2023,204
4.0,1:01,,,,,,Timeout #2 by Kansas City Chiefs,,,14.0,2023,204
4.0,1:01,,,,,,Timeout #1 by Buffalo Bills,,,14.0,2023,204
4.0,1:01,4.0,15.0,KAN 46,20.0,17.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,-0.32,-2.52,14.0,2023,204
4.0,0:55,1.0,10.0,KAN 46,20.0,17.0,Josh Allen kneels for -1 yards,2.52,1.84,14.0,2023,204
4.0,0:25,2.0,11.0,KAN 47,20.0,17.0,Josh Allen kneels for -1 yards,1.84,1.03,14.0,2023,204
