Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA,week,year,game_id
4,1:52,2.0,11.0,LAR 15,28.0,23.0,Lamar Jackson sacked by Byron Young for -6 yards,3.85,2.48,14.0,2023,201
4,1:22,3.0,17.0,LAR 21,28.0,29.0,"Lamar Jackson pass complete deep middle to Zay Flowers for 21 yards, touchdown",2.48,7.0,14.0,2023,201
4,1:16,,,LAR 2,28.0,31.0,Two Point Attempt: Lamar Jackson pass complete to to Zay Flowers for no gain,1.0,1.0,14.0,2023,201
4,1:16,,,BAL 35,28.0,31.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
4,1:16,1.0,10.0,LAR 25,28.0,31.0,Matthew Stafford pass incomplete deep middle intended for Puka Nacua,0.61,0.06,14.0,2023,201
4,1:12,2.0,10.0,LAR 25,28.0,31.0,Matthew Stafford pass complete short left to Demarcus Robinson for 19 yards,0.06,1.86,14.0,2023,201
4,1:05,1.0,10.0,LAR 44,28.0,31.0,Matthew Stafford pass complete deep left to Cooper Kupp for 34 yards (tackle by Marlon Humphrey),1.86,4.11,14.0,2023,201
4,0:44,,,,,,Timeout #2 by Los Angeles Rams,,,14.0,2023,201
4,0:44,1.0,10.0,BAL 22,28.0,31.0,Matthew Stafford pass complete short right to Davis Allen for 4 yards (tackle by Geno Stone and Roquan Smith),4.11,4.13,14.0,2023,201
4,0:24,2.0,6.0,BAL 18,28.0,31.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson (defended by Marlon Humphrey),4.13,3.4,14.0,2023,201
4,0:16,,,,,,Timeout #3 by Los Angeles Rams,,,14.0,2023,201
4,0:16,,,,,,Timeout #2 by Baltimore Ravens,,,14.0,2023,201
4,0:16,3.0,6.0,BAL 18,28.0,31.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,3.4,2.27,14.0,2023,201
4,0:11,4.0,6.0,BAL 18,31.0,31.0,Lucas Havrisik 36 yard field goal good,2.27,3.0,14.0,2023,201
4,0:07,,,LAR 35,31.0,31.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
4,0:07,1.0,10.0,BAL 25,31.0,31.0,Lamar Jackson kneels for -1 yards,0.61,0.0,14.0,2023,201
,,,,,,,"Ravens won the coin toss, Ravens to receive the overtime kickoff.",,,14.0,2023,201
OT,10:00,,,LAR 35,31.0,31.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,201
OT,10:00,1.0,10.0,BAL 25,31.0,31.0,Keaton Mitchell right end for 4 yards (tackle by Ahkello Witherspoon),0.61,0.6,14.0,2023,201
OT,9:19,2.0,6.0,BAL 29,31.0,31.0,Lamar Jackson pass incomplete deep middle intended for Odell Beckham,0.6,-0.1,14.0,2023,201
OT,9:11,3.0,6.0,BAL 29,31.0,31.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,-0.1,-1.44,14.0,2023,201
OT,9:07,4.0,6.0,BAL 29,31.0,31.0,"Jordan Stout punts 51 yards, recovered by Austin Trammell at LA-20 (tackle by Jalyn Armour-Davis and Trenton Simpson)",-1.44,-0.61,14.0,2023,201
OT,8:56,1.0,10.0,LAR 25,31.0,31.0,Kyren Williams up the middle for 6 yards (tackle by Roquan Smith),0.61,0.87,14.0,2023,201
OT,8:16,2.0,4.0,LAR 31,31.0,31.0,Matthew Stafford pass incomplete short left intended for Kyren Williams,0.87,0.17,14.0,2023,201
OT,8:11,3.0,4.0,LAR 31,31.0,31.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",0.17,-0.49,14.0,2023,201
OT,8:11,3.0,9.0,LAR 26,31.0,31.0,Matthew Stafford pass incomplete short middle intended for Davis Allen,-0.49,-1.63,14.0,2023,201
OT,8:07,4.0,9.0,LAR 26,31.0,37.0,"Ethan Evans punts 50 yards, returned by Tylan Wallace for 76 yards, touchdown",-1.63,-6.0,14.0,2023,201
