Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA,week,year,game_id
4.0,7:15,1.0,10.0,CLE 43,21.0,28.0,Jerome Ford for 4 yards (tackle by Rayshawn Jenkins),1.8,1.79,14.0,2023,199
4.0,6:43,2.0,6.0,CLE 47,21.0,28.0,Joe Flacco pass complete short right to Jerome Ford for 5 yards (tackle by Montaric Brown),1.79,1.75,14.0,2023,199
4.0,6:12,3.0,1.0,JAX 48,21.0,28.0,"Penalty on James Hudson: False Start, 5 yards (accepted) (no play)",1.75,1.09,14.0,2023,199
4.0,6:12,3.0,6.0,CLE 47,21.0,28.0,Joe Flacco pass incomplete short left intended for David Bell,1.09,-0.26,14.0,2023,199
4.0,6:08,4.0,6.0,CLE 47,21.0,28.0,"Penalty on Adam Gotsis: Encroachment, 5 yards (accepted) (no play)",-0.26,0.07,14.0,2023,199
4.0,6:08,4.0,1.0,JAX 48,21.0,28.0,Kareem Hunt right tackle for 3 yards (tackle by Andrew Wingard),0.07,2.59,14.0,2023,199
4.0,5:33,1.0,10.0,JAX 45,21.0,28.0,Joe Flacco pass incomplete short right intended for Amari Cooper,2.59,2.04,14.0,2023,199
4.0,5:23,2.0,10.0,JAX 45,21.0,28.0,Jerome Ford right guard for 3 yards (tackle by Angelo Blackson and Antonio Johnson),2.04,1.75,14.0,2023,199
4.0,4:39,3.0,7.0,JAX 42,21.0,28.0,Joe Flacco pass incomplete short right intended for Amari Cooper (defended by Rayshawn Jenkins),1.75,0.46,14.0,2023,199
4.0,4:31,4.0,7.0,JAX 42,21.0,28.0,"Corey Bojorquez punts 42 yards, touchback.",0.46,-0.28,14.0,2023,199
4.0,4:24,1.0,10.0,JAX 20,21.0,28.0,Trevor Lawrence pass complete short right to Evan Engram for 11 yards (tackle by D'Anthony Bell),0.28,1.0,14.0,2023,199
4.0,4:20,1.0,10.0,JAX 31,21.0,28.0,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Cameron Mitchell),1.0,0.46,14.0,2023,199
4.0,4:17,2.0,10.0,JAX 31,21.0,28.0,Trevor Lawrence pass incomplete short right intended for Calvin Ridley,0.46,-0.23,14.0,2023,199
4.0,4:14,3.0,10.0,JAX 31,21.0,28.0,Trevor Lawrence scrambles right end for 7 yards (tackle by Ogbonnia Okoronkwo),-0.23,-0.85,14.0,2023,199
4.0,3:34,,,,,,Timeout #1 by Jacksonville Jaguars,,,14.0,2023,199
4.0,3:34,4.0,3.0,JAX 38,21.0,28.0,Trevor Lawrence pass incomplete short right intended for Zay Jones (defended by Ronnie Hickman),-0.85,-3.12,14.0,2023,199
4.0,3:30,1.0,10.0,JAX 37,21.0,28.0,Kareem Hunt left tackle for -2 yards (tackle by Jeremiah Ledbetter and Foyesade Oluokun),3.12,2.37,14.0,2023,199
4.0,3:25,,,,,,Timeout #2 by Jacksonville Jaguars,,,14.0,2023,199
4.0,3:25,2.0,11.0,JAX 39,21.0,28.0,Jerome Ford right tackle for 2 yards (tackle by Jeremiah Ledbetter),2.37,1.95,14.0,2023,199
4.0,3:19,,,,,,Timeout #3 by Jacksonville Jaguars,,,14.0,2023,199
4.0,3:19,3.0,9.0,JAX 37,21.0,28.0,Joe Flacco pass incomplete short left intended for Elijah Moore (defended by Darious Williams),1.95,0.79,14.0,2023,199
4.0,3:15,4.0,9.0,JAX 37,21.0,31.0,Dustin Hopkins 55 yard field goal good,0.79,3.0,14.0,2023,199
4.0,3:10,,,CLE 35,21.0,31.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,14.0,2023,199
4.0,3:10,1.0,10.0,JAX 25,21.0,31.0,Trevor Lawrence scrambles left end for 5 yards (tackle by Martin Emerson),0.61,0.74,14.0,2023,199
4.0,3:00,2.0,5.0,JAX 30,21.0,31.0,Trevor Lawrence pass complete short middle to Travis Etienne for 18 yards (tackle by D'Anthony Bell),0.74,2.13,14.0,2023,199
4.0,2:35,1.0,10.0,JAX 48,21.0,31.0,Trevor Lawrence pass complete short right to Travis Etienne for 12 yards (tackle by Greg Newsome),2.13,2.92,14.0,2023,199
4.0,2:09,1.0,10.0,CLE 40,21.0,31.0,Trevor Lawrence pass complete short right to Travis Etienne for 9 yards (tackle by Jeremiah Owusu-Koramoah),2.92,3.59,14.0,2023,199
4.0,2:00,2.0,1.0,CLE 31,21.0,31.0,Trevor Lawrence pass incomplete deep left intended for Zay Jones,3.59,2.87,14.0,2023,199
4.0,1:55,3.0,1.0,CLE 31,21.0,31.0,Trevor Lawrence pass complete short left to Evan Engram for 4 yards (tackle by Martin Emerson),2.87,3.78,14.0,2023,199
4.0,1:50,1.0,10.0,CLE 27,21.0,31.0,"Trevor Lawrence pass incomplete intended for Parker Washington. Penalty on Anthony Walker: Defensive Pass Interference, 25 yards (accepted) (no play)",3.78,6.74,14.0,2023,199
4.0,1:44,,,,,,Timeout #1 by Cleveland Browns,,,14.0,2023,199
4.0,1:44,1.0,2.0,CLE 2,21.0,31.0,Trevor Lawrence pass incomplete short right intended for Zay Jones (defended by Greg Newsome),6.74,5.72,14.0,2023,199
4.0,1:40,2.0,2.0,CLE 2,21.0,31.0,Trevor Lawrence pass incomplete short left intended for Calvin Ridley,5.72,4.95,14.0,2023,199
4.0,1:37,3.0,2.0,CLE 2,27.0,31.0,"Trevor Lawrence pass complete short right to Evan Engram for 2 yards, touchdown",4.95,7.0,14.0,2023,199
4.0,1:33,,,,,,Timeout #2 by Cleveland Browns,,,14.0,2023,199
4.0,1:33,,,CLE 2,27.0,31.0,"Two Point Attempt: Trevor Lawrence pass incomplete, sacked by Trevor Lawrence sacked by Myles Garrett for no gain",1.0,-1.0,14.0,2023,199
4.0,1:33,,,,,,Timeout #3 by Cleveland Browns,,,14.0,2023,199
4.0,1:33,,,JAX 35,27.0,31.0,"Brandon McManus kicks onside 11 yards, returned by James Proche for no gain",0.0,2.52,14.0,2023,199
4.0,1:32,1.0,10.0,JAX 46,27.0,31.0,Joe Flacco kneels for -1 yards,2.52,1.84,14.0,2023,199
4.0,0:56,2.0,11.0,JAX 47,27.0,31.0,Joe Flacco kneels for -1 yards,1.84,1.03,14.0,2023,199
4.0,0:31,3.0,12.0,JAX 48,27.0,31.0,Joe Flacco kneels for -1 yards,1.03,0.0,14.0,2023,199
