Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
3.0,6:20,3.0,5.0,NYJ 35,16.0,14.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Jaylon Jones),0.37,-1.04,11.0,2024,160
3.0,6:13,4.0,5.0,NYJ 35,16.0,14.0,Thomas Morstead punts 49 yards out of bounds,-1.04,0.14,11.0,2024,160
3.0,6:06,1.0,10.0,IND 16,16.0,14.0,"Anthony Richardson aborted snap, recovered by Anthony Richardson at IND-7 and returned for -9 yards",-0.14,-1.44,11.0,2024,160
3.0,5:20,2.0,19.0,IND 7,16.0,14.0,Anthony Richardson pass incomplete short left intended for Alec Pierce,-1.44,-2.47,11.0,2024,160
3.0,5:18,3.0,19.0,IND 7,16.0,14.0,Jonathan Taylor right tackle for 3 yards (tackle by Quinnen Williams),-2.47,-2.49,11.0,2024,160
3.0,4:43,4.0,16.0,IND 10,16.0,14.0,"Rigoberto Sanchez punts 43 yards, fair catch by Xavier Gipson at NYJ-47. Penalty on Ashton Dulin: Fair Catch Interference, 15 yards (accepted)",-2.49,-3.05,11.0,2024,160
3.0,4:32,1.0,10.0,IND 38,16.0,14.0,Breece Hall right end for no gain (tackle by E.J. Speed),3.05,2.51,11.0,2024,160
3.0,3:53,2.0,10.0,IND 38,16.0,14.0,Aaron Rodgers pass complete short middle to Breece Hall for -2 yards (tackle by Kwity Paye and Raekwon Davis),2.51,1.55,11.0,2024,160
3.0,3:05,3.0,12.0,IND 40,16.0,14.0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin,1.55,0.59,11.0,2024,160
3.0,3:00,4.0,12.0,IND 40,16.0,17.0,Anders Carlson 58 yard field goal good,0.59,3.0,11.0,2024,160
3.0,2:55,,,NYJ 35,16.0,17.0,"Anders Carlson kicks off 62 yards, returned by Tyler Goodson for 20 yards (tackle by Irvin Charles). Penalty on Andrew Ogletree: Illegal Formation, 5 yards (accepted)",0.0,0.04,11.0,2024,160
3.0,2:50,1.0,10.0,IND 18,16.0,17.0,Anthony Richardson right guard for 5 yards (tackle by Micheal Clemons and Javon Kinlaw),0.04,0.28,11.0,2024,160
3.0,2:21,2.0,5.0,IND 23,16.0,17.0,"Jonathan Taylor for no gain. Penalty on Ashton Dulin: Offensive Holding, 10 yards (accepted) (no play)",0.28,-1.14,11.0,2024,160
