Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA,week,year,game_id
4.0,5:24,1.0,10.0,CIN 21,27.0,27.0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Daiyan Henley),0.34,1.02,11.0,2024,165
4.0,4:50,2.0,1.0,CIN 30,27.0,27.0,Chase Brown right guard for 3 yards (tackle by Daiyan Henley and Morgan Fox),1.02,1.14,11.0,2024,165
4.0,4:17,1.0,10.0,CIN 33,27.0,27.0,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Daiyan Henley),1.14,2.52,11.0,2024,165
4.0,3:30,1.0,10.0,LAC 46,27.0,27.0,Chase Brown right end for -2 yards (tackle by Tuli Tuipulotu),2.52,1.71,11.0,2024,165
4.0,2:51,2.0,12.0,LAC 48,27.0,27.0,Joe Burrow pass complete short middle to Andrei Iosivas for 13 yards (tackle by Alohi Gilman),1.71,3.25,11.0,2024,165
4.0,2:28,,,,,,Timeout #1 by Los Angeles Chargers,,,11.0,2024,165
4.0,2:28,1.0,10.0,LAC 35,27.0,27.0,Chase Brown right guard for 2 yards (tackle by Joey Bosa and Troy Dye),3.25,2.97,11.0,2024,165
4.0,2:00,2.0,8.0,LAC 33,27.0,27.0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Kristian Fulton),2.97,2.28,11.0,2024,165
4.0,1:56,3.0,8.0,LAC 33,27.0,27.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.28,1.15,11.0,2024,165
4.0,1:52,4.0,8.0,LAC 33,27.0,27.0,Evan McPherson 51 yard field goal no good,1.15,-1.66,11.0,2024,165
4.0,1:48,1.0,10.0,LAC 41,27.0,27.0,Justin Herbert pass incomplete short right intended for Ladd McConkey,1.66,1.12,11.0,2024,165
4.0,1:43,2.0,10.0,LAC 41,27.0,27.0,Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Mike Hilton),1.12,0.43,11.0,2024,165
4.0,1:39,3.0,10.0,LAC 41,27.0,27.0,Justin Herbert pass incomplete deep middle intended for Josh Palmer (defended by Josh Newton),0.43,-0.65,11.0,2024,165
4.0,1:34,4.0,10.0,LAC 41,27.0,27.0,"JK Scott punts 43 yards, fair catch by Trenton Irwin at CIN-16",-0.65,0.14,11.0,2024,165
4.0,1:26,1.0,10.0,CIN 16,27.0,27.0,Joe Burrow scrambles left end for 14 yards (tackle by Derwin James),-0.14,0.94,11.0,2024,165
4.0,1:14,1.0,10.0,CIN 30,27.0,27.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,0.94,0.39,11.0,2024,165
4.0,1:05,2.0,10.0,CIN 30,27.0,27.0,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Kristian Fulton),0.39,-0.3,11.0,2024,165
4.0,1:01,3.0,10.0,CIN 30,27.0,27.0,Joe Burrow pass incomplete short right intended for Tee Higgins,-0.3,-1.37,11.0,2024,165
4.0,0:55,4.0,10.0,CIN 30,27.0,27.0,"Ryan Rehkow punts 64 yards, returned by Derius Davis for 10 yards (tackle by Tycen Anderson)",-1.37,0.14,11.0,2024,165
4.0,0:45,1.0,10.0,LAC 16,27.0,27.0,Justin Herbert pass complete deep right to Ladd McConkey for 28 yards (tackle by Mike Hilton),-0.14,1.86,11.0,2024,165
4.0,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,,11.0,2024,165
4.0,0:35,1.0,10.0,LAC 44,27.0,27.0,Justin Herbert pass incomplete short right intended for Will Dissly,1.86,1.32,11.0,2024,165
4.0,0:31,2.0,10.0,LAC 44,27.0,27.0,Justin Herbert pass complete deep left to Ladd McConkey for 27 yards (tackle by Geno Stone),1.32,3.64,11.0,2024,165
4.0,0:26,,,,,,Timeout #2 by Cincinnati Bengals,,,11.0,2024,165
4.0,0:26,1.0,10.0,CIN 29,27.0,33.0,"J.K. Dobbins left tackle for 29 yards, touchdown",3.64,7.0,11.0,2024,165
4.0,0:18,,,CIN 15,27.0,34.0,Cameron Dicker kicks extra point good,0.0,0.0,11.0,2024,165
4.0,0:18,,,LAC 35,27.0,34.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,165
4.0,0:18,1.0,10.0,CIN 30,27.0,34.0,Joe Burrow pass complete deep middle to Andrei Iosivas for 27 yards (tackle by Derwin James),0.94,2.72,11.0,2024,165
4.0,0:10,,,,,,Timeout #3 by Cincinnati Bengals,,,11.0,2024,165
4.0,0:10,1.0,10.0,LAC 43,27.0,34.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Ja'Sir Taylor),2.72,2.18,11.0,2024,165
4.0,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,,11.0,2024,165
4.0,0:03,2.0,10.0,LAC 43,27.0,34.0,Joe Burrow pass incomplete deep middle (defended by Derwin James),2.18,1.49,11.0,2024,165
