Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA,week,year,game_id
4.0,4:53,1.0,10.0,DET 23,31.0,12.0,Daniel Jones pass complete short middle to Kenny Golladay for 14 yards (tackle by DeShon Elliott),4.04,5.14,11.0,2022,153
4.0,4:29,1.0,9.0,DET 9,31.0,18.0,"Daniel Jones pass complete short middle to Richie James for 9 yards, touchdown",5.14,7.0,11.0,2022,153
4.0,4:20,,,DET 2,31.0,18.0,Two Point Attempt: Daniel Jones pass incomplete intended for Lawrence Cager,1.0,-1.0,11.0,2022,153
4.0,4:20,,,NYG 35,31.0,18.0,"Graham Gano kicks onside 13 yards, returned by Amon-Ra St. Brown for no gain",0.0,2.39,11.0,2022,153
4.0,4:19,1.0,10.0,NYG 48,31.0,18.0,Jamaal Williams left tackle for 5 yards (tackle by Jaylon Smith and Tae Crowder),2.39,2.52,11.0,2022,153
4.0,4:13,,,,,,Timeout #2 by New York Giants,,,11.0,2022,153
4.0,4:13,2.0,5.0,NYG 43,31.0,18.0,Jamaal Williams left tackle for 6 yards (tackle by Justin Ellis and Julian Love),2.52,3.12,11.0,2022,153
4.0,4:06,,,,,,Timeout #3 by New York Giants,,,11.0,2022,153
4.0,4:06,1.0,10.0,NYG 37,31.0,18.0,Jamaal Williams left tackle for 3 yards (tackle by Julian Love and Henry Mondeaux),3.12,2.98,11.0,2022,153
4.0,3:25,2.0,7.0,NYG 34,31.0,18.0,Jamaal Williams left tackle for 1 yard (tackle by Jihad Ward and Jaylon Smith),2.98,2.41,11.0,2022,153
4.0,2:43,3.0,6.0,NYG 33,31.0,18.0,Kalif Raymond left end for 7 yards (tackle by Julian Love),2.41,3.84,11.0,2022,153
4.0,2:00,1.0,10.0,NYG 26,31.0,18.0,Jared Goff kneels for -1 yards,3.84,3.16,11.0,2022,153
4.0,1:18,2.0,11.0,NYG 27,31.0,18.0,Jared Goff kneels for -1 yards,3.16,2.35,11.0,2022,153
4.0,0:39,3.0,12.0,NYG 28,31.0,18.0,Jared Goff kneels for -1 yards,2.35,1.5,11.0,2022,153
