Quarter,Time,Down,ToGo,Location,CLE,BUF,Detail,EPB,EPA,week,year,game_id
4.0,2:00,4.0,14.0,CLE 21,16.0,31.0,Tyler Bass 39 yard field goal good,2.06,3.0,11.0,2022,152
4.0,1:56,,,BUF 35,16.0,31.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,152
4.0,1:56,1.0,10.0,CLE 25,16.0,31.0,Jacoby Brissett pass complete short left to Harrison Bryant for 12 yards (tackle by Tyrel Dodson and Taron Johnson),0.61,1.4,11.0,2022,152
4.0,1:29,1.0,10.0,CLE 37,16.0,31.0,Jacoby Brissett pass complete short right to Amari Cooper for 15 yards,1.4,2.39,11.0,2022,152
4.0,1:21,1.0,10.0,BUF 48,16.0,31.0,Jacoby Brissett pass complete short right to Kareem Hunt for 12 yards (tackle by Matt Milano),2.39,3.18,11.0,2022,152
4.0,1:13,1.0,10.0,BUF 36,16.0,31.0,Jacoby Brissett scrambles up the middle for 6 yards (tackle by Tyrel Dodson),3.18,3.45,11.0,2022,152
4.0,0:49,2.0,4.0,BUF 30,16.0,31.0,"Jacoby Brissett pass incomplete short middle. Penalty on Matt Milano: Defensive Holding, 5 yards (accepted) (no play)",3.45,3.91,11.0,2022,152
4.0,0:44,1.0,10.0,BUF 25,16.0,31.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper (defended by Christian Benford),3.91,3.36,11.0,2022,152
4.0,0:39,2.0,10.0,BUF 25,16.0,31.0,Jacoby Brissett pass complete deep right to Donovan Peoples-Jones for 20 yards (tackle by Christian Benford),3.36,6.06,11.0,2022,152
4.0,0:34,1.0,5.0,BUF 5,16.0,31.0,Jacoby Brissett pass incomplete short right intended for Harrison Bryant,6.06,5.15,11.0,2022,152
4.0,0:30,2.0,5.0,BUF 5,16.0,31.0,"Jacoby Brissett pass incomplete short right. Penalty on Shaq Lawson: Defensive Offside, 3 yards (accepted) (no play)",5.15,5.72,11.0,2022,152
4.0,0:25,2.0,2.0,BUF 2,22.0,31.0,"Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 2 yards, touchdown",5.72,7.0,11.0,2022,152
4.0,0:19,,,BUF 15,23.0,31.0,Cade York kicks extra point good,0.0,0.0,11.0,2022,152
4.0,0:19,,,CLE 35,23.0,31.0,"Cade York kicks onside 27 yards, out of bounds",0.0,1.47,11.0,2022,152
4.0,0:17,1.0,10.0,BUF 38,23.0,31.0,Josh Allen kneels for -1 yards,1.47,0.79,11.0,2022,152
