Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA,week,year,game_id
3.0,8:20,2.0,16.0,IND 41,3.0,13.0,"Jonathan Taylor right tackle for 4 yards (tackle by T.J. Edwards and Milton Williams). Penalty on Michael Pittman: Offensive Holding, 10 yards (accepted)",0.71,-0.1,11.0,2022,158
3.0,7:43,2.0,22.0,IND 35,3.0,13.0,Matt Ryan pass complete short left to Parris Campbell for 3 yards (tackle by Kyzir White),-0.1,-0.36,11.0,2022,158
3.0,7:18,3.0,19.0,IND 38,3.0,13.0,Matt Ryan pass complete short right to Jonathan Taylor for 5 yards (tackle by Darius Slay and T.J. Edwards),-0.36,-0.52,11.0,2022,158
3.0,6:40,4.0,14.0,IND 43,3.0,13.0,Matt Haack punts 52 yards out of bounds,-0.52,0.38,11.0,2022,158
3.0,6:32,1.0,10.0,PHI 5,3.0,13.0,Miles Sanders left tackle for 5 yards (tackle by Bobby Okereke),-0.38,-0.42,11.0,2022,158
3.0,6:06,2.0,5.0,PHI 10,3.0,13.0,Miles Sanders up the middle for 3 yards (tackle by Byron Cowart and Bobby Okereke),-0.42,-0.48,11.0,2022,158
3.0,5:37,3.0,2.0,PHI 13,3.0,13.0,Miles Sanders right guard for no gain (tackle by Yannick Ngakoue),-0.48,-2.49,11.0,2022,158
3.0,5:03,4.0,2.0,PHI 13,3.0,13.0,"Arryn Siposs punts 42 yards, fair catch by Keke Coutee at IND-45",-2.49,-1.93,11.0,2022,158
3.0,4:57,1.0,10.0,IND 45,3.0,13.0,Zack Moss up the middle for 7 yards (tackle by Linval Joseph),1.93,2.33,11.0,2022,158
3.0,4:21,2.0,3.0,PHI 48,3.0,13.0,"Zack Moss for no gain (tackle by T.J. Edwards and Marcus Epps). Penalty on Will Fries: Offensive Holding, 10 yards (accepted) (no play)",2.33,0.98,11.0,2022,158
3.0,3:53,2.0,13.0,IND 42,3.0,13.0,Matt Ryan pass complete short left to Michael Pittman for 15 yards (tackle by C.J. Gardner-Johnson),0.98,2.72,11.0,2022,158
3.0,3:17,1.0,10.0,PHI 43,3.0,13.0,Zack Moss up the middle for no gain (tackle by Josiah Scott),2.72,2.18,11.0,2022,158
3.0,2:42,2.0,10.0,PHI 43,3.0,13.0,Matt Ryan pass complete deep left to Kylen Granson for 16 yards,2.18,3.78,11.0,2022,158
3.0,2:04,1.0,10.0,PHI 27,3.0,13.0,Jonathan Taylor up the middle for -4 yards (tackle by C.J. Gardner-Johnson),3.78,2.69,11.0,2022,158
3.0,1:25,2.0,14.0,PHI 31,3.0,13.0,Matt Ryan sacked by Milton Williams for -1 yards,2.69,1.88,11.0,2022,158
3.0,0:44,3.0,15.0,PHI 32,3.0,13.0,Matt Ryan pass incomplete short middle intended for Alec Pierce,1.88,1.24,11.0,2022,158
3.0,0:40,4.0,15.0,PHI 32,3.0,13.0,Chase McLaughlin 50 yard field goal no good,1.24,-1.6,11.0,2022,158
3.0,0:35,1.0,10.0,PHI 40,3.0,13.0,Miles Sanders left tackle for 6 yards (tackle by Brandon Facyson),1.6,1.86,11.0,2022,158
4.0,15:00,2.0,4.0,PHI 46,3.0,13.0,Jalen Hurts up the middle for 3 yards (tackle by DeForest Buckner),1.86,1.55,11.0,2022,158
4.0,14:39,3.0,1.0,PHI 49,3.0,13.0,"Jalen Hurts for no gain (tackle by Zaire Franklin). Penalty on Dayo Odeyingbo: Defensive Offside, 6 yards (accepted) (no play)",1.55,2.52,11.0,2022,158
4.0,14:19,1.0,10.0,IND 46,3.0,13.0,Jalen Hurts scrambles right end for 23 yards (tackle by Rodney Thomas),2.52,4.11,11.0,2022,158
4.0,13:47,1.0,10.0,IND 22,3.0,13.0,Jalen Hurts pass incomplete deep right,4.11,3.56,11.0,2022,158
4.0,13:37,2.0,10.0,IND 22,9.0,13.0,"Jalen Hurts pass complete deep left to Quez Watkins for 22 yards, touchdown",3.56,7.0,11.0,2022,158
4.0,13:31,,,IND 15,10.0,13.0,Jake Elliott kicks extra point good,0.0,0.0,11.0,2022,158
4.0,13:31,,,PHI 35,10.0,13.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
4.0,13:31,1.0,10.0,IND 25,10.0,13.0,Jonathan Taylor up the middle for no gain (tackle by Brandon Graham),0.61,0.06,11.0,2022,158
4.0,12:57,2.0,10.0,IND 25,10.0,13.0,Matt Ryan pass complete short middle to Michael Pittman for 16 yards (tackle by Kyzir White),0.06,1.66,11.0,2022,158
4.0,12:19,1.0,10.0,IND 41,10.0,13.0,Jonathan Taylor left guard for no gain (tackle by Fletcher Cox and Kyzir White),1.66,1.12,11.0,2022,158
4.0,11:41,2.0,10.0,IND 41,10.0,13.0,Jonathan Taylor right tackle for 9 yards (tackle by T.J. Edwards and Marcus Epps),1.12,1.62,11.0,2022,158
4.0,11:04,3.0,1.0,IND 50,10.0,13.0,"Jonathan Taylor for 7 yards. Jonathan Taylor fumbles (forced by Marcus Epps), recovered by T.J. Edwards at PHI-43",1.62,-1.8,11.0,2022,158
4.0,10:48,1.0,10.0,PHI 43,10.0,13.0,Jalen Hurts right tackle for 11 yards (tackle by Julian Blackmon),1.8,2.52,11.0,2022,158
4.0,10:24,1.0,10.0,IND 46,10.0,13.0,Jalen Hurts for 6 yards (tackle by Isaiah Rodgers),2.52,2.79,11.0,2022,158
4.0,9:42,2.0,4.0,IND 40,10.0,13.0,"Jalen Hurts pass complete short right to A.J. Brown for 6 yards. A.J. Brown fumbles (forced by Zaire Franklin), recovered by Eric Johnson at IND-34",2.79,-1.2,11.0,2022,158
4.0,9:34,1.0,10.0,IND 34,10.0,13.0,Jonathan Taylor up the middle for -1 yards (tackle by Milton Williams),1.2,0.52,11.0,2022,158
4.0,8:57,2.0,11.0,IND 33,10.0,13.0,Matt Ryan pass incomplete deep left intended for Alec Pierce (defended by James Bradberry),0.52,-0.16,11.0,2022,158
4.0,8:49,3.0,11.0,IND 33,10.0,13.0,Matt Ryan pass complete deep middle to Alec Pierce for 17 yards (tackle by Darius Slay),-0.16,2.26,11.0,2022,158
4.0,8:03,1.0,10.0,IND 50,10.0,13.0,"Jonathan Taylor for 2 yards (tackle by T.J. Edwards). Penalty on Javon Hargrave: Defensive Holding, 5 yards (accepted)",2.26,2.72,11.0,2022,158
4.0,7:39,1.0,10.0,PHI 43,10.0,13.0,Jonathan Taylor right tackle for 2 yards (tackle by Fletcher Cox),2.72,2.45,11.0,2022,158
