Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA,week,year,game_id
3.0,9:41,3.0,8.0,BAL 27,0.0,3.0,"Baker Mayfield pass incomplete deep left intended for Tommy Tremble. Penalty on Chuck Clark: Defensive Pass Interference, 12 yards (accepted) (no play)",2.68,4.58,11.0,2022,157
3.0,9:34,1.0,10.0,BAL 15,0.0,3.0,Chuba Hubbard left end for -3 yards (tackle by Jason Pierre-Paul),4.58,3.56,11.0,2022,157
3.0,8:57,2.0,13.0,BAL 18,0.0,3.0,Baker Mayfield pass incomplete deep left intended for Terrace Marshall,3.56,2.89,11.0,2022,157
3.0,8:52,3.0,13.0,BAL 18,0.0,3.0,Baker Mayfield scrambles up the middle for 4 yards (tackle by Patrick Queen),2.89,2.51,11.0,2022,157
3.0,8:11,4.0,9.0,BAL 14,3.0,3.0,Eddy Pineiro 32 yard field goal good,2.51,3.0,11.0,2022,157
3.0,8:07,,,CAR 35,3.0,3.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,157
3.0,8:07,1.0,10.0,BAL 25,3.0,3.0,Justice Hill right guard for 11 yards (tackle by Brandon Smith),0.61,1.33,11.0,2022,157
3.0,7:27,1.0,10.0,BAL 36,3.0,3.0,Lamar Jackson pass complete deep left to Demarcus Robinson for 20 yards (tackle by C.J. Henderson),1.33,2.65,11.0,2022,157
3.0,6:47,1.0,10.0,CAR 44,3.0,3.0,Lamar Jackson pass complete short right to Devin Duvernay for 3 yards (tackle by Jeremy Chinn),2.65,2.52,11.0,2022,157
3.0,6:21,2.0,7.0,CAR 41,3.0,3.0,Lamar Jackson pass complete short right to Josh Oliver for 2 yards (tackle by Jaycee Horn and Frankie Luvu),2.52,2.08,11.0,2022,157
3.0,5:42,3.0,5.0,CAR 39,3.0,3.0,Lamar Jackson pass complete short middle to Mark Andrews for 14 yards (tackle by Jeremy Chinn),2.08,3.91,11.0,2022,157
3.0,5:12,1.0,10.0,CAR 25,3.0,3.0,Lamar Jackson pass incomplete short middle intended for Kenyan Drake,3.91,3.36,11.0,2022,157
3.0,5:09,2.0,10.0,CAR 25,3.0,3.0,Justice Hill right guard for 6 yards (tackle by Marquis Haynes),3.36,3.49,11.0,2022,157
3.0,4:34,3.0,4.0,CAR 19,3.0,3.0,"Lamar Jackson pass complete short left to Justice Hill for no gain. Penalty on Morgan Moses: Personal Foul / Offense, 15 yards (accepted) (no play)",3.49,1.49,11.0,2022,157
3.0,4:20,3.0,19.0,CAR 34,3.0,3.0,Lamar Jackson sacked by Brian Burns for -7 yards,1.49,0.53,11.0,2022,157
3.0,4:01,4.0,26.0,CAR 41,3.0,3.0,"Jordan Stout punts, touchback. BAL challenged the touchback ruling, and the original play was overturned. Jordan Stout punts 35 yards downed by Nick Moore",0.53,0.38,11.0,2022,157
3.0,3:53,1.0,10.0,CAR 6,3.0,3.0,Baker Mayfield pass complete short middle to D.J. Moore for 7 yards (tackle by Chuck Clark),-0.38,-0.27,11.0,2022,157
3.0,3:21,2.0,3.0,CAR 13,3.0,3.0,D'Onta Foreman left guard for 5 yards (tackle by Roquan Smith),-0.27,0.04,11.0,2022,157
3.0,2:47,1.0,10.0,CAR 18,3.0,3.0,"Baker Mayfield pass complete short right to Shi Smith for 10 yards (tackle by Chuck Clark). Penalty on Chuck Clark: Face Mask (15 Yards), 15 yards (accepted)",0.04,1.8,11.0,2022,157
3.0,2:22,1.0,10.0,CAR 43,3.0,3.0,Chuba Hubbard right tackle for 1 yard (tackle by Patrick Queen and Odafe Oweh),1.8,1.39,11.0,2022,157
3.0,1:43,2.0,9.0,CAR 44,3.0,3.0,Baker Mayfield pass incomplete short middle intended for D'Onta Foreman,1.39,0.69,11.0,2022,157
3.0,1:32,3.0,9.0,CAR 44,3.0,3.0,"Penalty on Ikem Ekwonu: False Start, 5 yards (accepted) (no play)",0.69,0.04,11.0,2022,157
3.0,1:32,3.0,14.0,CAR 39,3.0,3.0,Baker Mayfield pass complete short right to Raheem Blackshear for 10 yards (tackle by Roquan Smith),0.04,-0.13,11.0,2022,157
3.0,0:45,4.0,4.0,CAR 49,3.0,3.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-0.13,-0.46,11.0,2022,157
3.0,0:34,4.0,9.0,CAR 44,3.0,3.0,"Johnny Hekker punts 42 yards, fair catch by Devin Duvernay at BAL-14",-0.46,0.28,11.0,2022,157
3.0,0:27,1.0,10.0,BAL 14,3.0,3.0,Lamar Jackson pass complete short middle to Kenyan Drake for 5 yards (tackle by Jeremy Chinn),-0.28,-0.04,11.0,2022,157
4.0,15:00,2.0,5.0,BAL 19,3.0,3.0,Kenyan Drake right end for 4 yards (tackle by Frankie Luvu),-0.04,-0.32,11.0,2022,157
4.0,14:16,3.0,1.0,BAL 23,3.0,3.0,Lamar Jackson pass complete short right to Demarcus Robinson for 12 yards (tackle by C.J. Henderson),-0.32,1.27,11.0,2022,157
4.0,13:41,1.0,10.0,BAL 35,3.0,3.0,Kenyan Drake right guard for 9 yards (tackle by Frankie Luvu),1.27,1.94,11.0,2022,157
4.0,12:56,2.0,1.0,BAL 44,3.0,3.0,Patrick Ricard up the middle for 4 yards (tackle by Bravvion Roy),1.94,2.13,11.0,2022,157
4.0,12:12,1.0,10.0,BAL 48,3.0,3.0,Lamar Jackson pass complete short right to Mark Andrews for 7 yards (tackle by Jaycee Horn),2.13,2.46,11.0,2022,157
4.0,11:33,2.0,4.0,CAR 45,3.0,3.0,Justice Hill right tackle for 4 yards (tackle by Shaq Thompson),2.46,2.85,11.0,2022,157
4.0,10:53,1.0,10.0,CAR 41,3.0,3.0,Lamar Jackson pass complete short left to Mark Andrews for 16 yards (tackle by Jeremy Chinn),2.85,3.91,11.0,2022,157
4.0,10:12,1.0,10.0,CAR 25,3.0,3.0,Justice Hill left end for 2 yards (tackle by Xavier Woods),3.91,3.63,11.0,2022,157
4.0,9:26,2.0,8.0,CAR 23,3.0,3.0,Lamar Jackson pass incomplete short middle intended for Kenyan Drake,3.63,2.94,11.0,2022,157
4.0,9:19,3.0,8.0,CAR 23,3.0,3.0,"Penalty on Lamar Jackson: Delay of Game, 5 yards (accepted) (no play)",2.94,2.28,11.0,2022,157
4.0,9:19,3.0,13.0,CAR 28,3.0,3.0,Lamar Jackson pass complete short right to Demarcus Robinson for 9 yards (tackle by Yetur Gross-Matos and Jeremy Chinn),2.28,2.26,11.0,2022,157
4.0,8:31,4.0,4.0,CAR 19,3.0,6.0,Justin Tucker 37 yard field goal good,2.26,3.0,11.0,2022,157
4.0,8:27,,,BAL 35,3.0,6.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,157
4.0,8:27,1.0,10.0,CAR 25,3.0,6.0,Baker Mayfield pass incomplete short right,0.61,0.06,11.0,2022,157
4.0,8:22,2.0,10.0,CAR 25,3.0,6.0,"Baker Mayfield pass complete short right to Shi Smith for 4 yards. Shi Smith fumbles (forced by Marcus Peters), recovered by Marlon Humphrey at CAR-29 (tackle by Marcus Peters)",0.06,-3.51,11.0,2022,157
4.0,8:14,1.0,10.0,CAR 31,3.0,6.0,Kenyan Drake left end for 29 yards (tackle by Xavier Woods),3.51,6.74,11.0,2022,157
4.0,7:50,1.0,2.0,CAR 2,3.0,6.0,"Kenyan Drake up the middle for no gain. Penalty on Brian Burns: Defensive Offside, 1 yard (accepted) (no play)",6.74,6.97,11.0,2022,157
4.0,7:20,1.0,1.0,CAR 1,3.0,12.0,"Lamar Jackson up the middle for 1 yard, touchdown",6.97,7.0,11.0,2022,157
4.0,7:16,,,CAR 15,3.0,13.0,Justin Tucker kicks extra point good,0.0,0.0,11.0,2022,157
4.0,7:16,,,BAL 35,3.0,13.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,157
4.0,7:16,1.0,10.0,CAR 25,3.0,13.0,"Penalty on Del'Shawn Phillips: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.61,1.6,11.0,2022,157
4.0,7:16,1.0,10.0,CAR 40,3.0,13.0,D'Onta Foreman left guard for 2 yards (tackle by Patrick Queen),1.6,1.32,11.0,2022,157
4.0,6:55,2.0,8.0,CAR 42,3.0,13.0,Baker Mayfield sacked by Calais Campbell for -9 yards,1.32,-0.56,11.0,2022,157
4.0,6:13,3.0,17.0,CAR 33,3.0,13.0,Baker Mayfield pass complete short left to Chuba Hubbard for 10 yards (tackle by Patrick Queen),-0.56,-0.52,11.0,2022,157
4.0,5:37,4.0,7.0,CAR 43,3.0,13.0,Baker Mayfield sacked by Jason Pierre-Paul for -8 yards,-0.52,-3.25,11.0,2022,157
4.0,5:26,1.0,10.0,CAR 35,3.0,13.0,"Lamar Jackson left end for 9 yards (tackle by Jeremy Chinn). Penalty on James Proche: Offensive Holding, 10 yards (accepted)",3.25,3.18,11.0,2022,157
4.0,5:02,1.0,11.0,CAR 36,3.0,13.0,Kenyan Drake left end for 3 yards (tackle by C.J. Henderson),3.18,2.97,11.0,2022,157
4.0,4:48,2.0,8.0,CAR 33,3.0,13.0,Lamar Jackson pass complete short middle to Isaiah Likely for 1 yard (tackle by Xavier Woods and Shaq Thompson),2.97,2.41,11.0,2022,157
4.0,4:43,,,,,,Timeout #1 by Carolina Panthers,,,11.0,2022,157
4.0,4:43,3.0,7.0,CAR 32,3.0,13.0,Lamar Jackson sacked by Yetur Gross-Matos for -8 yards,2.41,0.59,11.0,2022,157
4.0,4:37,,,,,,Timeout #2 by Carolina Panthers,,,11.0,2022,157
4.0,4:37,4.0,15.0,CAR 40,3.0,13.0,"Jordan Stout punts 27 yards, fair catch by Shi Smith at CAR-13",0.59,0.32,11.0,2022,157
4.0,4:31,1.0,10.0,CAR 13,3.0,13.0,Baker Mayfield pass incomplete short left intended for Chuba Hubbard,-0.32,-0.77,11.0,2022,157
4.0,4:25,2.0,10.0,CAR 13,3.0,13.0,"Baker Mayfield pass incomplete intended for Terrace Marshall. Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (accepted) (no play)",-0.77,-0.14,11.0,2022,157
4.0,4:20,2.0,5.0,CAR 18,3.0,13.0,Baker Mayfield pass complete short middle to Shi Smith for 8 yards (tackle by Geno Stone and Tyus Bowser),-0.14,0.67,11.0,2022,157
4.0,4:02,1.0,10.0,CAR 26,3.0,13.0,Baker Mayfield pass complete short middle to Chuba Hubbard for 15 yards (tackle by Roquan Smith),0.67,1.66,11.0,2022,157
4.0,3:35,1.0,10.0,CAR 41,3.0,13.0,Baker Mayfield pass short right intended for Shi Smith is intercepted by Marlon Humphrey at CAR-41 and returned for no gain (tackle by Shi Smith),1.66,-2.85,11.0,2022,157
4.0,3:28,1.0,10.0,CAR 41,3.0,13.0,Kenyan Drake right tackle for -1 yards (tackle by Derrick Brown),2.85,2.17,11.0,2022,157
4.0,3:25,,,,,,Timeout #3 by Carolina Panthers,,,11.0,2022,157
4.0,3:25,2.0,11.0,CAR 42,3.0,13.0,Lamar Jackson left end for -1 yards (tackle by C.J. Henderson),2.17,1.35,11.0,2022,157
4.0,2:44,3.0,12.0,CAR 43,3.0,13.0,"Penalty on Brian Burns: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.35,2.02,11.0,2022,157
4.0,2:44,3.0,7.0,CAR 38,3.0,13.0,Lamar Jackson up the middle for -3 yards (tackle by Brian Burns),2.02,0.53,11.0,2022,157
4.0,2:00,4.0,10.0,CAR 41,3.0,13.0,"Jordan Stout punts 22 yards, recovered by Shi Smith at CAR-19",0.53,-0.15,11.0,2022,157
4.0,1:52,1.0,10.0,CAR 19,3.0,13.0,Baker Mayfield sacked by Roquan Smith for -1 yards,0.15,-0.56,11.0,2022,157
4.0,1:45,2.0,11.0,CAR 18,3.0,13.0,"Penalty on Tommy Tremble: False Start, 5 yards (accepted) (no play)",-0.56,-1.21,11.0,2022,157
4.0,1:45,2.0,16.0,CAR 13,3.0,13.0,Baker Mayfield pass complete deep left to Terrace Marshall for 18 yards (tackle by Brandon Stephens),-1.21,1.0,11.0,2022,157
4.0,1:38,1.0,10.0,CAR 31,3.0,13.0,Baker Mayfield pass complete deep middle to Terrace Marshall for 34 yards (tackle by Brandon Stephens),1.0,3.25,11.0,2022,157
4.0,1:24,1.0,10.0,BAL 35,3.0,13.0,Baker Mayfield pass complete short middle to Shi Smith for 4 yards (tackle by Patrick Queen),3.25,3.24,11.0,2022,157
4.0,1:02,2.0,6.0,BAL 31,3.0,13.0,Baker Mayfield pass incomplete short left intended for Terrace Marshall (defended by Brandon Stephens),3.24,2.54,11.0,2022,157
