Quarter,Time,Down,ToGo,Location,DAL,TEN,Detail,EPB,EPA,week,year,game_id
4.0,4:15,3.0,4.0,TEN 50,27.0,13.0,Joshua Dobbs pass complete short right to Robert Woods for 8 yards,1.42,2.79,17.0,2022,241
4.0,4:08,1.0,10.0,DAL 42,27.0,13.0,Joshua Dobbs pass incomplete deep right intended for Nick Westbrook-Ikhine,2.79,2.24,17.0,2022,241
4.0,4:03,2.0,10.0,DAL 42,27.0,13.0,Joshua Dobbs pass incomplete short middle intended for Austin Hooper (defended by DeMarcus Lawrence),2.24,1.55,17.0,2022,241
4.0,3:57,3.0,10.0,DAL 42,27.0,13.0,Joshua Dobbs pass incomplete short middle intended for Robert Woods,1.55,0.46,17.0,2022,241
4.0,3:54,4.0,10.0,DAL 42,27.0,13.0,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",0.46,0.13,17.0,2022,241
4.0,3:54,4.0,15.0,DAL 47,27.0,13.0,Joshua Dobbs pass incomplete short right intended for Treylon Burks,0.13,-2.06,17.0,2022,241
4.0,3:44,1.0,10.0,DAL 47,27.0,13.0,Ezekiel Elliott left tackle for 1 yard (tackle by Tre Avery),2.06,1.65,17.0,2022,241
4.0,3:06,2.0,9.0,DAL 48,27.0,13.0,Ezekiel Elliott right end for 1 yard (tackle by Monty Rice and DeMarcus Walker),1.65,1.09,17.0,2022,241
4.0,2:21,3.0,8.0,DAL 49,27.0,13.0,Dak Prescott pass complete short left to CeeDee Lamb for 1 yard (tackle by Monty Rice and Jack Gibbens),1.09,-0.06,17.0,2022,241
4.0,2:00,4.0,7.0,TEN 50,27.0,13.0,Bryan Anger punts 41 yards downed by Kelvin Joseph,-0.06,0.38,17.0,2022,241
4.0,1:50,1.0,10.0,TEN 9,27.0,13.0,Jonathan Ward up the middle for 12 yards (tackle by Damone Clark),-0.38,0.34,17.0,2022,241
4.0,1:24,1.0,10.0,TEN 21,27.0,13.0,Jonathan Ward right guard for 6 yards (tackle by Neville Gallimore),0.34,0.61,17.0,2022,241
4.0,0:52,2.0,4.0,TEN 27,27.0,13.0,Jonathan Ward left tackle for 11 yards (tackle by DaRon Bland),0.61,1.47,17.0,2022,241
4.0,0:17,1.0,10.0,TEN 38,27.0,13.0,Jonathan Ward right end for -3 yards (tackle by Damone Clark),1.47,0.52,17.0,2022,241
