Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA,week,year,game_id
4.0,3:30,4.0,3.0,KAN 39,21.0,7.0,"Matt Araiza punts 58 yards, returned by James Proche for 9 yards (tackle by Jack Cochrane)",-0.78,0.35,15.0,2024,212
4.0,3:20,1.0,10.0,CLE 12,21.0,7.0,Dorian Thompson-Robinson pass incomplete deep left intended for Jerry Jeudy (defended by Joshua Williams),-0.35,-0.78,15.0,2024,212
4.0,3:12,2.0,10.0,CLE 12,21.0,7.0,Dorian Thompson-Robinson pass complete short left to Jordan Akins for 11 yards (tackle by Joshua Williams),-0.78,0.48,15.0,2024,212
4.0,2:45,1.0,10.0,CLE 23,21.0,7.0,Dorian Thompson-Robinson pass incomplete short left intended for Jordan Akins,0.48,-0.07,15.0,2024,212
4.0,2:37,2.0,10.0,CLE 23,21.0,7.0,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 8 yards (tackle by Drue Tranquill),-0.07,0.3,15.0,2024,212
4.0,2:11,3.0,2.0,CLE 31,21.0,7.0,Dorian Thompson-Robinson scrambles right end for 5 yards (tackle by Justin Reid),0.3,1.33,15.0,2024,212
4.0,2:00,1.0,10.0,CLE 36,21.0,7.0,Dorian Thompson-Robinson pass incomplete short right,1.33,0.79,15.0,2024,212
4.0,1:55,2.0,10.0,CLE 36,21.0,7.0,Dorian Thompson-Robinson scrambles right end for 9 yards (tackle by Nick Bolton),0.79,1.29,15.0,2024,212
4.0,1:27,3.0,1.0,CLE 45,21.0,7.0,Dorian Thompson-Robinson pass deep right (defended by Justin Reid) intended for Blake Whiteheart is intercepted by Jaden Hicks at KC-35 and returned for 47 yards (tackle by Jack Conklin),1.29,-4.37,15.0,2024,212
4.0,1:12,1.0,10.0,CLE 18,21.0,7.0,Carson Wentz kneels for -1 yards,4.37,3.67,15.0,2024,212
4.0,0:41,2.0,11.0,CLE 19,21.0,7.0,Carson Wentz kneels for -1 yards,3.67,2.87,15.0,2024,212
