Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA,week,year,game_id
4.0,1:30,2.0,10.0,JAX 47,25.0,25.0,Aaron Rodgers scrambles left end for 5 yards (tackle by DaVon Hamilton),1.91,1.88,15.0,2024,214
4.0,1:22,,,,,,Timeout #2 by New York Jets,,,15.0,2024,214
4.0,1:22,3.0,5.0,JAX 42,25.0,25.0,Aaron Rodgers pass complete short left to Davante Adams for 41 yards (tackle by Darnell Savage),1.88,6.97,15.0,2024,214
4.0,1:08,,,,,,Timeout #1 by Jacksonville Jaguars,,,15.0,2024,214
4.0,1:08,1.0,1.0,JAX 1,31.0,25.0,"Breece Hall up the middle for 1 yard, touchdown",6.97,7.0,15.0,2024,214
4.0,1:05,,,JAX 15,32.0,25.0,Anders Carlson kicks extra point good,0.0,0.0,15.0,2024,214
4.0,1:05,,,NYJ 35,32.0,25.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,214
4.0,1:05,1.0,10.0,JAX 30,32.0,25.0,Mac Jones pass complete short left to Devin Duvernay for 6 yards (tackle by Isaiah Oliver),0.94,1.2,15.0,2024,214
4.0,1:00,2.0,4.0,JAX 36,32.0,25.0,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Jamien Sherwood),1.2,1.86,15.0,2024,214
4.0,0:52,,,,,,Timeout #2 by Jacksonville Jaguars,,,15.0,2024,214
4.0,0:52,1.0,10.0,JAX 44,32.0,25.0,Mac Jones pass incomplete deep right intended for Parker Washington,1.86,1.32,15.0,2024,214
4.0,0:48,2.0,10.0,JAX 44,32.0,25.0,"Mac Jones pass complete short right to Brenton Strange for 9 yards (tackle by Kendall Sheffield) Replay Assistant challenged the short of the line to gain ruling, and the play was upheld.",1.32,1.82,15.0,2024,214
4.0,0:44,3.0,1.0,NYJ 47,32.0,25.0,Mac Jones pass short right intended for Parker Washington is intercepted by Sauce Gardner at NYJ-13 and returned for no gain (tackle by Parker Washington),1.82,0.32,15.0,2024,214
4.0,0:37,1.0,10.0,NYJ 13,32.0,25.0,Aaron Rodgers kneels for no gain,-0.32,-0.77,15.0,2024,214
