Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA,week,year,game_id
3.0,6:07,2.0,8.0,ATL 31,12.0,3.0,Bijan Robinson right tackle for 2 yards (tackle by Adam Butler),0.6,0.17,15.0,2024,224
3.0,5:18,3.0,6.0,ATL 33,12.0,3.0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",0.17,-0.49,15.0,2024,224
3.0,5:00,3.0,11.0,ATL 28,12.0,3.0,Kirk Cousins pass complete short left to Kyle Pitts for 6 yards (tackle by Isaiah Pola-Mao and Robert Spillane),-0.49,-1.11,15.0,2024,224
3.0,4:26,4.0,5.0,ATL 34,12.0,3.0,Bradley Pinion punts 63 yards downed by Antonio Hamilton,-1.11,0.38,15.0,2024,224
3.0,4:15,1.0,10.0,LVR 3,12.0,3.0,Alexander Mattison up the middle for no gain (tackle by Zach Harrison and Nathan Landman),-0.38,-0.78,15.0,2024,224
3.0,3:35,2.0,10.0,LVR 3,12.0,3.0,Desmond Ridder pass complete short middle to Alexander Mattison for 4 yards (tackle by Kaden Elliss and Nathan Landman),-0.78,-0.95,15.0,2024,224
3.0,2:52,3.0,6.0,LVR 7,12.0,3.0,Alexander Mattison left end for 4 yards (tackle by AJ Terrell),-0.95,-2.49,15.0,2024,224
3.0,2:06,4.0,2.0,LVR 11,12.0,3.0,AJ Cole punts 37 yards out of bounds,-2.49,-2.39,15.0,2024,224
3.0,2:00,1.0,10.0,LVR 48,12.0,3.0,Bijan Robinson right end for 6 yards (tackle by Tyree Wilson and Zachary Carter),2.39,2.66,15.0,2024,224
3.0,1:23,2.0,4.0,LVR 42,12.0,3.0,Kirk Cousins pass incomplete short left,2.66,1.95,15.0,2024,224
3.0,1:18,3.0,4.0,LVR 42,12.0,3.0,Kirk Cousins pass complete short right to Drake London for 5 yards,1.95,3.12,15.0,2024,224
3.0,0:40,1.0,10.0,LVR 37,12.0,3.0,Bijan Robinson left tackle for 2 yards (tackle by Jonah Laulu),3.12,2.84,15.0,2024,224
4.0,15:00,2.0,8.0,LVR 35,12.0,3.0,"Penalty on Ross Dwelley: False Start, 5 yards (accepted) (no play)",2.84,2.17,15.0,2024,224
4.0,15:00,2.0,13.0,LVR 40,12.0,3.0,Kirk Cousins sacked by Tyree Wilson for -1 yards,2.17,1.36,15.0,2024,224
4.0,14:16,3.0,14.0,LVR 41,12.0,3.0,Kirk Cousins pass complete short middle to Kyle Pitts for 11 yards (tackle by Thomas Harper),1.36,1.48,15.0,2024,224
4.0,13:31,4.0,3.0,LVR 30,15.0,3.0,Younghoe Koo 48 yard field goal good,1.48,3.0,15.0,2024,224
4.0,13:26,,,ATL 35,15.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,224
4.0,13:26,1.0,10.0,LVR 30,15.0,3.0,Desmond Ridder pass complete short right to Michael Mayer for 11 yards (tackle by Lorenzo Carter),0.94,1.66,15.0,2024,224
4.0,12:48,1.0,10.0,LVR 41,15.0,3.0,Desmond Ridder pass incomplete deep left intended for Jakobi Meyers (defended by Justin Simmons),1.66,1.12,15.0,2024,224
4.0,12:42,2.0,10.0,LVR 41,15.0,3.0,Desmond Ridder pass incomplete short left intended for Alexander Mattison,1.12,0.43,15.0,2024,224
4.0,12:37,3.0,10.0,LVR 41,15.0,3.0,Desmond Ridder pass incomplete short right intended for Alexander Mattison,0.43,-0.65,15.0,2024,224
4.0,12:32,4.0,10.0,LVR 41,15.0,3.0,"AJ Cole punts 45 yards, returned by Avery Williams for 12 yards (tackle by Christopher Smith and Tommy Eichenberg)",-0.65,-0.67,15.0,2024,224
4.0,12:21,1.0,10.0,ATL 26,15.0,3.0,Bijan Robinson up the middle for 29 yards (tackle by Isaiah Pola-Mao),0.67,2.59,15.0,2024,224
4.0,11:43,1.0,10.0,LVR 45,15.0,3.0,"Kirk Cousins aborted snap, recovered by Kirk Cousins at ATL-49 and returned for -6 yards (tackle by Divine Deablo)",2.59,1.23,15.0,2024,224
4.0,11:01,2.0,16.0,ATL 49,15.0,3.0,Bijan Robinson right guard for 4 yards (tackle by K'Lavon Chaisson and Janarius Robinson),1.23,1.09,15.0,2024,224
4.0,10:38,3.0,12.0,LVR 47,15.0,3.0,Kirk Cousins pass complete short left to Kyle Pitts for 6 yards (tackle by Nate Hobbs),1.09,0.53,15.0,2024,224
4.0,9:48,4.0,6.0,LVR 41,15.0,3.0,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",0.53,0.2,15.0,2024,224
4.0,9:48,4.0,11.0,LVR 46,15.0,3.0,"Bradley Pinion punts 37 yards, fair catch by Ameer Abdullah at LV-9",0.2,0.38,15.0,2024,224
4.0,9:40,1.0,10.0,LVR 9,15.0,3.0,Desmond Ridder pass complete short right to Alexander Mattison for -1 yards (tackle by Kentavius Street),-0.38,-0.85,15.0,2024,224
4.0,9:02,2.0,11.0,LVR 8,15.0,3.0,Desmond Ridder pass deep middle intended for Jakobi Meyers is intercepted by Justin Simmons at LV-39 and returned for no gain (tackle by Jakobi Meyers),-0.85,-2.98,15.0,2024,224
4.0,8:55,1.0,10.0,LVR 39,15.0,3.0,Tyler Allgeier right tackle for 5 yards (tackle by Zachary Carter),2.98,3.12,15.0,2024,224
4.0,8:15,2.0,5.0,LVR 34,15.0,3.0,Tyler Allgeier left tackle for 5 yards (tackle by John Jenkins),3.12,3.64,15.0,2024,224
4.0,7:37,1.0,10.0,LVR 29,15.0,3.0,Tyler Allgeier left end for 2 yards (tackle by Decamerion Richardson and Robert Spillane),3.64,3.37,15.0,2024,224
4.0,6:53,2.0,8.0,LVR 27,15.0,3.0,Kirk Cousins up the middle for -2 yards (tackle by Tyree Wilson),3.37,2.41,15.0,2024,224
4.0,6:12,3.0,10.0,LVR 29,15.0,3.0,Bijan Robinson right guard for 5 yards (tackle by Thomas Harper),2.41,1.92,15.0,2024,224
