Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA,week,year,game_id
4.0,4:20,1.0,10.0,CIN 48,10.0,23.0,Deshaun Watson pass complete short left to Nick Chubb for 6 yards (tackle by Logan Wilson),2.39,2.66,14.0,2022,198
4.0,3:59,2.0,4.0,CIN 42,10.0,23.0,Deshaun Watson pass incomplete short left intended for David Njoku (defended by Germaine Pratt),2.66,1.95,14.0,2022,198
4.0,3:55,3.0,4.0,CIN 42,10.0,23.0,"Deshaun Watson pass incomplete short right. Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 5 yards (declined)",1.95,0.46,14.0,2022,198
4.0,3:46,4.0,4.0,CIN 42,10.0,23.0,Deshaun Watson pass incomplete short right intended for Amari Cooper,0.46,-1.73,14.0,2022,198
4.0,3:43,1.0,10.0,CIN 42,10.0,23.0,Joe Mixon up the middle for 5 yards (tackle by Ben Stille and Deion Jones),1.73,1.86,14.0,2022,198
4.0,2:59,2.0,5.0,CIN 47,10.0,23.0,Joe Mixon right tackle for 4 yards (tackle by Grant Delpit and Jeremiah Owusu-Koramoah),1.86,1.69,14.0,2022,198
4.0,2:13,3.0,1.0,CLE 49,10.0,23.0,Joe Mixon right tackle for 4 yards (tackle by Deion Jones),1.69,2.59,14.0,2022,198
4.0,2:00,1.0,10.0,CLE 45,10.0,23.0,Joe Burrow kneels for -1 yards,2.59,1.91,14.0,2022,198
4.0,1:19,2.0,11.0,CLE 46,10.0,23.0,Joe Burrow kneels for -1 yards,1.91,1.09,14.0,2022,198
4.0,0:39,3.0,12.0,CLE 47,10.0,23.0,Joe Burrow kneels for -1 yards,1.09,0.07,14.0,2022,198
