Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,1:53,3.0,10.0,NYJ 45,10.0,9.0,Aaron Rodgers pass incomplete short left intended for Xavier Gipson,0.7,-0.39,4.0,2024,54
4.0,1:50,4.0,10.0,NYJ 45,10.0,9.0,Aaron Rodgers sacked by P.J. Locke for -10 yards,-0.39,-3.25,4.0,2024,54
4.0,1:46,1.0,10.0,NYJ 35,10.0,9.0,Jaleel McLaughlin right tackle for no gain (tackle by Chazz Surratt),3.25,2.7,4.0,2024,54
4.0,1:42,,,,,,Timeout #1 by New York Jets,,,4.0,2024,54
4.0,1:42,2.0,10.0,NYJ 35,10.0,9.0,Bo Nix pass complete short right to Javonte Williams for 4 yards (tackle by Jamien Sherwood),2.7,2.54,4.0,2024,54
4.0,1:36,,,,,,Timeout #2 by New York Jets,,,4.0,2024,54
4.0,1:36,3.0,6.0,NYJ 31,10.0,9.0,Bo Nix right end for -1 yards (tackle by Tony Adams),2.54,1.24,4.0,2024,54
4.0,1:31,,,,,,Timeout #3 by New York Jets,,,4.0,2024,54
4.0,1:31,4.0,7.0,NYJ 32,10.0,9.0,Wil Lutz 50 yard field goal no good,1.24,-1.6,4.0,2024,54
4.0,1:27,1.0,10.0,NYJ 40,10.0,9.0,Aaron Rodgers pass complete short left to Breece Hall for 9 yards (tackle by Justin Strnad and Ja'Quan McMillian),1.6,2.27,4.0,2024,54
4.0,1:04,2.0,1.0,NYJ 49,10.0,9.0,"Aaron Rodgers pass incomplete short left intended for Mike Williams. Penalty on Riley Moss: Defensive Pass Interference, 15 yards (accepted) (no play)",2.27,3.18,4.0,2024,54
4.0,1:04,1.0,10.0,DEN 36,10.0,9.0,Aaron Rodgers pass incomplete short right intended for Allen Lazard,3.18,2.64,4.0,2024,54
4.0,1:01,2.0,10.0,DEN 36,10.0,9.0,Aaron Rodgers pass complete short right to Mike Williams for 4 yards (tackle by Riley Moss),2.64,2.48,4.0,2024,54
4.0,0:56,,,,,,Timeout #2 by Denver Broncos,,,4.0,2024,54
4.0,0:56,3.0,6.0,DEN 32,10.0,9.0,Aaron Rodgers pass incomplete deep right intended for Mike Williams,2.48,1.25,4.0,2024,54
4.0,0:51,4.0,6.0,DEN 32,10.0,9.0,Greg Zuerlein 50 yard field goal no good,1.25,-1.6,4.0,2024,54
4.0,0:47,1.0,10.0,DEN 40,10.0,9.0,Bo Nix kneels for -2 yards,1.6,0.78,4.0,2024,54
4.0,0:17,2.0,12.0,DEN 38,10.0,9.0,Bo Nix kneels for -2 yards,0.78,-0.16,4.0,2024,54
