Quarter,Time,Down,ToGo,Location,CIN,CAR,Detail,EPB,EPA,week,year,game_id
4.0,2:30,2.0,19.0,CAR 35,31.0,24.0,Zack Moss left guard for 3 yards (tackle by LaBryan Ray),2.08,1.82,4.0,2024,51
4.0,2:00,3.0,16.0,CAR 32,31.0,24.0,Chase Brown left end for 4 yards (tackle by Xavier Woods and Nick Scott),1.82,1.59,4.0,2024,51
4.0,1:17,,,,,,Timeout #3 by Cincinnati Bengals,,,4.0,2024,51
4.0,1:17,4.0,12.0,CAR 28,34.0,24.0,Evan McPherson 46 yard field goal good,1.59,3.0,4.0,2024,51
4.0,1:14,,,CIN 35,34.0,24.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,4.0,2024,51
4.0,1:14,1.0,10.0,CAR 30,34.0,24.0,Andy Dalton pass complete short right to Chuba Hubbard for 1 yard (tackle by Germaine Pratt),0.94,0.53,4.0,2024,51
4.0,0:49,2.0,9.0,CAR 31,34.0,24.0,Andy Dalton pass complete short middle to Xavier Legette for 17 yards (tackle by Mike Hilton),0.53,2.13,4.0,2024,51
4.0,0:27,1.0,10.0,CAR 48,34.0,24.0,Andy Dalton pass incomplete short left intended for Xavier Legette,2.13,1.58,4.0,2024,51
4.0,0:24,2.0,10.0,CAR 48,34.0,24.0,Andy Dalton pass complete short left to Chuba Hubbard for 6 yards (tackle by Logan Wilson),1.58,1.68,4.0,2024,51
4.0,0:06,3.0,4.0,CIN 46,34.0,24.0,Andy Dalton scrambles right end for 4 yards (tackle by Akeem Davis-Gaither),1.68,2.26,4.0,2024,51
