Quarter,Time,Down,ToGo,Location,CHI,TAM,Detail,EPB,EPA,week,year,game_id
3.0,2:01,2.0,10.0,CHI 36,10.0,20.0,Khalil Herbert right end for 8 yards (tackle by Ryan Neal and Christian Izien),0.79,1.16,2.0,2023,20
3.0,1:15,3.0,2.0,CHI 44,10.0,20.0,Khalil Herbert left end for 2 yards (tackle by Jamel Dean),1.16,1.99,2.0,2023,20
3.0,0:52,1.0,10.0,CHI 46,10.0,20.0,Justin Fields pass incomplete short middle intended for Chase Claypool,1.99,1.45,2.0,2023,20
3.0,0:48,2.0,10.0,CHI 46,10.0,20.0,"Justin Fields sacked by Devin White for no gain. Justin Fields fumbles (forced by Devin White), recovered by Christian Izien at CHI-48 (tackle by Tyler Scott) Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Fields pass incomplete short right intended for D.J. Moore (defended by Devin White)",1.45,0.76,2.0,2023,20
3.0,0:46,3.0,10.0,CHI 46,10.0,20.0,"Justin Fields pass intended for Chase Claypool is intercepted by Zyon McCollum at TB-44 and returned for no gain Replay Assistant challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete short right intended for Chase Claypool (defended by Zyon McCollum)",0.76,-0.32,2.0,2023,20
3.0,0:41,4.0,10.0,CHI 46,10.0,20.0,Trenton Gill punts 34 yards downed by Travis Homer,-0.32,-0.28,2.0,2023,20
3.0,0:32,1.0,10.0,TAM 20,10.0,20.0,Baker Mayfield pass complete short left to Cade Otton for 3 yards (tackle by Andrew Billings and Tremaine Edmunds),0.28,0.14,2.0,2023,20
4.0,15:00,2.0,7.0,TAM 23,10.0,20.0,Sean Tucker up the middle for -3 yards (tackle by Greg Stroman),0.14,-0.96,2.0,2023,20
4.0,14:31,3.0,10.0,TAM 20,10.0,20.0,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Tremaine Edmunds and Jaquan Brisker),-0.96,-1.44,2.0,2023,20
4.0,13:42,4.0,1.0,TAM 29,10.0,20.0,Jake Camarda punts 55 yards out of bounds,-1.44,0.14,2.0,2023,20
4.0,13:34,1.0,10.0,CHI 16,10.0,20.0,Justin Fields pass incomplete short left,-0.14,-0.66,2.0,2023,20
4.0,13:26,2.0,10.0,CHI 16,10.0,20.0,Roschon Johnson left guard for no gain (tackle by Greg Gaines),-0.66,-1.32,2.0,2023,20
4.0,12:45,3.0,10.0,CHI 16,10.0,20.0,Justin Fields pass incomplete short right intended for Cole Kmet (defended by Logan Hall),-1.32,-2.39,2.0,2023,20
4.0,12:39,4.0,10.0,CHI 16,10.0,20.0,Trenton Gill punts 49 yards out of bounds,-2.39,-1.27,2.0,2023,20
4.0,12:31,1.0,10.0,TAM 35,10.0,20.0,Rachaad White right tackle for 2 yards (tackle by Jack Sanborn),1.27,0.99,2.0,2023,20
4.0,12:05,2.0,8.0,TAM 37,10.0,20.0,"Baker Mayfield pass complete short left to Chris Godwin for 1 yard (tackle by Elijah Hicks). Penalty on Mike Evans: Offensive Holding, 10 yards (accepted)",0.99,-0.22,2.0,2023,20
4.0,11:43,2.0,17.0,TAM 28,10.0,20.0,Baker Mayfield pass complete short left to Rachaad White for 8 yards (tackle by T.J. Edwards),-0.22,0.17,2.0,2023,20
4.0,11:02,3.0,9.0,TAM 36,10.0,20.0,Baker Mayfield pass complete short middle to Mike Evans for 6 yards (tackle by Greg Stroman),0.17,-0.59,2.0,2023,20
4.0,10:18,4.0,3.0,TAM 42,10.0,20.0,"Jake Camarda punts 48 yards, fair catch by Trent Taylor at CHI-10",-0.59,0.38,2.0,2023,20
4.0,10:10,1.0,10.0,CHI 10,10.0,20.0,Justin Fields pass complete short left to Cole Kmet for 7 yards (tackle by Jamel Dean),-0.38,-0.09,2.0,2023,20
4.0,9:37,2.0,3.0,CHI 17,10.0,20.0,Khalil Herbert up the middle for 6 yards (tackle by Ryan Neal and Lavonte David),-0.09,0.48,2.0,2023,20
4.0,9:12,1.0,10.0,CHI 23,10.0,20.0,Justin Fields pass complete short left to Khalil Herbert for 23 yards (tackle by Jamel Dean),0.48,1.99,2.0,2023,20
4.0,8:41,1.0,10.0,CHI 46,10.0,20.0,"Justin Fields aborted snap, recovered by Justin Fields at CHI-38 and returned for -8 yards",1.99,0.37,2.0,2023,20
4.0,7:59,2.0,18.0,CHI 38,10.0,20.0,Justin Fields pass complete short right to Chase Claypool for 8 yards (tackle by Christian Izien),0.37,0.76,2.0,2023,20
4.0,7:21,3.0,10.0,CHI 46,10.0,20.0,Justin Fields pass complete deep middle to D.J. Moore for 22 yards (tackle by Jamel Dean),0.76,3.45,2.0,2023,20
4.0,6:59,1.0,10.0,TAM 32,10.0,20.0,Justin Fields pass complete short left to D.J. Moore for 12 yards,3.45,4.24,2.0,2023,20
4.0,6:23,1.0,10.0,TAM 20,16.0,20.0,"Justin Fields pass complete deep middle to Chase Claypool for 20 yards, touchdown",4.24,7.0,2.0,2023,20
4.0,6:17,,,TAM 15,17.0,20.0,Cairo Santos kicks extra point good,0.0,0.0,2.0,2023,20
4.0,6:17,,,CHI 35,17.0,20.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
4.0,6:17,1.0,10.0,TAM 25,17.0,20.0,Rachaad White up the middle for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),0.61,0.74,2.0,2023,20
4.0,5:39,2.0,5.0,TAM 30,17.0,20.0,Baker Mayfield pass incomplete short right,0.74,0.04,2.0,2023,20
4.0,5:31,3.0,5.0,TAM 30,17.0,20.0,Baker Mayfield pass complete short right to Rachaad White for 8 yards (tackle by Elijah Hicks and Tremaine Edmunds),0.04,1.47,2.0,2023,20
4.0,4:56,1.0,10.0,TAM 38,17.0,20.0,Rachaad White up the middle for 3 yards (tackle by Tremaine Edmunds and Jaquan Brisker),1.47,1.33,2.0,2023,20
4.0,4:12,2.0,7.0,TAM 41,17.0,20.0,Rachaad White right end for 13 yards (tackle by Jaquan Brisker and Tyrique Stevenson),1.33,2.52,2.0,2023,20
4.0,3:27,1.0,10.0,CHI 46,17.0,20.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",2.52,2.19,2.0,2023,20
4.0,3:27,1.0,15.0,TAM 49,17.0,20.0,Sean Tucker right guard for no gain (tackle by Jack Sanborn),2.19,1.3,2.0,2023,20
4.0,2:49,2.0,15.0,TAM 49,17.0,20.0,Rachaad White right end for -2 yards (tackle by DeMarcus Walker),1.3,0.37,2.0,2023,20
4.0,2:43,,,,,,Timeout #1 by Chicago Bears,,,2.0,2023,20
4.0,2:43,3.0,17.0,TAM 47,17.0,20.0,Baker Mayfield pass complete short middle to Chris Godwin for 10 yards (tackle by Greg Stroman and Tremaine Edmunds),0.37,0.4,2.0,2023,20
4.0,2:38,,,,,,Timeout #2 by Chicago Bears,,,2.0,2023,20
4.0,2:38,4.0,7.0,CHI 43,17.0,20.0,Jake Camarda punts 36 yards downed by Derrek Pitts,0.4,0.38,2.0,2023,20
4.0,2:24,1.0,10.0,CHI 7,17.0,20.0,"Penalty on Shaquil Barrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.38,-0.12,2.0,2023,20
4.0,2:24,1.0,5.0,CHI 12,17.0,20.0,"Justin Fields pass complete short right to Khalil Herbert for no gain (tackle by Lavonte David). Penalty on Chase Claypool: Offensive Pass Interference, 6 yards (accepted) (no play)",-0.12,-0.42,2.0,2023,20
4.0,2:12,1.0,11.0,CHI 6,17.0,26.0,"Justin Fields pass short middle intended for Khalil Herbert is intercepted by Shaquil Barrett at CHI-4 and returned for 4 yards, touchdown",-0.42,-7.0,2.0,2023,20
4.0,2:03,,,CHI 15,17.0,27.0,Chase McLaughlin kicks extra point good,0.0,0.0,2.0,2023,20
4.0,2:03,,,TAM 35,17.0,27.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,2.0,2023,20
4.0,2:03,1.0,10.0,CHI 25,17.0,27.0,Justin Fields pass complete short right to Roschon Johnson for 2 yards (tackle by YaYa Diaby),0.61,0.33,2.0,2023,20
4.0,1:55,2.0,8.0,CHI 27,17.0,27.0,Justin Fields sacked by Vita Vea for -11 yards,0.33,-2.14,2.0,2023,20
4.0,1:17,3.0,19.0,CHI 16,17.0,27.0,Justin Fields pass short middle (defended by Antoine Winfield) intended for Chase Claypool is intercepted by Christian Izien at CHI-29 and returned for 4 yards (tackle by Roschon Johnson),-2.14,-3.91,2.0,2023,20
4.0,1:07,1.0,10.0,CHI 25,17.0,27.0,Baker Mayfield kneels for -1 yards,3.91,3.23,2.0,2023,20
4.0,0:39,2.0,11.0,CHI 26,17.0,27.0,Baker Mayfield kneels for -1 yards,3.23,2.41,2.0,2023,20
