Quarter,Time,Down,ToGo,Location,WAS,DEN,Detail,EPB,EPA,week,year,game_id
4.0,1:41,3.0,11.0,WAS 42,35.0,27.0,Brian Robinson right tackle for 2 yards (tackle by Randy Gregory and D.J. Jones),0.43,-0.46,2.0,2023,29
4.0,0:56,,,,,,Timeout #1 by Washington Commanders,,,2.0,2023,29
4.0,0:56,4.0,9.0,WAS 44,35.0,27.0,"Tress Way punts 43 yards, fair catch by Marvin Mims at DEN-13",-0.46,0.32,2.0,2023,29
4.0,0:48,1.0,10.0,DEN 13,35.0,27.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",-0.32,-0.57,2.0,2023,29
4.0,0:48,1.0,15.0,DEN 8,35.0,27.0,Russell Wilson pass complete short right to Courtland Sutton for 12 yards (tackle by Emmanuel Forbes),-0.57,0.22,2.0,2023,29
4.0,0:42,2.0,3.0,DEN 20,35.0,27.0,Russell Wilson pass incomplete short left intended for Brandon Johnson,0.22,-0.59,2.0,2023,29
4.0,0:35,3.0,3.0,DEN 20,35.0,27.0,Russell Wilson pass incomplete short left intended for Jerry Jeudy (defended by Kendall Fuller),-0.59,-2.03,2.0,2023,29
4.0,0:28,4.0,3.0,DEN 20,35.0,27.0,Russell Wilson scrambles left end for 14 yards (tackle by Kamren Curl),-2.03,1.2,2.0,2023,29
4.0,0:10,1.0,10.0,DEN 34,35.0,27.0,Russell Wilson spiked the ball,1.2,0.66,2.0,2023,29
4.0,0:09,2.0,10.0,DEN 34,35.0,27.0,Russell Wilson pass complete deep left to Courtland Sutton for 16 yards,0.66,2.26,2.0,2023,29
4.0,0:03,,,,,,Timeout #2 by Washington Commanders,,,2.0,2023,29
4.0,0:03,1.0,10.0,WAS 50,35.0,33.0,"Russell Wilson pass complete deep middle to Brandon Johnson for 50 yards, touchdown",2.26,7.0,2.0,2023,29
4.0,0:00,,,WAS 2,35.0,33.0,Two Point Attempt: Russell Wilson pass incomplete intended for intended for Courtland Sutton,1.0,-1.0,2.0,2023,29
