Quarter,Time,Down,ToGo,Location,DAL,CLE,Detail,EPB,EPA,week,year,game_id
4.0,9:12,2.0,8.0,DAL 22,33.0,10.0,Deshaun Watson pass short left intended for Elijah Moore is intercepted by Trevon Diggs at DAL-22 and returned for 1 yard (tackle by Elijah Moore),3.7,-0.48,1.0,2024,13
4.0,9:06,1.0,10.0,DAL 23,33.0,10.0,Rico Dowdle left guard for -2 yards (tackle by Maurice Hurst and Jordan Hicks),0.48,-0.34,1.0,2024,13
4.0,8:23,2.0,12.0,DAL 21,33.0,10.0,Dak Prescott pass complete short right to Rico Dowdle for 6 yards (tackle by Jeremiah Owusu-Koramoah and Jordan Hicks),-0.34,-0.23,1.0,2024,13
4.0,7:36,3.0,6.0,DAL 27,33.0,10.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,-0.23,-1.57,1.0,2024,13
4.0,7:22,4.0,6.0,DAL 27,33.0,10.0,"Bryan Anger punts 59 yards, returned by Jaelon Darden for 17 yards (tackle by Markquese Bell). Penalty on C.J. Goodwin: Player Out of Bounds on a Punt, 5 yards (accepted)",-1.57,-1.33,1.0,2024,13
4.0,7:22,1.0,10.0,CLE 36,33.0,10.0,Jerome Ford left tackle for no gain (tackle by Damone Clark) (no play),1.33,1.0,1.0,2024,13
4.0,6:59,1.0,15.0,CLE 31,33.0,10.0,"Deshaun Watson pass complete short left to Jerome Ford for 4 yards (tackle by Damone Clark). Penalty on Trevon Diggs: Unnecessary Roughness / Defense, 15 yards (accepted)",1.0,2.26,1.0,2024,13
4.0,6:30,1.0,10.0,CLE 50,33.0,10.0,Deshaun Watson pass incomplete short left intended for Amari Cooper (defended by Trevon Diggs),2.26,1.71,1.0,2024,13
4.0,6:23,2.0,10.0,CLE 50,33.0,10.0,Deshaun Watson pass complete short left to Pierre Strong for no gain (tackle by Trevon Diggs),1.71,1.03,1.0,2024,13
4.0,5:41,3.0,10.0,CLE 50,33.0,10.0,Deshaun Watson scrambles up the middle for 6 yards (tackle by Marshawn Kneeland),1.03,0.33,1.0,2024,13
4.0,4:56,4.0,4.0,DAL 44,33.0,10.0,Deshaun Watson scrambles left end for 6 yards (tackle by Damone Clark),0.33,3.05,1.0,2024,13
4.0,4:15,1.0,10.0,DAL 38,33.0,10.0,Deshaun Watson pass complete short right to Jerome Ford for 2 yards (tackle by Micah Parsons and Damone Clark),3.05,2.78,1.0,2024,13
4.0,3:41,2.0,8.0,DAL 36,33.0,10.0,Deshaun Watson pass incomplete deep right intended for Amari Cooper,2.78,2.08,1.0,2024,13
4.0,3:34,,,,,,Timeout #2 by Cleveland Browns,,,1.0,2024,13
4.0,3:34,3.0,8.0,DAL 36,33.0,10.0,Deshaun Watson pass complete short left to Jordan Akins for 7 yards (tackle by Trevon Diggs and Jourdan Lewis),2.08,1.62,1.0,2024,13
4.0,3:17,4.0,1.0,DAL 29,33.0,10.0,Pierre Strong right guard for 6 yards (tackle by Micah Parsons and Malik Hooker),1.62,4.04,1.0,2024,13
4.0,2:33,1.0,10.0,DAL 23,33.0,10.0,Deshaun Watson pass incomplete short middle intended for Pierre Strong,4.04,3.5,1.0,2024,13
4.0,2:30,2.0,10.0,DAL 23,33.0,10.0,"Deshaun Watson sacked by DeMarcus Lawrence for -3 yards. Deshaun Watson fumbles (forced by DeMarcus Lawrence), recovered by Joel Bitonio at DAL-26",3.5,2.41,1.0,2024,13
4.0,2:00,3.0,13.0,DAL 26,33.0,10.0,Jerome Ford right guard for 4 yards (tackle by Osa Odighizuwa),2.41,1.99,1.0,2024,13
4.0,1:32,4.0,9.0,DAL 22,33.0,10.0,Deshaun Watson scrambles up the middle for 16 yards (tackle by Juanyeh Thomas),1.99,5.83,1.0,2024,13
4.0,0:54,1.0,6.0,DAL 6,33.0,10.0,Jerome Ford right guard for 4 yards (tackle by Marist Liufau),5.83,5.72,1.0,2024,13
4.0,0:33,2.0,2.0,DAL 2,33.0,16.0,"Jerome Ford right tackle for 2 yards, touchdown",5.72,7.0,1.0,2024,13
4.0,0:29,,,DAL 15,33.0,16.0,"Penalty on DAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.0,0.0,1.0,2024,13
4.0,0:29,1.0,10.0,DAL 10,33.0,17.0,Dustin Hopkins kicks extra point good,0.0,0.0,1.0,2024,13
4.0,0:29,,,CLE 35,33.0,17.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,13
4.0,0:29,1.0,10.0,DAL 30,33.0,17.0,Cooper Rush kneels for -1 yards,0.94,0.26,1.0,2024,13
