Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA,week,year,game_id
4.0,1:45,2.0,10.0,NOR 42,20.0,13.0,Spencer Rattler scrambles right end for 9 yards (tackle by Calais Campbell),1.19,1.69,1,2025,7
4.0,1:27,3.0,1.0,ARI 49,20.0,13.0,Spencer Rattler pass complete short right to Brandin Cooks for 6 yards (tackle by Budda Baker),1.69,2.72,1,2025,7
4.0,1:20,1.0,10.0,ARI 43,20.0,13.0,Spencer Rattler pass complete short right to Juwan Johnson for 5 yards (tackle by Max Melton and Budda Baker),2.72,2.85,1,2025,7
4.0,0:59,2.0,5.0,ARI 38,20.0,13.0,Spencer Rattler pass complete short middle to Alvin Kamara for 5 yards (tackle by Garrett Williams),2.85,3.38,1,2025,7
4.0,0:50,1.0,10.0,ARI 33,20.0,13.0,Spencer Rattler spiked the ball,3.38,2.84,1,2025,7
4.0,0:48,2.0,10.0,ARI 33,20.0,13.0,Spencer Rattler pass incomplete deep left intended for Rashid Shaheed,2.84,2.15,1,2025,7
4.0,0:43,3.0,10.0,ARI 33,20.0,13.0,Spencer Rattler pass complete short middle to Chris Olave for 9 yards (tackle by Dadrion Taylor-Demerson),2.15,2.02,1,2025,7
4.0,0:28,4.0,1.0,ARI 24,20.0,13.0,Spencer Rattler pass complete short right to Rashid Shaheed for 6 yards (tackle by Will Johnson),2.02,4.37,1,2025,7
4.0,0:14,1.0,10.0,ARI 18,20.0,13.0,Spencer Rattler spiked the ball,4.37,3.8,1,2025,7
4.0,0:13,2.0,10.0,ARI 18,20.0,13.0,Spencer Rattler pass incomplete deep right intended for Juwan Johnson,3.8,3.05,1,2025,7
4.0,0:09,3.0,10.0,ARI 18,20.0,13.0,Spencer Rattler pass incomplete deep left intended for Juwan Johnson (defended by Budda Baker),3.05,2.25,1,2025,7
4.0,0:04,4.0,10.0,ARI 18,20.0,13.0,Spencer Rattler pass incomplete deep left intended for Chris Olave,2.25,0.04,1,2025,7
