Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA,week,year,game_id
4.0,2:58,3.0,10.0,DEN 48,12.0,20.0,"Bo Nix pass complete short right to Marvin Mims for -1 yards. Penalty on Jeffery Simmons: Unnecessary Roughness / Defense, 15 yards (accepted) (tackle by Cody Barton)",0.89,3.05,1,2025,11
4.0,2:51,1.0,10.0,TEN 38,12.0,20.0,J.K. Dobbins right guard for 4 yards (tackle by Cody Barton and James Lynch),3.05,3.05,1,2025,11
4.0,2:03,2.0,6.0,TEN 34,12.0,20.0,J.K. Dobbins right tackle for 1 yard (tackle by Jarvis Brownlee),3.05,2.48,1,2025,11
4.0,2:00,3.0,5.0,TEN 33,12.0,20.0,J.K. Dobbins right tackle for -3 yards (tackle by Jarvis Brownlee),2.48,0.88,1,2025,11
4.0,1:05,,,,,,Timeout #2 by Denver Broncos,,,1,2025,11
4.0,1:05,4.0,8.0,TEN 36,12.0,20.0,Bo Nix pass incomplete deep right intended for Marvin Mims,0.88,-1.33,1,2025,11
4.0,0:59,1.0,10.0,TEN 36,12.0,20.0,Cam Ward pass incomplete short left intended for Elic Ayomanor,1.33,0.79,1,2025,11
4.0,0:55,2.0,10.0,TEN 36,12.0,20.0,Cam Ward pass incomplete deep middle intended for Calvin Ridley,0.79,0.1,1,2025,11
4.0,0:51,3.0,10.0,TEN 36,12.0,20.0,Cam Ward pass incomplete deep left intended for Chigoziem Okonkwo,0.1,-0.98,1,2025,11
4.0,0:47,4.0,10.0,TEN 36,12.0,20.0,"Cam Ward sacked by Ja'Quan McMillian for 2 yards. Cam Ward fumbles (forced by Ja'Quan McMillian), recovered by Jahdae Barron at TEN-34",-0.98,-3.31,1,2025,11
4.0,0:41,1.0,10.0,TEN 34,12.0,20.0,Bo Nix kneels for -1 yards,3.31,2.64,1,2025,11
