Quarter,Time,Down,ToGo,Location,ATL,BAL,Detail,EPB,EPA,week,year,game_id
3.0,8:50,1.0,10.0,BAL 18,3.0,14.0,Cordarrelle Patterson right tackle for 5 yards (tackle by Brent Urban),4.37,4.61,16.0,2022,226
3.0,8:13,2.0,5.0,BAL 13,3.0,14.0,"Cordarrelle Patterson left end for 7 yards, touchdown. Penalty on Olamide Zaccheaus: Offensive Holding, 10 yards (accepted)",4.61,4.09,16.0,2022,226
3.0,7:57,2.0,8.0,BAL 16,3.0,14.0,"Desmond Ridder pass incomplete short right intended for MyCole Pruitt (defended by Patrick Queen) ATL challenged the pass completion ruling, and the play was upheld.",4.09,3.3,16.0,2022,226
3.0,7:51,3.0,8.0,BAL 16,3.0,14.0,Desmond Ridder pass complete short left to Olamide Zaccheaus for no gain (tackle by Roquan Smith),3.3,2.38,16.0,2022,226
3.0,7:06,4.0,8.0,BAL 16,6.0,14.0,Younghoe Koo 34 yard field goal good,2.38,3.0,16.0,2022,226
3.0,7:01,,,ATL 35,6.0,14.0,"Bradley Pinion kicks off 62 yards, returned by Justice Hill for 20 yards (tackle by DeAngelo Malone and Erik Harris)",0.0,0.48,16.0,2022,226
3.0,6:57,1.0,10.0,BAL 23,6.0,14.0,J.K. Dobbins left guard for no gain (tackle by Adetokunbo Ogundeji),0.48,-0.07,16.0,2022,226
3.0,6:19,2.0,10.0,BAL 23,6.0,14.0,Tyler Huntley pass complete short right to DeSean Jackson for 10 yards (tackle by Richie Grant),-0.07,1.14,16.0,2022,226
3.0,5:43,1.0,10.0,BAL 33,6.0,14.0,J.K. Dobbins up the middle for 8 yards (tackle by Rashaan Evans and Troy Andersen),1.14,1.67,16.0,2022,226
3.0,4:56,2.0,2.0,BAL 41,6.0,14.0,J.K. Dobbins left guard for 1 yard (tackle by Timmy Horne and Rashaan Evans),1.67,1.09,16.0,2022,226
3.0,4:13,3.0,1.0,BAL 42,6.0,14.0,"Tyler Huntley left end for -1 yards. Tyler Huntley fumbles (forced by Troy Andersen), recovered by Ben Powers at BAL-40 (tackle by Troy Andersen)",1.09,-0.72,16.0,2022,226
3.0,3:32,4.0,3.0,BAL 40,6.0,14.0,"Jordan Stout punts 38 yards, fair catch by Avery Williams at ATL-22",-0.72,-0.41,16.0,2022,226
3.0,3:17,1.0,10.0,ATL 22,6.0,14.0,Desmond Ridder pass incomplete deep middle intended for Olamide Zaccheaus,0.41,-0.13,16.0,2022,226
3.0,3:13,2.0,10.0,ATL 22,6.0,14.0,Desmond Ridder pass complete short middle to Olamide Zaccheaus for no gain (tackle by Travis Jones and Patrick Queen),-0.13,-0.82,16.0,2022,226
3.0,2:34,3.0,10.0,ATL 22,6.0,14.0,Desmond Ridder pass complete short middle to Anthony Firkser for 5 yards (tackle by Odafe Oweh),-0.82,-1.57,16.0,2022,226
3.0,1:54,4.0,5.0,ATL 27,6.0,14.0,"Bradley Pinion punts 41 yards, returned by James Proche for 5 yards (tackle by Liam McCullough and Nick Kwiatkoski). Penalty on KhaDarel Hodge: Player Out of Bounds on a Punt, 5 yards (accepted)",-1.57,-1.73,16.0,2022,226
3.0,1:42,1.0,10.0,BAL 42,6.0,14.0,Tyler Huntley pass complete short middle to Mark Andrews for 12 yards (tackle by AJ Terrell),1.73,2.52,16.0,2022,226
3.0,1:05,1.0,10.0,ATL 46,6.0,14.0,Gus Edwards right tackle for 37 yards (tackle by DeAngelo Malone),2.52,5.14,16.0,2022,226
3.0,0:18,1.0,9.0,ATL 9,6.0,14.0,Gus Edwards right tackle for 4 yards (tackle by Richie Grant),5.14,5.15,16.0,2022,226
4.0,15:00,2.0,5.0,ATL 5,6.0,14.0,Tyler Huntley left tackle for 2 yards (tackle by Rashaan Evans and Lorenzo Carter),5.15,4.72,16.0,2022,226
4.0,14:23,3.0,3.0,ATL 3,6.0,14.0,Tyler Huntley pass incomplete short middle,4.72,3.04,16.0,2022,226
4.0,14:13,4.0,3.0,ATL 3,6.0,17.0,Justin Tucker 21 yard field goal good,3.04,3.0,16.0,2022,226
4.0,14:10,,,BAL 35,6.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,226
4.0,14:10,1.0,10.0,ATL 25,6.0,17.0,Desmond Ridder pass complete short left to Tyler Allgeier for no gain (tackle by Chuck Clark),0.61,0.06,16.0,2022,226
4.0,13:33,2.0,10.0,ATL 25,6.0,17.0,Tyler Allgeier left tackle for 16 yards (tackle by Marcus Williams),0.06,1.66,16.0,2022,226
4.0,12:58,1.0,10.0,ATL 41,6.0,17.0,Tyler Allgeier right end for 5 yards (tackle by Broderick Washington and Isaiah Mack),1.66,1.8,16.0,2022,226
4.0,12:24,2.0,5.0,ATL 46,6.0,17.0,Cordarrelle Patterson left end for -1 yards (tackle by Justin Madubuike),1.8,0.96,16.0,2022,226
4.0,11:45,3.0,6.0,ATL 45,6.0,17.0,Avery Williams right end for 13 yards (tackle by Chuck Clark and Roquan Smith),0.96,2.79,16.0,2022,226
4.0,11:08,1.0,10.0,BAL 42,6.0,17.0,Avery Williams left end for 2 yards (tackle by Tyus Bowser),2.79,2.51,16.0,2022,226
4.0,10:34,2.0,8.0,BAL 40,6.0,17.0,Desmond Ridder pass complete short middle to Drake London for 14 yards (tackle by Marlon Humphrey),2.51,3.84,16.0,2022,226
4.0,9:57,1.0,10.0,BAL 26,6.0,17.0,Tyler Allgeier left end for 2 yards (tackle by Isaiah Mack and Patrick Queen),3.84,3.57,16.0,2022,226
4.0,9:14,2.0,8.0,BAL 24,6.0,17.0,Desmond Ridder pass complete deep right to Drake London for 20 yards (tackle by Marlon Humphrey),3.57,6.28,16.0,2022,226
4.0,8:48,1.0,4.0,BAL 4,6.0,17.0,Tyler Allgeier left end for 2 yards (tackle by Roquan Smith),6.28,5.72,16.0,2022,226
4.0,8:29,2.0,2.0,BAL 2,6.0,17.0,Tyler Allgeier for no gain (tackle by Roquan Smith),5.72,4.95,16.0,2022,226
4.0,7:49,3.0,2.0,BAL 2,6.0,17.0,Desmond Ridder scrambles up the middle for 1 yard (tackle by Patrick Queen and Jason Pierre-Paul),4.95,3.55,16.0,2022,226
4.0,6:51,4.0,1.0,BAL 1,6.0,17.0,"Tyler Allgeier left end for -1 yards (tackle by Isaiah Mack). Penalty on Parker Hesse: Illegal Shift, 5 yards (declined)",3.55,0.38,16.0,2022,226
4.0,6:39,1.0,10.0,BAL 2,6.0,17.0,Gus Edwards right tackle for 14 yards (tackle by Richie Grant),-0.38,-0.14,16.0,2022,226
4.0,6:01,1.0,10.0,BAL 16,6.0,17.0,Gus Edwards right guard for 1 yard (tackle by AJ Terrell),-0.14,-0.51,16.0,2022,226
4.0,5:22,2.0,9.0,BAL 17,6.0,17.0,Tyler Huntley pass incomplete short left intended for Mark Andrews,-0.51,-1.2,16.0,2022,226
4.0,5:11,3.0,9.0,BAL 17,6.0,17.0,Tyler Huntley pass incomplete short right intended for DeSean Jackson,-1.2,-2.32,16.0,2022,226
4.0,5:06,4.0,9.0,BAL 17,6.0,17.0,"Jordan Stout punts 36 yards, fair catch by Avery Williams at ATL-47",-2.32,-2.06,16.0,2022,226
4.0,4:59,1.0,10.0,ATL 47,6.0,17.0,"Desmond Ridder pass complete short right to Cordarrelle Patterson for no gain (tackle by Patrick Queen). Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted) (no play)",2.06,1.4,16.0,2022,226
4.0,4:52,1.0,20.0,ATL 37,6.0,17.0,Desmond Ridder pass incomplete deep middle intended for Olamide Zaccheaus,1.4,0.17,16.0,2022,226
4.0,4:48,2.0,20.0,ATL 37,6.0,17.0,Desmond Ridder pass complete short right to Damiere Byrd for 15 yards (tackle by Brandon Stephens),0.17,1.49,16.0,2022,226
4.0,4:43,3.0,5.0,BAL 48,6.0,17.0,Desmond Ridder pass complete short right to Tyler Allgeier for 9 yards (tackle by Marlon Humphrey),1.49,2.98,16.0,2022,226
4.0,4:37,1.0,10.0,BAL 39,6.0,17.0,Tyler Allgeier right end for 7 yards (tackle by Kyle Hamilton and Chuck Clark),2.98,3.39,16.0,2022,226
4.0,3:55,2.0,3.0,BAL 32,6.0,17.0,Desmond Ridder pass complete short middle to Parker Hesse for 8 yards (tackle by Roquan Smith and Patrick Queen),3.39,3.97,16.0,2022,226
4.0,3:43,1.0,10.0,BAL 24,6.0,17.0,Desmond Ridder pass complete short left to Tyler Allgeier for 8 yards (tackle by Marlon Humphrey),3.97,4.65,16.0,2022,226
4.0,3:38,2.0,2.0,BAL 16,6.0,17.0,Desmond Ridder right end for 1 yard (tackle by Odafe Oweh),4.65,4.17,16.0,2022,226
4.0,3:01,3.0,1.0,BAL 15,6.0,17.0,Cordarrelle Patterson left end for -3 yards (tackle by Roquan Smith and Chuck Clark),4.17,2.32,16.0,2022,226
4.0,2:07,4.0,4.0,BAL 18,9.0,17.0,Younghoe Koo 37 yard field goal good,2.32,3.0,16.0,2022,226
4.0,2:03,,,ATL 35,9.0,17.0,"Bradley Pinion kicks off 58 yards, returned by Justice Hill for 21 yards (tackle by KhaDarel Hodge)",0.0,0.81,16.0,2022,226
4.0,1:57,1.0,10.0,BAL 28,9.0,17.0,Gus Edwards up the middle for 3 yards (tackle by Timmy Horne),0.81,0.74,16.0,2022,226
4.0,1:53,,,,,,Timeout #2 by Atlanta Falcons,,,16.0,2022,226
4.0,1:53,2.0,6.0,BAL 31,9.0,17.0,Gus Edwards up the middle for 8 yards (tackle by Timmy Horne),0.74,1.53,16.0,2022,226
4.0,1:50,,,,,,Timeout #3 by Atlanta Falcons,,,16.0,2022,226
4.0,1:50,1.0,10.0,BAL 39,9.0,17.0,Tyler Huntley kneels for -1 yards,1.53,0.85,16.0,2022,226
4.0,1:10,2.0,11.0,BAL 38,9.0,17.0,Tyler Huntley kneels for -1 yards,0.85,0.04,16.0,2022,226
4.0,0:30,3.0,12.0,BAL 37,9.0,17.0,Tyler Huntley kneels for -1 yards,0.04,-0.98,16.0,2022,226
