Quarter,Time,Down,ToGo,Location,NYG,MIN,Detail,EPB,EPA,week,year,game_id
4.0,2:36,2.0,2.0,NYG 33,16.0,24.0,Daniel Jones pass incomplete short middle intended for Richie James,1.14,0.43,16.0,2022,233
4.0,2:31,3.0,2.0,NYG 33,16.0,24.0,Daniel Jones pass complete short left to Darius Slayton for 32 yards (tackle by Camryn Bynum),0.43,2.92,16.0,2022,233
4.0,2:23,1.0,10.0,MIN 40,16.0,24.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,2.92,2.7,16.0,2022,233
4.0,2:19,2.0,10.0,MIN 35,16.0,24.0,Daniel Jones pass incomplete short middle intended for Richie James (defended by Khyiris Tonga),2.7,2.01,16.0,2022,233
4.0,2:15,3.0,10.0,MIN 35,16.0,24.0,Daniel Jones scrambles right end for 8 yards (tackle by Josh Metellus),2.01,1.8,16.0,2022,233
4.0,2:07,4.0,2.0,MIN 27,22.0,24.0,"Saquon Barkley left guard for 27 yards, touchdown",1.8,7.0,16.0,2022,233
4.0,2:01,,,MIN 2,24.0,24.0,Two Point Attempt: Daniel Jones pass complete to to Daniel Bellinger for no gain,1.0,1.0,16.0,2022,233
4.0,2:01,,,NYG 35,24.0,24.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,233
4.0,2:01,1.0,10.0,MIN 25,24.0,24.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,0.61,0.06,16.0,2022,233
4.0,1:57,2.0,10.0,MIN 25,24.0,24.0,Kirk Cousins pass complete to T.J. Hockenson for 1 yard (tackle by Nick McCloud),0.06,-0.43,16.0,2022,233
4.0,1:17,3.0,8.0,MIN 26,24.0,24.0,Kirk Cousins pass complete deep left to Justin Jefferson for 16 yards (tackle by Darnay Holmes),-0.43,1.73,16.0,2022,233
4.0,0:47,1.0,10.0,MIN 42,24.0,24.0,Kirk Cousins pass complete short middle to Dalvin Cook for 6 yards (tackle by Jihad Ward),1.73,1.93,16.0,2022,233
4.0,0:29,2.0,5.0,MIN 48,24.0,24.0,Kirk Cousins sacked by Landon Collins for -7 yards,1.93,0.3,16.0,2022,233
4.0,0:19,,,,,,Timeout #3 by Minnesota Vikings,,,16.0,2022,233
4.0,0:19,3.0,12.0,MIN 41,24.0,24.0,Kirk Cousins pass complete short right to Justin Jefferson for 17 yards (tackle by Julian Love),0.3,2.79,16.0,2022,233
4.0,0:04,1.0,10.0,NYG 42,24.0,24.0,Kirk Cousins spiked the ball,2.79,2.24,16.0,2022,233
4.0,0:04,,,,,,Timeout #2 by New York Giants,,,16.0,2022,233
4.0,0:04,2.0,10.0,NYG 42,24.0,27.0,Greg Joseph 61 yard field goal good,2.24,3.0,16.0,2022,233
