Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA,week,year,game_id
4.0,1:56,1.0,10.0,DEN 38,33.0,3.0,Jake Haener pass complete short middle to Mason Tipton for 9 yards (tackle by Levi Wallace),3.05,3.72,7.0,2024,93
4.0,1:39,,,,,,Timeout #1 by Denver Broncos,,,7.0,2024,93
4.0,1:39,2.0,1.0,DEN 29,33.0,3.0,Jake Haener pass incomplete short middle intended for Kendre Miller,3.72,3.01,7.0,2024,93
4.0,1:33,3.0,1.0,DEN 29,33.0,3.0,Jake Haener pass complete short right to Cedrick Wilson for 17 yards (tackle by Levi Wallace),3.01,4.78,7.0,2024,93
4.0,1:25,,,,,,Timeout #1 by New Orleans Saints,,,7.0,2024,93
4.0,1:25,1.0,10.0,DEN 12,33.0,9.0,"Jake Haener pass complete short middle to Cedrick Wilson for 12 yards, touchdown",4.78,7.0,7.0,2024,93
4.0,1:22,,,DEN 15,33.0,10.0,Blake Grupe kicks extra point good,0.0,0.0,7.0,2024,93
4.0,1:22,,,,,,Timeout #2 by Denver Broncos,,,7.0,2024,93
4.0,1:22,,,NOR 35,33.0,10.0,"Matthew Hayball kicks onside 3 yards, returned by P.J. Locke for no gain",0.0,3.05,7.0,2024,93
4.0,1:21,1.0,10.0,NOR 38,33.0,10.0,Jarrett Stidham kneels for -1 yards,3.05,2.37,7.0,2024,93
4.0,0:41,2.0,11.0,NOR 39,33.0,10.0,Jarrett Stidham kneels for -1 yards,2.37,1.55,7.0,2024,93
