Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA,week,year,game_id
3.0,9:13,3.0,15.0,HOU 9,10.0,16.0,C.J. Stroud pass incomplete short middle intended for Stefon Diggs,-2.01,-2.49,2.0,2024,31
3.0,9:07,4.0,15.0,HOU 9,10.0,16.0,"Tommy Townsend punts 47 yards downed by D'Angelo Ross. Penalty on Elijah Hicks: Offensive Holding, 10 yards (accepted)",-2.49,-1.2,2.0,2024,31
3.0,8:56,1.0,10.0,CHI 34,10.0,16.0,"Penalty on Caleb Williams: Delay of Game, 5 yards (accepted) (no play)",1.2,0.87,2.0,2024,31
3.0,8:56,1.0,15.0,CHI 29,10.0,16.0,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Jimmie Ward and Henry To'oTo'o),0.87,0.79,2.0,2024,31
3.0,8:20,2.0,9.0,CHI 35,10.0,16.0,"Caleb Williams pass deep left is intercepted by Kamari Lassiter at HOU-30 and returned for no gain (tackle by Rome Odunze). Penalty on Henry To'oTo'o: Defensive Holding, 5 yards (accepted) (no play)",0.79,1.6,2.0,2024,31
3.0,8:11,1.0,10.0,CHI 40,10.0,16.0,Caleb Williams pass complete short right to D.J. Moore for 10 yards (tackle by Henry To'oTo'o and Danielle Hunter),1.6,2.26,2.0,2024,31
3.0,7:26,1.0,10.0,CHI 50,10.0,16.0,"Penalty on Nate Davis: False Start, 5 yards (accepted) (no play)",2.26,1.93,2.0,2024,31
3.0,7:26,1.0,15.0,CHI 45,10.0,16.0,Caleb Williams sacked by Azeez Al-Shaair for no gain,1.93,1.04,2.0,2024,31
3.0,7:02,2.0,15.0,CHI 45,10.0,16.0,Caleb Williams pass complete short left to D'Andre Swift for 14 yards (tackle by Jimmie Ward),1.04,2.21,2.0,2024,31
3.0,6:14,3.0,1.0,HOU 41,10.0,16.0,Caleb Williams sacked by Will Anderson for -7 yards,2.21,0.07,2.0,2024,31
3.0,5:28,4.0,8.0,HOU 48,10.0,16.0,Tory Taylor punts 25 yards out of bounds,0.07,-0.48,2.0,2024,31
3.0,5:27,1.0,10.0,HOU 23,10.0,16.0,C.J. Stroud pass complete short right to Dalton Schultz for 5 yards (tackle by Kevin Byard),0.48,0.61,2.0,2024,31
3.0,4:59,2.0,5.0,HOU 28,10.0,16.0,Cam Akers left tackle for 7 yards (tackle by T.J. Edwards and Kevin Byard),0.61,1.27,2.0,2024,31
3.0,4:21,1.0,10.0,HOU 35,10.0,16.0,C.J. Stroud pass incomplete short right,1.27,0.72,2.0,2024,31
3.0,4:16,2.0,10.0,HOU 35,10.0,16.0,"C.J. Stroud pass incomplete short right intended for Nico Collins (defended by Kyler Gordon) CHI challenged the pass interception ruling, and the play was upheld.",0.72,0.04,2.0,2024,31
3.0,4:11,3.0,10.0,HOU 35,10.0,16.0,C.J. Stroud sacked by Gervon Dexter for -10 yards,0.04,-1.7,2.0,2024,31
3.0,3:36,4.0,20.0,HOU 25,10.0,16.0,"Tommy Townsend punts 42 yards, returned by DeAndre Carter for 1 yard (tackle by Kris Boyd)",-1.7,-1.2,2.0,2024,31
3.0,3:28,1.0,10.0,CHI 34,10.0,16.0,D'Andre Swift right end for 6 yards (tackle by Folorunso Fatukasi),1.2,1.47,2.0,2024,31
3.0,3:01,2.0,4.0,CHI 40,10.0,16.0,"D'Andre Swift right tackle for 1 yard (tackle by Danielle Hunter). Penalty on Folorunso Fatukasi: Defensive Holding, 5 yards (accepted)",1.47,1.99,2.0,2024,31
3.0,2:34,1.0,10.0,CHI 46,10.0,16.0,D'Andre Swift left end for 1 yard (tackle by Azeez Al-Shaair),1.99,1.59,2.0,2024,31
3.0,1:59,2.0,9.0,CHI 47,10.0,16.0,"Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Jimmie Ward). Penalty on D'Andre Swift: Offensive Holding, 10 yards (accepted)",1.59,0.37,2.0,2024,31
3.0,1:51,2.0,18.0,CHI 38,10.0,16.0,Caleb Williams pass complete short left to Khalil Herbert for 2 yards (tackle by Jalen Pitre),0.37,-0.03,2.0,2024,31
3.0,0:57,3.0,16.0,CHI 40,10.0,16.0,Caleb Williams pass deep left intended for D.J. Moore is intercepted by Derek Stingley at HOU-34 and returned for no gain (tackle by D.J. Moore),-0.03,-1.2,2.0,2024,31
3.0,0:50,1.0,10.0,HOU 34,10.0,16.0,Tank Dell left end for -5 yards (tackle by Kyler Gordon),1.2,-0.02,2.0,2024,31
3.0,0:09,2.0,15.0,HOU 29,10.0,16.0,C.J. Stroud pass complete short right to Stefon Diggs for 7 yards (tackle by Kyler Gordon and Tremaine Edmunds),-0.02,0.23,2.0,2024,31
4.0,15:00,3.0,8.0,HOU 36,10.0,16.0,C.J. Stroud pass complete deep right to Nico Collins for 26 yards (tackle by Kyler Gordon),0.23,3.05,2.0,2024,31
4.0,14:31,1.0,10.0,CHI 38,10.0,16.0,C.J. Stroud pass incomplete short right intended for Tank Dell,3.05,2.51,2.0,2024,31
4.0,14:26,2.0,10.0,CHI 38,10.0,16.0,Joe Mixon right tackle for 4 yards (tackle by T.J. Edwards),2.51,2.34,2.0,2024,31
4.0,13:47,3.0,6.0,CHI 34,10.0,16.0,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson (defended by Tyrique Stevenson),2.34,1.07,2.0,2024,31
4.0,13:43,4.0,6.0,CHI 34,10.0,19.0,Ka'imi Fairbairn 53 yard field goal good,1.07,3.0,2.0,2024,31
4.0,13:39,,,HOU 35,10.0,19.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,31
4.0,13:39,1.0,10.0,CHI 30,10.0,19.0,Caleb Williams pass complete short right to D'Andre Swift for -5 yards (tackle by Jalen Pitre),0.94,-0.28,2.0,2024,31
4.0,13:09,2.0,15.0,CHI 25,10.0,19.0,Caleb Williams pass deep right intended for Cole Kmet is intercepted by Kamari Lassiter at HOU-48 and returned for 9 yards (tackle by Rome Odunze),-0.28,-2.72,2.0,2024,31
4.0,12:55,1.0,10.0,CHI 43,10.0,19.0,Joe Mixon left end for 1 yard (tackle by T.J. Edwards),2.72,2.31,2.0,2024,31
4.0,12:15,2.0,9.0,CHI 42,10.0,19.0,C.J. Stroud sacked by Jack Sanborn for -8 yards,2.31,0.56,2.0,2024,31
4.0,11:32,3.0,17.0,CHI 50,10.0,19.0,C.J. Stroud pass complete short right to Nico Collins for 7 yards (tackle by Tremaine Edmunds and Kevin Byard),0.56,0.4,2.0,2024,31
4.0,10:50,4.0,10.0,CHI 43,10.0,19.0,Tommy Townsend punts 37 yards downed by D'Angelo Ross,0.4,0.38,2.0,2024,31
4.0,10:43,1.0,10.0,CHI 6,10.0,19.0,D'Andre Swift left tackle for 3 yards (tackle by Eric Murray),-0.38,-0.56,2.0,2024,31
4.0,10:21,2.0,7.0,CHI 9,10.0,19.0,Caleb Williams pass incomplete deep left,-0.56,-1.07,2.0,2024,31
4.0,10:15,3.0,7.0,CHI 9,10.0,19.0,Caleb Williams sacked by Mario Edwards for -7 yards,-1.07,-2.49,2.0,2024,31
4.0,9:36,4.0,14.0,CHI 2,10.0,19.0,"Tory Taylor punts 54 yards, returned by Steven Sims for 11 yards (tackle by Daniel Hardy and Jaylon Jones)",-2.49,-2.59,2.0,2024,31
4.0,9:24,1.0,10.0,CHI 45,10.0,19.0,Cam Akers right tackle for 7 yards (tackle by Kevin Byard),2.59,2.99,2.0,2024,31
4.0,8:49,2.0,3.0,CHI 38,10.0,19.0,Cam Akers right guard for 13 yards (tackle by Tyrique Stevenson),2.99,3.91,2.0,2024,31
4.0,8:07,1.0,10.0,CHI 25,10.0,19.0,Cam Akers up the middle for 1 yard (tackle by DeMarcus Walker),3.91,3.5,2.0,2024,31
4.0,7:30,2.0,9.0,CHI 24,10.0,19.0,Cam Akers up the middle for 4 yards (tackle by Tremaine Edmunds and Jaquan Brisker),3.5,3.34,2.0,2024,31
4.0,7:22,,,,,,Timeout #2 by Chicago Bears,,,2.0,2024,31
4.0,7:22,3.0,5.0,CHI 20,10.0,19.0,C.J. Stroud pass complete short left to Dalton Schultz for 16 yards (tackle by T.J. Edwards and Jaquan Brisker),3.34,6.28,2.0,2024,31
4.0,6:39,1.0,4.0,CHI 4,10.0,19.0,"Cam Akers up the middle for no gain. Cam Akers fumbles (forced by Andrew Billings), recovered by Kevin Byard at CHI-3 (tackle by Andrew Billings)",6.28,0.38,2.0,2024,31
4.0,6:28,1.0,10.0,CHI 3,10.0,19.0,D'Andre Swift left guard for 1 yard (tackle by Henry To'oTo'o),-0.38,-0.71,2.0,2024,31
4.0,6:05,2.0,9.0,CHI 4,10.0,19.0,Caleb Williams pass incomplete short middle intended for D.J. Moore (defended by Eric Murray),-0.71,-1.3,2.0,2024,31
4.0,6:00,3.0,9.0,CHI 4,10.0,19.0,Caleb Williams scrambles right end for 24 yards (tackle by Calen Bullock),-1.3,0.81,2.0,2024,31
4.0,5:32,1.0,10.0,CHI 28,10.0,19.0,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Jalen Pitre),0.81,1.21,2.0,2024,31
