Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA,week,year,game_id
4.0,14:29,1.0,10.0,SFO 14,7.0,20.0,Brock Purdy pass complete deep middle to Deebo Samuel for 17 yards (tackle by Josh Metellus and Camryn Bynum),-0.28,1.0,2.0,2024,23
4.0,13:47,1.0,10.0,SFO 31,7.0,20.0,Brock Purdy pass complete short left to Chris Conley for 4 yards (tackle by Stephon Gilmore),1.0,1.0,2.0,2024,23
4.0,13:07,2.0,6.0,SFO 35,7.0,20.0,Brock Purdy pass complete short left to Brandon Aiyuk for 7 yards (tackle by Stephon Gilmore),1.0,1.73,2.0,2024,23
4.0,12:39,1.0,10.0,SFO 42,7.0,20.0,Jordan Mason up the middle for no gain (tackle by Blake Cashman and Patrick Jones),1.73,1.19,2.0,2024,23
4.0,12:00,2.0,10.0,SFO 42,7.0,20.0,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by Blake Cashman),1.19,0.5,2.0,2024,23
4.0,11:52,3.0,10.0,SFO 42,7.0,20.0,"Brock Purdy pass complete short right to George Kittle for 14 yards (tackle by Josh Metellus). Penalty on Jihad Ward: Roughing the Passer, 15 yards (accepted)",0.5,3.64,2.0,2024,23
4.0,11:21,1.0,10.0,MIN 29,7.0,20.0,Brock Purdy pass incomplete deep left intended for George Kittle,3.64,3.1,2.0,2024,23
4.0,11:16,2.0,10.0,MIN 29,7.0,20.0,"Brock Purdy pass complete short left to Deebo Samuel for 13 yards MIN challenged the runner was in bounds ruling, and the play was upheld.",3.1,4.51,2.0,2024,23
4.0,10:59,1.0,10.0,MIN 16,7.0,20.0,Jordan Mason up the middle for 6 yards (tackle by Harrison Phillips),4.51,4.97,2.0,2024,23
4.0,10:21,2.0,4.0,MIN 10,13.0,20.0,"Jordan Mason right end for 10 yards, touchdown",4.97,7.0,2.0,2024,23
4.0,10:16,,,MIN 15,14.0,20.0,Jake Moody kicks extra point good,0.0,0.0,2.0,2024,23
4.0,10:16,,,SFO 35,14.0,20.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,23
4.0,10:16,1.0,10.0,MIN 30,14.0,20.0,Aaron Jones up the middle for 3 yards (tackle by Ji'Ayir Brown and Nick Bosa),0.94,0.8,2.0,2024,23
4.0,9:37,2.0,7.0,MIN 33,14.0,20.0,"Sam Darnold sacked by Fred Warner for no gain. Sam Darnold fumbles, ball out of bounds at MIN-33 (forced by Fred Warner). Sam Darnold fumbles out of bounds",0.8,0.1,2.0,2024,23
4.0,8:53,3.0,7.0,MIN 33,14.0,20.0,Sam Darnold pass complete short right to Brandon Powell for 11 yards (tackle by Isaac Yiadom),0.1,1.86,2.0,2024,23
4.0,8:23,1.0,10.0,MIN 44,14.0,20.0,Ty Chandler left end for 2 yards (tackle by Fred Warner),1.86,1.59,2.0,2024,23
4.0,7:45,2.0,8.0,MIN 46,14.0,20.0,Sam Darnold pass incomplete short left intended for Johnny Mundt,1.59,0.89,2.0,2024,23
4.0,7:41,3.0,8.0,MIN 46,14.0,20.0,Sam Darnold pass complete deep right to Jalen Nailor for 26 yards (tackle by Isaac Yiadom),0.89,3.71,2.0,2024,23
4.0,6:54,1.0,10.0,SFO 28,14.0,20.0,Ty Chandler right tackle for 2 yards (tackle by Fred Warner),3.71,3.44,2.0,2024,23
4.0,6:12,2.0,8.0,SFO 26,14.0,20.0,Sam Darnold pass complete short right to Johnny Mundt for 6 yards (tackle by De'Vondre Campbell),3.44,3.53,2.0,2024,23
4.0,5:37,3.0,2.0,SFO 20,14.0,20.0,Sam Darnold pass complete short middle to Brandon Powell for 5 yards (tackle by Isaac Yiadom),3.53,4.58,2.0,2024,23
4.0,4:50,1.0,10.0,SFO 15,14.0,20.0,Ty Chandler left end for 11 yards (tackle by Deommodore Lenoir),4.58,6.28,2.0,2024,23
4.0,3:59,1.0,4.0,SFO 4,14.0,20.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",6.28,5.14,2.0,2024,23
4.0,3:47,1.0,9.0,SFO 9,14.0,20.0,Ty Chandler sacked by Kevin Givens for -1 yards,5.14,4.19,2.0,2024,23
